paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
,,,,,,,
1,1,"Vào đời Vua Hùng thứ 18, Vua có một người con gái đã đến tuổi cập kê, công chúa có dung nhan xinh đẹp tuyệt trần, lại còn có một làn da trắng trẻo mịn màng, dáng người nàng cũng cao ráo. Tên của nàng công chúa này là Mỵ Nương. Khi thấy con gái của mình đã tới tuổi để gả chồng nên Vua liền cho ban truyền tìm kiếm nhân kiệt ở khắp nhân gian hòng kén được một người phò mã đủ tài đủ đức.","During the reign of the eighteenth Hung King, a princess named My Nuong had reached marriageable age. She was a young woman with smooth fair skin, a slender tall figure, and a calm, graceful appearance. Seeing her standing quietly beside the throne, the King issued a decree across the land to seek a worthy son-in-law of talent and virtue.","Traditional Vietnamese painting style, a young princess around 18 years old with smooth fair skin in flowing white ao dai with golden phoenix embroidery, standing gracefully with serene expression, beside the elevated golden throne, in grand palace hall, soft morning light filtering through silk curtains, peaceful atmosphere, close-up portrait, highly detailed, masterpiece quality.",Princess My Nuong,Standing gracefully,Beside the throne
2,1,"Nghe được tin Vua Hùng ban tin kén rể khắp nơi cho con gái, vua nước Tây Âu liền đem tới rất nhiều vàng bạc cùng châu báu như là cau vàng, trầu bạc để mà dạm hỏi cưới nàng Mỵ Nương. Thấy vậy Vua Hùng lập tức cho triệu tất cả Lạc Hầu của mình vào cung để mà hội ý.","When the king of Tay Au heard the decree, he arrived at the palace with heavy chests of gold and silver treasures. Golden areca nuts and silver betel leaves were laid out before the court as wedding offerings for Princess My Nuong. The Hung King then summoned all his Lac Hau nobles into the palace hall for discussion.","Traditional Vietnamese painting style, open chests overflowing with gold and silver treasures, golden areca nuts and silver betel leaves arranged on red velvet cloths, on the wooden floor of the royal court, grand palace interior with carved pillars, bright daylight illuminating the treasures, opulent atmosphere, wide angle shot, highly detailed, 8k resolution.",Treasures and Offerings,Displayed/Overflowing,On the palace floor
3,1,"Những Lạc Hầu này tâu rằng: – Vua nước Tây Âu ấy là một con người rất cường bạo, tuổi cũng khá cao rồi, mà hình dáng cũng rất kỳ quái, làm sao mà có thể xứng đôi với công chúa của chúng ta được.","The Lac Hau stepped forward and spoke. They described the king of Tay Au as a violent man, already old, with a strange and unsettling appearance. Standing in rows inside the hall, they shook their heads, saying he was unworthy of the princess.","Traditional Vietnamese painting style, a group of elderly Lac Hau nobles in dark brown ancient robes with bronze accessories, standing in rows shaking their heads with disapproving expressions, inside the royal meeting hall with wooden beams, dim atmospheric lighting, tense mood, medium shot, cinematic composition, masterpiece quality.",Lac Hau nobles,Shaking heads in disapproval,Inside the royal hall
4,1,"Nghe những lời khuyên can của đám Lạc Hầu nên Vua Hùng liền từ chối lời cầu hôn của vua nước Tây Âu kia. Cũng chính từ ngày đó mà mối quan hệ giữa nước Văn Lang cùng Tây Âu xấu đi, nảy sinh hiềm khích khó tháo gỡ.","After hearing their counsel, the Hung King firmly rejected the proposal. From that day on, tension grew between Van Lang and Tay Au, and resentment slowly took root between the two lands.","Traditional Vietnamese painting style, the majestic Hung King with grey beard wearing red and gold royal robes, sitting on the throne and waving hand firmly in rejection, inside the grand palace, dramatic side lighting creating shadows, serious and heavy atmosphere, low angle shot, highly detailed, professional artwork.",Hung King,Waving hand in rejection,On the throne
5,1,"Bẵng đi một thời gian thì lại có hai chàng trai tới để dạm hỏi cưới nàng công chúa Mỵ Nương. Hai chàng trai này đều vô cùng xuất sắc và tuấn tú. Một người là Sơn Tinh (Chính là thần núi Tản Viên, hay còn gọi là Thánh Tản), người còn lại là Thủy Tinh (Chính là Thần Nước, hay Thần Biển Cả).","Some time later, two young men arrived to seek Princess My Nuong’s hand. Both stood tall and striking in appearance. One was Son Tinh, the mountain god of Tan Vien, also known as Saint Tan. The other was Thuy Tinh, the powerful god of water and the sea.","Traditional Vietnamese painting style, two handsome young men standing tall side by side, Son Tinh in brown mountain warrior robes and Thuy Tinh in blue wave-patterned robes, in front of the palace gates, bright sunny lighting, heroic and competitive atmosphere, full body shot, highly detailed, 8k resolution.",Son Tinh and Thuy Tinh,Standing side by side,In front of palace gates
6,1,"Vua Hùng liền cho truyền cả hai chàng trai này vào triều để trổ tài, nếu như ai có tài hơn thì Vua sẽ chấp nhận gả con gái mình, tức công chúa Mỵ Nương cho người đó.","The Hung King summoned both men to the royal court. He ordered them to display their powers before the throne, declaring that the more capable one would marry Princess My Nuong.","Traditional Vietnamese painting style, Hung King sitting on the dragon throne pointing forward with authority, facing the two standing suitors in the hall, ancient palace architecture with red lacquer, ambient interior lighting, authoritative mood, cinematic composition, highly detailed, masterpiece quality.",Hung King,Pointing with authority,Towards the suitors
7,1,"Chàng Sơn Tinh trổ tài trước, chàng có phép chỉ tay tới đâu thì nơi đó lại mọc lên những rừng núi hùng vĩ, chim muông đông đúc từng đàn. Còn chàng Thủy Tinh lại có phép vẫy tay thì nước sẽ ào ào mà dâng lên thật cao, còn có cả thuồng luồng và ba ba hàng đàn kéo nhau nổi lên mặt nước nữa.","Son Tinh stepped forward first and raised his hand. Where his finger pointed, towering mountains and dense forests rose from the earth, birds scattering into the sky. Thuy Tinh then swept his arm through the air, and roaring waters surged upward as water beasts and turtles swarmed to the surface.","Traditional Vietnamese painting style, split composition, on left Son Tinh raising hand creating towering green mountains, on right Thuy Tinh sweeping arm summoning roaring blue waves and water beasts, outdoors in a vast open field, dramatic magical lighting with green and blue energy, epic atmosphere, wide angle, highly detailed, 8k quality.",Son Tinh and Thuy Tinh,Raising hand / Sweeping arm,Mountains and Waves
8,1,"Cả hai chàng trai đều vô cùng tài giỏi, có thể gọi là ngang tài cân sức nên Vua Hùng không biết phải chọn ai mới được. Vì vậy để quyết định thắng thua mà Vua đã phải ra thêm thử thách khác, người nào chiến thắng thì sẽ trở thành phò mã. Vua nói rằng:","Both men showed equal strength, and the court fell silent. The Hung King raised his voice and announced a final challenge to decide the victor.","Traditional Vietnamese painting style, Hung King sitting on the throne stroking his white beard with a pensive expression, surrounded by silent courtiers, in the royal hall, soft focused lighting on the King, contemplative and hesitant mood, close-up portrait, highly detailed, professional artwork.",Hung King,Stroking beard / Thinking,On the throne
9,1,"– Hai ngươi đều rất tài giỏi, ngang tài cân sức với nhau, vì vậy nên ta không thể chọn một trong hai được. Bây giờ sẽ như thế này, ngày mai nếu như một trong hai ngươi, người nào có thể đem được đồ sính lễ gồm có một trăm ván cơm nếp, một trăm tệp bánh trưng, voi chín ngà, gà chín cựa, ngựa chín hồng mao, mỗi thứ phải có một đôi tới đây sớm hơn thì người đó sẽ được cưới con gái của ta.","The King declared that at dawn the next day, whoever arrived first with the wedding offerings would win. The offerings were one hundred trays of sticky rice, one hundred bundles of square banh chung, a nine-tusked elephant, a nine-spurred rooster, and a nine-maned horse, each presented as a pair.","Traditional Vietnamese painting style, a visualization of mythical offerings including a nine-tusked elephant, a nine-spurred rooster, and a red-maned horse, standing amidst piles of banh chung and sticky rice, in a dreamy mist, ethereal golden lighting, mystical atmosphere, fantasy art style, highly detailed, masterpiece quality.",Mythical Offerings,Standing / Displayed,In a misty vision
10,1,Tuy nói rằng không thể chọn ai nhưng tất cả những đồ lễ mà Vua Hùng yêu cầu hai chàng chuẩn bị thì tất cả đều là những sản vật ở trên đất liền. Điều đó có thể cho thấy được Vua Hùng cũng đã ngầm đồng ý gả nàng Mỵ Nương cho Sơn Tinh rồi.,"All the demanded offerings came from the land rather than the water. The list lay unrolled on the palace table, quietly favoring the mountain god.","Traditional Vietnamese painting style, an open bamboo scroll with calligraphy writing listing land-based offerings, lying on a carved wooden table, close-up of the text and texture, warm candlelight nearby, quiet and secretive atmosphere, macro shot, highly detailed, 8k resolution.",Bamboo Scroll,Lying open,On wooden table
11,1,"Ngày hôm sau, khi bầu trời bên ngoài chỉ vừa hửng sáng thì Sơn Tinh đã đem được đầy đủ các loại lễ vật theo đúng yêu cầu của Vua Hùng đến cung vua để xin hỏi cưới nàng Mỵ Nương. Bởi vì những đồ lễ vật ấy với một thần núi như chàng thì vô cùng dễ để chuẩn bị. Vua Hùng vô cùng hài lòng với biểu hiện của Sơn Tinh nên đã bằng lòng cho phép Sơn Tinh được cưới con gái Mỵ Nương của mình.","At first light, pale morning mist still clung to the palace gates as Son Tinh arrived with all the offerings. Trays of rice, bundles of banh chung, and the sacred animals stood neatly arranged. The Hung King nodded in approval and granted Son Tinh permission to marry Princess My Nuong.","Traditional Vietnamese painting style, Son Tinh in mountain robes smiling confidently, presenting trays of food and mythical animals at the palace gates, early soft morning mist and sunrise glow, joyous and triumphant atmosphere, wide angle cinematic shot, highly detailed, masterpiece quality.",Son Tinh,Presenting offerings,At palace gates
12,1,"Còn Thủy Tinh bởi vì khó tìm kiếm những món lễ vật hỏi cưới đó nên đến trễ hơn một chút, chàng vô cùng hốt hoảng khi được tin nàng Mỵ Nương đã cùng đi với phu quân của mình là Sơn Tinh. Vì thế nên Thủy Tinh lập tức đuổi theo, đem cả đám binh tướng của mình tới đánh Sơn Tinh thề phải cướp lại nàng Mỵ Nương cho bằng được.","Thuy Tinh arrived later, his offerings incomplete. Upon hearing that Princess My Nuong had already departed with Son Tinh, he clenched his fists and turned away. He summoned his army and rushed forward, determined to seize her back.","Traditional Vietnamese painting style, Thuy Tinh in dark blue robes clenching fists with furious expression and glowing eyes, turning away from the palace, dark stormy sky gathering behind, dramatic lightning and rim lighting, angry and intense mood, close-up portrait, highly detailed, 8k resolution.",Thuy Tinh,Clenching fists / Turning away,Stormy background
13,1,"Thủy Tinh cứ thế hô mưa rồi gọi gió làm rung chuyển trời đất, khiến cho nước biển cuồn cuộn dâng lên để đánh Sơn Tinh. Khi nước dâng cao khiến cho lúa ngập, đồng cũng ngập, sau đó thì nhà cửa cũng ngập nốt. Và giông tố cứ mỗi lúc lại càng dữ dội hơn, nước cũng càng ngày càng dâng cao hơn nữa, đám thủy quái thì cứ đông lên nhiều lần, chúng rầm rầm rộ rộ làm theo tất cả những mệnh lệnh của Thủy Tinh.","Dark clouds gathered as Thuy Tinh summoned wind and rain. Waves crashed inland, flooding rice paddies, then fields, and finally villages. Storms roared overhead while countless water creatures surged forward under his command.","Traditional Vietnamese painting style, Thuy Tinh floating above roaring waves summoning storms, countless water monsters and dragons surging forward, below are flooded houses and fields, dark stormy lighting with heavy rain, catastrophic atmosphere, epic wide shot, highly detailed, cinematic lighting.",Thuy Tinh and Monsters,Summoning storms,Above flooded fields
14,1,"Tất cả cư dân của nước Văn Lang lúc bấy giờ đều chung sức và chung lòng ra tay để giúp đỡ cho Sơn Tinh. Hơn nữa thần trống đồng thiêng liêng cũng hiện về để giục giã, cổ vũ cho mọi người ra trận mà tiêu diệt đám thủy quái hung bạo kia, đồng thời chống cả lũ lụt dữ dội. Những người nào khỏe mạnh thì đi đào đất để đắp thành đê. Chính vì thế mà ra đời những con đê dùng để chống lụt hiện nay của người Việt ta. Những đoạn đê dựng lên ngày càng cao hơn, chắc hơn, ngăn chia rồi chặn đứng được tất cả sự phá phách khủng khiếp của lũ lụt.","People across Van Lang rushed to aid Son Tinh. The sacred bronze drum spirit appeared, urging them forward as monsters clashed with rising waters. Strong villagers dug earth and piled soil into growing dikes, which rose higher and firmer, holding back the raging flood.","Traditional Vietnamese painting style, muscular villagers digging earth to build high dikes, a glowing translucent spirit of the bronze drum hovering above encouraging them, amidst rain and mud, dramatic dynamic lighting, heroic and resilient mood, action scene, highly detailed, masterpiece quality.",Villagers and Bronze Drum Spirit,Digging earth / Hovering,Muddy dikes
15,1,"Đối mặt với tình cảnh này, Sơn Tinh không hề có chút nao núng nào cả, chàng liền dùng phép của mình để bốc những quả đồi, rồi dời đi những dãy núi để mà tạo thành bức tường vững chắc ngăn chặn dòng nước lũ của đối thủ. Dòng nước lũ của Thủy Tinh dâng cao bao nhiêu thì những dãy núi của Sơn Tinh lại mọc cao lên bằng ấy. Đội quân của Sơn Tinh bê những hòn đá lớn, nhỏ ném tới tấp vào đám quân của Thủy Tinh ở dưới nước khiến chúng chết vô số kể. Xác cá, xác thuồng luồng, xác ba ba cứ nổi đầy kín cả mặt nước.","Son Tinh stood firm before the flood. He lifted hills and shifted mountains, stacking them into towering walls against the water. As the flood rose, the mountains climbed higher. His warriors hurled stones into the waves, and the bodies of fish and water beasts drifted across the surface.","Traditional Vietnamese painting style, Son Tinh using magic to lift entire green mountains into the air to form a wall, his soldiers throwing huge boulders down into the water, fighting against rising dark floodwaters, epic scale, magical lighting, intense battle atmosphere, wide angle, highly detailed, 8k quality.",Son Tinh,Lifting mountains,Against floodwaters
16,1,"Thủy Tinh cứ dâng nước lên một trào, Sơn Tinh lại nâng núi, nâng đất đá cao lên một vì. Khi Thủy Tinh lại dâng nước lên hai đợt thì Sơn Tinh lại tiếp tục mà dựng núi của mình lên hai vì. Vào đợt thứ ba thì Thủy Tinh liền xô nước tới, Sơn Tinh nhanh chóng nâng núi của mình lên đến ba vì. Cũng chính vì trận chiến này mà núi Tản Viên xưa còn được gọi với cái tên Ba Vì.","Each surge of rising water met a matching rise of mountains. When the flood rose twice, the mountains rose twice. On the third surge, Son Tinh raised the peaks to three tiers. From this battle, Tan Vien Mountain gained the name Ba Vi.","Traditional Vietnamese painting style, a massive green mountain peak rising rapidly above a gigantic crashing tsunami wave, debris and water spray everywhere, contrast between solid earth and chaotic water, dramatic natural lighting, awe-inspiring scale, landscape shot, highly detailed, masterpiece quality.",Mountain Peak vs Wave,Rising / Crashing,Landscape battle
17,1,"Cả hai bên đã đánh nhau kéo dài tới mấy tháng ròng. Nhưng sau cùng bởi vì đuối sức nên Thủy Tinh phải cho quân rút trở về. Kể từ ngày đó thì chàng Sơn Tinh và nàng Mỵ Nương cũng được sống bên nhau vui vẻ, hạnh phúc.","The battle dragged on for months. At last, Thuy Tinh withdrew his exhausted army. Son Tinh and Princess My Nuong then lived together peacefully.","Traditional Vietnamese painting style, Son Tinh and Princess My Nuong sitting peacefully on a high mountain peak overlooking a calm valley, clouds floating by, warm golden sunset light, romantic and serene atmosphere, medium shot, highly detailed, professional artwork.",Son Tinh and My Nuong,Sitting peacefully,On mountain peak
18,1,"Tuy nhiên thì ân oán của Sơn Tinh cùng Thủy Tinh lại càng ngày càng nặng, hận thù cũng càng ngày càng sâu hơn. Mỗi năm vào tầm tháng 7 theo Âm lịch thì Thủy Tinh lại nghĩ tới ân oán khi xưa, lập tức đem dâng nước kéo tới đánh nhau cùng Sơn Tinh. Tuy vậy nhưng mỗi lần như vậy thì Thủy Tinh đều nhận lấy thất bại rồi phải kéo quân ra về. Truyền thuyết về Sơn Tinh – Thủy Tinh vô cùng nổi tiếng, và là một trong những cách lý giải của người Việt xưa về hiện tượng lũ lụt cùng những cách để chống lũ lụt của nước mình.","Yet the feud did not fade. Each year, around the seventh lunar month, Thuy Tinh returned with rising waters to challenge Son Tinh again. Each time he was driven back. The legend of Son Tinh and Thuy Tinh remains a lasting explanation of floods and flood resistance in ancient Vietnam.","Traditional Vietnamese painting style, a conceptual view of a red river rising near green dikes under a grey rainy sky, distant silhouette of a water god fading in the clouds, melancholic but enduring atmosphere, soft diffused lighting, landscape art, highly detailed, 8k resolution.",River and Landscape,Rising / Flooding,Near green dikes
,,,,,,,
