paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,15,"Ngày xưa, có hai vợ chồng một lão nông nghèo đi ở cho nhà một phú ông. Họ hiền lành, chăm chỉ nhưng đã ngoài năm mươi tuổi mà chưa có lấy một mụn con. Một hôm, người vợ vào rừng lấy củi. Trời nắng to, khát nước quá, thấy cái sọ dừa bên gốc cây to đựng đầy nước mưa, bà bèn bưng lên uống. Thế rồi, về nhà, bà có mang.","Once upon a time, an old peasant couple worked in a landlord's field. They were over fifty, with sun-wrinkled faces and rough hands, sitting alone in a quiet thatched hut. One day, the wife gathered firewood in a dense forest. Under the blazing sun, thirsty, she found a dried coconut skull at the foot of a giant tree, filled with clear rainwater. She lifted it to her lips and drank. Later, her belly grew round with a child.","Traditional Vietnamese painting style, an elderly woman in a brown bodice drinking rainwater from a dried coconut shell under a massive ancient tree, golden sunlight filtering through forest leaves, rustic and mystical atmosphere, highly detailed, 8k resolution.",Elderly woman,Drinking,Rainwater from coconut shell
2,15,"Ít lâu sau, người chồng mất. Bà sinh ra một đứa con không có chân tay, mình mẩy, cứ tròn lông lốc như một quả dừa. Bà buồn, toan vứt nó đi thì đứa bé lên tiếng bảo: ""Mẹ ơi! Con là người đấy! Mẹ đừng vứt con mà tội nghiệp"". Bà lão thương tình để lại nuôi rồi đặt tên cho cậu là Sọ Dừa.","The husband passed away. The widow gave birth to a strange child—a round, fleshy ball with reddish-brown skin, no arms or legs, resembling a coconut. Her hands shook as she raised them to throw the creature away. Suddenly, the ball's eyes opened and it spoke: ""Mother! I am human. Do not throw me away."" The old woman lowered her hands, tears flowing down her cheeks, and named him So Dua.","Traditional Vietnamese painting style, a poor widow looking with tears at a small, round, limb-less baby resembling a coconut on a straw mat, humble thatched hut interior, emotional and soft lighting, masterpiece quality.","Widow,Round baby",Caring for,Round baby
3,15,"Lớn lên, Sọ Dừa vẫn thế, cứ lăn lông lốc chẳng làm được việc gì. Bà mẹ lấy làm phiền lòng lắm. Sọ Dừa biết vậy bèn xin mẹ đến chăn bò cho nhà phú ông. Nghe nói đến Sọ Dừa, phú ông ngần ngại. Nhưng nghĩ: nuôi nó thì ít tốn cơm, công sá lại chẳng đáng là bao, phú ông đồng ý.","Years later, So Dua remained a round ball, rolling across the earthen floor. His mother sighed, looking at empty rice jars. So Dua rolled to her feet: ""Mother, let me herd cattle for the landlord."" The fat landlord, wearing fine yellow silk, looked at the round creature and squinted his eyes doubtfully, but then smirked, calculating the low cost. He nodded.","Traditional Vietnamese painting style, a round coconut-shaped boy rolling towards a fat landlord in fine silk robes, a humble mother standing behind, contrasting characters, rural courtyard, highly detailed, professional artwork.","Strange coconut boy,Landlord,Mother",Rolling,Towards landlord
4,15,"Chẳng ngờ cậu chăn bò rất giỏi. Ngày ngày, cậu lăn sau đàn bò ra đồng, tối đến lại lăn sau đàn bò về nhà. Cả đàn bò, con nào con nấy cứ no căng. Phú ông lấy làm mừng lắm! Vào ngày mùa, tôi tớ ra đồng làm hết cả, phú ông bèn sai ba cô con gái thay phiên nhau đem cơm cho Sọ Dừa.","Surprisingly, the boy was skilled. Every day, he rolled like a ball behind the herd to green pastures; at dusk, he rolled back. The cows returned with bellies round and full of grass. The landlord grinned, rubbing his hands together. During harvest, he ordered his three daughters to take turns carrying lunch baskets to So Dua on the hill.","Traditional Vietnamese painting style, a round boy rolling on green grass behind a large herd of fat healthy cows, vast blue sky and rice fields, peaceful rural landscape, highly detailed, 8k resolution.",Strange coconut boy,Herding,Cattle
5,15,"Trong những lần như thế, hai cô chị kiêu kỳ, ác nghiệt thường hắt hủi Sọ Dừa, chỉ có cô em vốn tính thương người là đối đãi với Sọ Dừa tử tế. Một hôm đến phiên cô út mang cơm cho Sọ Dừa. Mới đến chân núi, cô bỗng nghe thấy tiếng sáo véo von.","The two older sisters, dressed in bright neon pink and green tunics, often kicked the round boy or threw the food into the dirt with a sneer. Only the youngest daughter, wearing simple white clothes and a soft expression, placed the food down carefully. One day, the youngest approached the hill and heard the melodious sound of a bamboo flute drifting in the wind.","Traditional Vietnamese painting style, a kind young girl in simple white clothes gently placing a food basket on the grass for the round boy, while two arrogant sisters sneer in the background, soft lighting, masterpiece quality.","Youngest daughter,Strange coconut boy,Sisters",Feeding,So Dua
6,15,"Rón rén bước lên cô nhìn thấy một chàng trai khôi ngô tuấn tú đang ngồi trên chiếc võng đào thổi sáo cho đàn bò gặm cỏ. Thế nhưng vừa mới đứng lên, tất cả đã biến mất tăm, chỉ thấy Sọ Dừa nằm lăn lóc ở đấy. Nhiều lần như vậy, cô út biết Sọ Dừa không phải người thường, bèn đem lòng yêu quý.","She tiptoed up the slope. She saw a handsome young man in white robes sitting in a red hammock between two trees, playing a flute while cows grazed. But when she made a sound, the man vanished instantly. On the grass lay only the round coconut-boy. Witnessing this often, the youngest daughter looked at him with a soft smile and blushing cheeks.","Traditional Vietnamese painting style, a handsome young man sitting in a red hammock playing a bamboo flute, cows grazing nearby, magical shimmering aura, the youngest daughter watching from behind a tree, 8k resolution, professional artwork.","Young man,Youngest daughter",Playing,Bamboo flute
7,15,"Đến cuối mùa ở thuê, Sọ Dừa về nhà giục mẹ đến hỏi con gái phú ông về làm vợ. Bà lão thấy vậy tỏ ra vô cùng sửng sốt, nhưng thấy con năn nỉ mãi, bà cũng chiều lòng. Thấy mẹ Sọ Dừa mang cau đến dạm, phú ông cười mỉa mai: ""Muốn hỏi con gái ta, hãy về sắm đủ một chĩnh vàng cốm, mười tấm lụa đào, mười con lợn béo, mười vò rượu tăm đem sang đây"".","So Dua rolled home and asked his mother to propose marriage. The old woman's jaw dropped, eyes wide, but she finally agreed. She brought betel nuts to the landlord. The landlord laughed loudly, throwing his head back: ""You want my daughter? Bring a pot of gold nuggets, ten rolls of pink silk, ten fat pigs, and ten jars of fine wine!""","Traditional Vietnamese painting style, an old mother presenting betel nuts to a greedy landlord, the landlord laughing mockingly with wide gestures, traditional house interior, high contrast, highly detailed, masterpiece quality.","Mother,Landlord",Mocking,The proposal
8,15,"Bà lão đành ra về, nghĩ là phải thôi hẳn việc lấy vợ cho con. Chẳng ngờ, đúng ngày hẹn, bỗng dưng trong nhà có đầy đủ mọi sính lễ, lại có cả gia nhân ở dưới nhà chạy lên khiêng lễ vật sang nhà của phú ông. Phú ông hoa cả mắt lúng túng gọi ba cô con gái ra hỏi ý. Hai cô chị bĩu môi chê bai Sọ Dừa xấu xí rồi ngúng nguẩy đi vào, chỉ có cô út là cúi đầu e lệ tỏ ý bằng lòng.","On the engagement day, the poor hut was filled with the exact gifts and servants in red uniforms. They marched to the landlord's house. The landlord stared at the gold, eyes bulging. He called his daughters. The two older sisters pouted, wrinkled their noses at the coconut-boy, and walked away. Only the youngest bowed her head, cheeks blushing red, to consent.","Traditional Vietnamese painting style, many servants in red carrying gold nuggets, pink silk, and fat pigs into a courtyard, the landlord staring with bulging eyes, celebratory and grand atmosphere, 8k resolution.","Mother,Landlord",Carrying,Wedding gifts
9,15,"Trong ngày cưới, Sọ Dừa cho bày cỗ thật linh đình, gia nhân chạy ra chạy vào tấp nập. Lúc rước dâu, chẳng ai thấy Sọ Dừa trọc lốc, xấu xí đâu chỉ thấy một chàng trai khôi ngô tuấn tú đứng bên cô út. Mọi người thấy vậy đều cảm thấy sửng sốt và mừng rỡ, còn hai cô chị thì vừa tiếc lại vừa ghen tức.","On the wedding day, a grand feast was held. When the groom appeared, the round ball was gone. A handsome man in blue silk mandarin robes stood beside the bride. Guests gasped and pointed. The two older sisters watched from the corner, clenching their fists and biting their lips in jealousy.","Traditional Vietnamese painting style, a handsome groom in blue silk mandarin robes standing beside a beautiful bride, guests cheering and looking surprised, colorful lanterns, grand royal wedding feel, masterpiece quality.","Strange coconut boy,Youngest daughter,Sisters",Transforming,Into handsome man
10,15,"Từ ngày ấy, hai vợ chồng Sọ Dừa sống với nhau rất hạnh phúc. Không những thế, Sọ Dừa còn tỏ ra rất thông minh. Chàng ngày đêm miệt mài đèn sách và quả nhiên năm ấy, Sọ Dừa đỗ trạng nguyên. Thế nhưng cũng lại chẳng bao lâu sau, Sọ Dừa được vua sai đi sứ. Trước khi đi, chàng đưa cho vợ một hòn đá lửa, một con dao và hai quả trứng gà nói là để hộ thân.","The couple sat close together, smiling. So Dua read books by candlelight every night and passed the royal exams, becoming the First Laureate. Soon, the King sent him abroad. Before leaving, he gave his wife a flint stone, a sharp knife, and two fresh chicken eggs, placing them in her hands with a serious face: ""Keep these safe.""","Traditional Vietnamese painting style, Strange coconut boy studying by a candle's glow, his wife sewing nearby, a sharp knife and two eggs on a table, warm and studious atmosphere, highly detailed, professional artwork.","Strange coconut boy,Youngest daughter",Studying,By candlelight
11,15,"Ganh tị với cô em, hai cô chị sinh lòng ghen ghét rắp tâm hại em để thay làm bà trạng. Nhân quan trạng đi vắng, hai chị sang rủ cô út chèo thuyền ra biển rồi cứ thế lừa đẩy cô em xuống nước. Cô út bị cá kình nuốt chửng, nhưng may có con dao mà thoát chết.","Glaring at their sister's fine robes, the older sisters whispered to each other. While the husband was away, they invited the youngest to a boat trip. On the open sea, they shoved her overboard. She sank and was swallowed by a giant monster fish. Inside the dark belly, she used her husband's knife to slash the flesh.","Traditional Vietnamese painting style, two sisters pushing the youngest girl off a small wooden boat into the deep blue sea, a giant monster fish lurking beneath the waves, dramatic and dark scene, 8k resolution.","Sisters,Youngest daughter",Pushing,Youngest sister
12,15,"Cô dạt vào một hòn đảo, lấy dao khoét bụng cá chui ra, đánh đá lấy lửa nướng thịt cá ăn. Sống được ít ngày trên đảo, hai quả trứng gà cũng kịp nở thành một đôi gà đẹp để làm bạn cùng cô út. Một hôm có chiếc thuyền đi qua đảo, con gà trống nhìn thấy bèn gáy to: ""ò… ó… o. Phải thuyền quan trạng rước cô tôi về"".","She cut her way out and washed ashore on a rocky, deserted island. She struck the flint to make a fire and roasted fish meat. The two eggs hatched into a rooster and a hen. One day, a royal ship sailed past. The rooster flew to a high rock, flapping its wings and crowing: ""O... o... o! Is that the Mandarin's ship coming for my mistress?"""",""Traditional Vietnamese painting style, a beautiful woman on a rocky island, a rooster crowing on a high rock, a royal ship with large sails appearing on the horizon, bright sunlight, highly detailed, masterpiece quality.","Traditional Vietnamese painting style, a beautiful woman on a rocky island, a rooster crowing on a high rock, a royal ship with large sails appearing on the horizon, bright sunlight, highly detailed, masterpiece quality.","Youngest daughter,Rooster",Crowing,On the island
13,15,"Quan cho thuyền vào xem, chẳng ngờ đó chính là vợ mình. Hai vợ chồng gặp nhau, mừng mừng tủi tủi. Đưa vợ về nhà, quan trạng mở tiệc mừng mời bà con đến chia vui, nhưng lại giấu vợ trong nhà không cho ai biết. Hai cô chị thấy thế khấp khởi mừng thầm, tranh nhau kể chuyện cô em rủi ro ra chiều thương tiếc lắm.","The Mandarin ordered the ship closer and found his wife. They embraced, smiling with tears. Back home, he held a banquet but hid his wife in the inner room. The older sisters arrived, dressed up, wiping fake tears with handkerchiefs and making sad faces while telling stories.","Traditional Vietnamese painting style, a mandarin and his wife embracing on a ship deck, tears of joy, while back at home the two sisters hide their faces behind handkerchiefs, emotional storytelling, professional artwork.","Strange coconut boy,Youngest daughter,Sisters",Reuniting,On the ship
14,15,"Quan trạng không nói gì, tiệc xong mới cho gọi vợ ra. Hai cô chị nhìn thấy cô em thì xấu hổ quá, lén bỏ ra về rồi từ đó bỏ đi biệt xứ.","The Mandarin stayed silent. After the meal, he signaled. His wife stepped out from behind the curtain, beautiful and alive. The older sisters froze, their faces turning red. They covered their faces with their hands, ran out of the house, and fled the village.","Traditional Vietnamese painting style, the beautiful wife stepping out from behind a silk curtain, the two sisters looking terrified and red-faced with shame, royal banquet hall, high drama, highly detailed, 8k resolution.","Youngest daughter,Sisters",Appearing,Before sisters
