paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,5,"Ngày xưa một nhà nọ có Tân và Lang là hai anh em ruột, đặc biệt dáng người và mặt mày giống nhau như đúc, đến nỗi chính người nhà cũng nhiều phen nhầm lẫn. Cha họ là một người cao to nhất trong vùng đã từng được vua Hùng triệu về Phong-châu ban thưởng và đặt tên là Cao. Từ đó gia đình lấy tiếng 'Cao' làm tên họ.","Once upon a time, in a certain family, there were two brothers named Tan and Lang who were identical in appearance, so much so that even their own family members often confused them. Their father, the tallest man in the region, had once been summoned by the Hung King to the capital of Phong Chau, where he was rewarded and given the name Cao. From then on, the family took 'Cao' as their surname.","Traditional Vietnamese painting style, two identical twin brothers sOlder brotherding side by side wearing simple ancient Vietnamese clothes, resembling each other perfectly, their tall father sOlder brotherding proudly behind them receiving a decree from a royal messenger, rural village background, warm colors, medium shot, highly detailed, masterpiece quality.","Older brother,Younger brother",Standing,Beside father
2,5,"Hai anh em lớn lên thì cha mẹ nối nhau qua đời. Cả anh lẫn em quyến luyến nhau không chịu rời nửa bước. Người cha trước khi mất có gửi gắm Tân cho một đạo sĩ họ Lưu. Nhưng khi Tân đến theo học thì Lang không chịu ở nhà một mình, chàng cũng cố xin cùng được học với anh một thể. Nhà họ Lưu có một cô con gái cũng cùng lứa tuổi với họ.","As the two brothers grew up, their parents passed away one after another. The brothers were deeply attached and inseparable. Before his death, their father had entrusted Tan to a Taoist master of the Luu family. But when Tan went to study, Lang refused to stay home alone and begged to be allowed to study with his brother. The Luu family had a daughter who was the same age as them.","Traditional Vietnamese painting style, two brothers walking together on a dirt road carrying bundles of books and clothes, approaching a wooden house of a Taoist master nestled in the mountains, misty atmosphere, brotherly bond, wide angle, highly detailed, 8k resolution.","Older brother,Younger brother",Following,Taoist master
3,5,"Để tìm hiểu người nào là anh người nào là em, một hôm cô gái họ Lưu bày ra một mẹo nhỏ. Giữa lúc họ đang đói, nàng chỉ dọn cho họ một bát cháo với một đôi đũa. Đứng sau khe vách, nàng thấy người này nhường cháo cho người kia ăn. Nàng lẩm bẩm: - 'À, ra anh chàng vui tính kia là anh!'.","To find out who was the elder and who was the younger, the Luu family's daughter devised a small trick one day. When the brothers were hungry, she served them only one bowl of porridge with a single pair of chopsticks. Peeking through a crack in the wall, she saw one of them yield the porridge to the other. She murmured to herself: 'Ah, so the good-natured one is the elder brother!'","Traditional Vietnamese painting style, a young woman peeking from behind a bamboo screen, watching two brothers sitting at a table with only one bowl of porridge, one brother pushing the bowl to the other, rustic interior, soft lighting, observation scene, medium shot, highly detailed, professional artwork.",Wife,Peeking,At brothers
4,5,"Từ đó giữa Tân và cô gái có nhiều cuộc gặp gỡ. Tình yêu giữa hai người mỗi ngày một khăng khít. Thấy thế, đạo sĩ họ Lưu vui lòng gả con cho Tân. Sau khi cưới, hai vợ chồng đến ở một ngôi nhà mới, có Lang ở chung.","From then on, Tan and the girl met often. Their love for each other grew stronger each day. Seeing this, the Taoist master Luu gladly married his daughter to Tan. After the wedding, the couple moved into a new house, with Lang living with them.","Traditional Vietnamese painting style, a simple wedding ceremony in an ancient house, Older brother and the Taoist's daughter bowing to ancestors, Younger brother sOlder brotherding nearby looking happy but slightly isolated, red festive colors, warm and traditional atmosphere, medium shot, highly detailed, masterpiece quality.","Older brother,Wife",Getting married,Near Lang
5,5,"Từ ngày lấy vợ, Tân tuy vẫn chiều chuộng em nhưng không âu yếm em như trước nữa. Trước kia Lang thường được anh chăm sóc nhưng bây giờ thì chàng có nhiều ngày cô đơn. Lang nhận thấy nhiều khi Tân muốn lánh mình. - 'Phải rồi, anh ấy mê vợ quên ta'. Trong lòng Lang đầy chán nản buồn bực.","After getting married, although Tan still cared for his brother, he was not as affectionate as before. Lang, who had always been doted on by his older brother, now spent many days in loneliness. Lang noticed that Tan often seemed to want to avoid him. 'That's right, he is so captivated by his wife that he has forgotten me,' Lang thought. His heart filled with despair and sorrow.","Traditional Vietnamese painting style, Older brother and his wife laughing together in the sunlight, while Younger brother sits alone in the shadows of the porch looking sad and lonely, contrast between togetherness and isolation, emotional atmosphere, medium shot, highly detailed, 8k resolution.",Younger brother,Sitting alone,Watching brother
6,5,Một hôm Lang và Tân cùng lên nương đến tối mịt mới về. Lang về trước. Chàng vừa bỏ chân lên ngưỡng cửa thì vợ Tân từ trong buồng chạy ra ôm chầm lấy mình. Lang kêu lên. Cái nhầm của chị dâu làm cho cả hai người cùng ngượng nghịu xấu hổ. Giữa lúc đó thì Tân bước vào nhà.,"One day, Lang and Tan worked in the fields until dusk. Lang returned home first. As he stepped over the threshold, Tan's wife ran out from her room and embraced him tightly. Lang cried out. The sister-in-law's mistake left them both embarrassed and ashamed. Just at that moment, Tan walked in.","Traditional Vietnamese painting style, twilight setting, Older brother's wife hugging Younger brother by mistake at the doorstep, Younger brother looking shocked and pushing back, Older brother entering the gate witnessing the scene, dramatic lighting, tension, medium shot, highly detailed, professional artwork.","Wife,Younger brother,Older brother",Hugging,Lang
7,5,Từ đây Lang lại biết thêm một tính tình mới của anh. Tân ghen em. Cái ghen làm tăng thêm sự hững hờ của Tân đối với chàng. Lang vừa giận vừa thẹn. Chàng muốn bỏ nhà ra đi cho bõ ghét.,"From this incident, Lang discovered a new side to his brother. Tan was jealous. This jealousy only increased Tan's indifference towards him. Lang felt both angry and ashamed. He wanted to leave home to escape his bitterness.","Traditional Vietnamese painting style, Older brother looking coldly at his brother with suspicion, Younger brother looking down with a heartbroken expression, packing a small cloth bundle in a dim room, psychological tension, close-up, highly detailed, masterpiece quality.","Older brother,Younger brother",Packing,To leave
8,5,"Một hôm trời mới mờ sáng, Lang quyết định khởi hành. Chàng cứ theo con đường mòn đi mãi, trong lòng đầy bực bội oán trách. Đi luôn mấy ngày đường, Lang tới bờ một con sông lớn. Thấy nước chảy xiết, chàng lấy làm ngại ngùng. Xung quanh không nghe qua một tiếng gà gáy chó sủa. Nhưng Lang quyết không chịu trở lại.","One day at dawn, Lang decided to leave. He followed a path endlessly, his heart full of resentment. After walking for several days, he reached the bank of a large river. Seeing the swift current, he hesitated. There was no sound of chickens or dogs nearby. But Lang was determined not to turn back.","Traditional Vietnamese painting style, Younger brother walking alone on a deserted path towards a wide rushing river, grey sky, wind blowing, landscape of isolation and determination, wide angle, highly detailed, 8k resolution.",Younger brother,Walking,To river
9,5,"Lang ngồi cúi gục trên bờ, ôm mặt khóc. Chàng khóc mãi, khóc mãi, đến nỗi những con chim đi kiếm ăn khuya vẫn còn nghe tiếng nức nở. Sáng hôm sau, Lang chỉ còn là một cái xác không hồn. Chàng đã hóa đá.","Lang sat slumped on the riverbank, burying his face in his hands and weeping. He cried and cried, so much that even the nocturnal birds could still hear his sobs. The next morning, Lang was but a lifeless body. He had turned into a stone.","Traditional Vietnamese painting style, a large limestone rock shaped like a grieving man crouching on the riverbank, moonlight reflecting on the water, mystical and sad atmosphere, still life composition, highly detailed, masterpiece quality.",Younger brother (stone),Turning into,Limestone
10,5,"Tân thấy mất hút em thoạt đầu không để ý. Mãi sau vẫn không thấy em về, Tân bổ đi tìm các nhà quen nhưng cũng không thấy tăm dạng. Biết là em bỏ đi vì giận mình, chàng lấy làm hối hận. Hôm sau nữa, cũng không thấy về, Tân hoảng hốt để vợ lại nhà, cất bước đi tìm.","At first, when Tan noticed his brother was gone, he paid it no mind. But when Lang still hadn't returned, Tan went to check with acquaintances, but found no trace of him. Realizing his brother had left out of anger, he was filled with remorse. When Lang still wasn't back the next day, Tan, in a panic, left his wife at home and set out to find him.","Traditional Vietnamese painting style, Older brother running anxiously through a forest path, calling out for his brother, expression of regret and worry, dynamic motion, foliage blurring, medium shot, highly detailed, professional artwork.",Older brother,Searching,For Lang
