paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,3,"Vào thời Hùng Vương có một người đàn bà đã nhiều tuổi nhưng sống một thân một mình. Một hôm sáng dậy bà đi thăm nương, bỗng nhìn thấy một vết chân giẫm nát cả mấy luống cà. Bà kinh ngạc kêu lên: - 'Ôi! Bàn chân ai mà to thế này!'.","During the time of the Hung Kings, there was an old woman who lived all by herself. One morning, she went to visit her fields and suddenly saw a footprint that had crushed several rows of her eggplants. She exclaimed in astonishment: 'Oh! Whose foot is so large?'","Traditional Vietnamese painting style, an elderly peasant woman with a headscarf looking down in astonishment at a gigantic footprint indented deep into the soil, crushing green eggplant bushes, morning sunlight in a vegetable field, wide angle, highly detailed, masterpiece quality.",Woman,Looking at,Giant footprint
2,3,"Bỗng bà cảm thấy rùng mình khi đưa bàn chân ướm thử vào dấu chân lạ. Từ đó bà có mang. Đủ ngày tháng, bà sinh được một đứa con trai bụ bẫm đặt tên là Gióng. Nhưng thằng bé lên ba tuổi rồi mà vẫn nằm ngửa đòi ăn, không biết ngồi biết lẫy, cũng không biết nói biết cười gì cả.","She suddenly felt a shiver as she placed her own foot into the strange print to test its size. From that day on, she was with child. When the time came, she gave birth to a plump baby boy whom she named Gióng. However, the boy reached the age of three but still just lay on his back demanding food, unable to sit up, roll over, speak, or laugh.","Traditional Vietnamese painting style, a 3-year-old boy lying still on a bamboo bed inside a thatched hut, looking chubby but motionless, his mother sitting nearby with a worried expression, rustic interior, soft window light, melancholic atmosphere, medium shot, highly detailed, 8k resolution.","Woman,Miracle boy",Lying still,On bamboo bed
3,3,"Ngày ấy có giặc Ân kéo vào cướp nước ta. Giặc Ân rất hung hăng tàn ác, cầm đầu là một viên tướng tên gọi Ân vương, hình dung cổ quái dữ tợn. Chúng nó đi đến đâu là đốt phá nhà cửa, giết người cướp của đến đấy. Quân đội Hùng Vương nhiều phen xuất trận, nhưng đánh không nổi. Vua Hùng lấy làm lo lắng vội phái sứ giả đi khắp nơi trong nước tìm bậc tướng tài để giúp vua cứu nước.","In those days, the Ân invaders came to plunder the country. The Ân were extremely fierce and cruel, led by a general called the Ân King, who had a grotesque and terrifying appearance. Wherever they went, they burned houses, killed people, and stole property. The Hung King's army went into battle many times but could not defeat them. Worried, the King urgently sent messengers across the land to find a talented general to help save the nation.","Traditional Vietnamese painting style, fierce invaders in strange dark armor burning a Vietnamese village, flames consuming wooden houses, a terrifying general (An King) on a horse in the background, chaotic and dark atmosphere, fire lighting, cinematic war scene, highly detailed, masterpiece quality.","Invaders,An King",Burning / Plundering,Village houses
4,3,"Một hôm sứ giả đi đến làng chú bé Gióng. Nghe tiếng loa rao nói đến việc nhà vua cầu người tài, bà mẹ Gióng đang ru con, liền bảo đùa con rằng: - Con ơi! Con của mẹ chậm đi chậm nói làm vậy, thì biết bao giờ mới đi đánh giặc giúp vua được đây!","One day, a messenger came to Gióng's village. Hearing the town crier announce the King's search for a talented individual, Gióng's mother, who was lulling her son, said jokingly: 'Oh, my child! With you being so slow to walk and talk, when will you ever be able to fight the invaders and help the King?'","Traditional Vietnamese painting style, a mother gently rocking a wicker cradle inside a house, speaking to her child, while through the open door a royal messenger is visible blowing a trumpet in the village road, contrast between quiet home and public urgency, medium shot, highly detailed, professional artwork.","Woman,Messenger",Rocking cradle,In the house
5,3,"Không ngờ Gióng nhìn mẹ mở miệng bật lên thành tiếng: - Mẹ cho gọi sứ giả vào đây cho con! Nói xong lại im bặt. Bà mẹ vừa mừng vừa sợ, vội đi kể chuyện với xóm giềng. Mọi người đổ tới, ai nấy cho là một sự lạ. Sau cùng một người nói: - Ta cứ đi mời sứ giả đến xem thử nó muốn cái gì.","Unexpectedly, Gióng looked at his mother and spoke his first words: 'Mother, ask the messenger to come in here for me!' After saying that, he fell silent again. His mother, both overjoyed and frightened, rushed to tell her neighbors. People crowded around, all considering it a strange phenomenon. Finally, someone said: 'Let's just invite the messenger over to see what he wants.'","Traditional Vietnamese painting style, close-up of the toddler Miracle boy suddenly sitting up and speaking, his mother stepping back in shock with hand over mouth, neighbors peeking through the window, dramatic interior lighting, miraculous atmosphere, portrait shot, highly detailed, 8k resolution.","Miracle boy,Woman",Speaking / Sitting up,To mother
6,3,"Khi sứ giả của nhà vua bước vào nhà nhìn thấy chú bé Gióng liền hỏi rằng: - Mày là đứa trẻ lên ba mới học nói, mày định mời ta đến để làm gì? Gióng trả lời rất chững chạc: - Về bảo với vua rèn cho ta một con ngựa sắt, một thanh gươm sắt, một giáp sắt và một nón sắt, ta sẽ đánh đuổi giặc dữ cho!","When the King's messenger entered the house and saw the little boy Gióng, he asked: 'You are a three-year-old child who has just learned to speak. Why did you ask for me?' Gióng replied with great composure: 'Go back and tell the King to forge me an iron horse, an iron sword, a suit of iron armor, and an iron helmet. I will drive out these fierce invaders for him!'","Traditional Vietnamese painting style, the small child Miracle boy sitting confidently on the bed, commanding the royal messenger who is listening attentively, Miracle boy gesturing with authority, rustic home setting, serious and mystical mood, medium shot, highly detailed, masterpiece quality.","Miracle boy,Messenger",Commanding,The messenger
7,3,"Ai nấy đứng nghe khôn xiết lạ lùng. Cho là thần nhân xuất hiện, sứ giả lập tức phi ngựa về tâu vua. Nghe nói, Hùng Vương mừng rỡ liền ra lệnh cho thợ rèn góp tất cả sắt lại rèn ngựa, gươm, áo giáp và nón như lời xin của chú bé. Mọi thứ rèn xong nặng không thể tưởng tượng nổi. Hàng chục người mó vào thanh gươm mà không nhúc nhích. Vua Hùng phải cho hàng ngàn quân sĩ tìm mọi cách chở đến cho chú bé Gióng.","Everyone who heard this was utterly astonished. Believing a divine being had appeared, the messenger immediately galloped back to report to the King. Upon hearing the news, the Hung King was overjoyed and ordered his smiths to gather all the iron to forge the horse, sword, armor, and helmet as the boy had requested. When finished, the items were unimaginably heavy. Dozens of men could not budge the sword. The Hung King had to assign thousands of soldiers to find a way to transport everything to Gióng.","Traditional Vietnamese painting style, a busy forge scene with muscular blacksmiths hammering a gigantic glowing iron sword and a massive iron horse structure, sparks flying, fire light, intense labor atmosphere, wide angle, highly detailed, professional artwork.",Blacksmiths,Forging,Iron horse and sword
8,3,"Khi được tin quân sĩ khiêng ngựa sắt sắp đến làng, mẹ Gióng sợ hãi chạy về bảo con: - Con ơi! Việc nhà vua đâu phải là chuyện chơi. Hiện quân sĩ đang kéo đến ầm ầm ngoài bãi, biết làm thế nào bây giờ?","When she heard that the soldiers carrying the iron horse were nearing the village, Gióng's mother ran home in fear and said to her son: 'My child! The King's business is not a game. The soldiers are thundering into the village commons right now, what are we going to do?'","Traditional Vietnamese painting style, Miracle boy's mother running into the house with a terrified expression, pointing outside, Miracle boy listening calmly, background shows dust rising from approaching troops, dramatic urgency, medium shot, highly detailed, 8k resolution.","Woman,Miracle boy",Running / Warning,Giong
9,3,"Nghe nói thế, Gióng vụt ngồi dậy, nói: - Việc đánh giặc thì mẹ đừng lo. Nhưng mẹ phải cho con ăn thật nhiều mới được! Mẹ vội thổi cơm cho con ăn, nhưng nấu lên được nồi nào Gióng ngốn hết ngay nồi ấy. Mỗi lần ăn một nồi cơm thì Gióng lại lớn thêm một ít và đòi ăn thêm. Mẹ càng cho con ăn thì con lại càng lớn như thổi, bỗng chốc đã thành một chàng thanh niên khỏe mạnh.","Hearing this, Gióng suddenly sat up and said: 'Do not worry about fighting the invaders, Mother. But you must feed me a great deal!' His mother rushed to cook rice for him, but no sooner was a pot cooked than Gióng devoured it all. With each pot of rice he ate, Gióng grew a little bigger and demanded more. The more his mother fed him, the faster he grew, and in a flash, he had become a strong young man.","Traditional Vietnamese painting style, time-lapse concept, Miracle boy eating voraciously from large clay pots of rice, his body glowing and expanding in size, muscles growing, mother serving food rapidly, magical and dynamic atmosphere, medium shot, highly detailed, masterpiece quality.","Miracle boy,Woman",Eating / Growing,Rice from pots
10,3,"Hết gạo, bà mẹ đi kêu gọi xóm làng. Mọi người nô nức đem gạo khoai, trâu rượu, hoa quả, bánh trái đến đầy một sân. Nhưng đưa đến bao nhiêu, Gióng ăn vợi hết bấy nhiêu, mà vẫn đòi ăn không nghỉ.","When the rice ran out, his mother went to call upon the villagers for help. Everyone eagerly brought rice, sweet potatoes, buffalo meat, wine, fruits, and cakes until the yard was full. But no matter how much they brought, Gióng ate it all and still demanded more without stopping.","Traditional Vietnamese painting style, a giant young man Miracle boy sitting in the courtyard surrounded by empty baskets, villagers forming a line to bring more food, fruits, and meat, bustling community atmosphere, bright daylight, wide shot, highly detailed, professional artwork.","Villagers,Miracle boy",Bringing food,To Giant Giong
11,3,"Sau đó, Gióng lại bảo tiếp: - Mẹ kiếm vải cho con mặc. Người ta lại đua nhau mang vải lụa tới may áo quần cho Gióng mặc. Nhưng thân thể Gióng lớn vượt một cách kỳ lạ, áo quần vừa may xong đã thấy chật, thấy ngắn, lại phải mang vải lụa tới để chắp nối thêm. Không mấy chốc đầu Gióng đã chạm nóc nhà.","After that, Gióng said: 'Mother, find me some cloth to wear.' Again, the people rushed to bring fabric and silk to sew clothes for him. But Gióng's body grew so miraculously fast that the clothes were too tight and too short as soon as they were finished, and more fabric had to be brought to extend them. Soon, Gióng's head was touching the roof of the house.","Traditional Vietnamese painting style, Miracle boy standing up inside the house, his head breaking through the thatched roof, his shoulders wide and powerful, villagers below looking up in awe holding rolls of fabric, dramatic scale, sunlight beaming through the broken roof, highly detailed, 8k resolution.","Miracle boy,Villagers",Breaking through,The roof
12,3,"Ai nấy chưa hết kinh ngạc thì vừa lúc quân sĩ đã hì hục khiêng được ngựa, gươm, áo giáp và nón sắt tới. Gióng bước ra khỏi nhà vươn vai một cái, người bỗng cao to sừng sững, chân dài hơn trượng, hét lên một tiếng như tiếng sấm: - Ta là tướng nhà Trời!","Before the people could recover from their amazement, the soldiers arrived, struggling to carry the iron horse, sword, armor, and helmet. Gióng stepped out of the house, stretched his arms, and suddenly grew into a towering figure with legs over ten feet long. He roared in a voice like thunder: 'I am a General of the Heavens!'","Traditional Vietnamese painting style, Colossal Miracle boy standing tall and muscular next to a massive black iron horse, shouting to the sky with arms raised, tiny soldiers around him, epic heroic pose, golden sunlight, low angle shot, highly detailed, masterpiece quality.",Miracle boy,Shouting / Towering,Next to iron horse
13,3,"Thế rồi Gióng mặc giáp sắt, đội nón sắt, tay cầm gươm múa quanh mấy vòng. Đoạn từ biệt mẹ và dân làng, nhảy lên lưng ngựa. Ngựa sắt bỗng chồm lên, phun thẳng ra đàng trước một luồng lửa đỏ rực. Gióng thúc chân, ngựa phi như bay, sải từng bước dài hàng chục con sào, rung chuyển cả trời đất.","Then, Gióng put on the iron armor, donned the iron helmet, and brandished the sword a few times. After bidding farewell to his mother and the villagers, he leaped onto the horse's back. The iron horse reared up, spewing a jet of blazing fire from its nostrils. Gióng spurred it on, and the horse took flight, its strides covering dozens of yards at a time, shaking the very earth and sky.","Traditional Vietnamese painting style, Miracle boy in full iron armor riding a black iron horse that is breathing a stream of red fire, galloping through the air, dust and clouds swirling, dynamic motion blur, epic fantasy atmosphere, action shot, highly detailed, 8k resolution.","Miracle boy,Iron Horse",Galloping / Breathing fire,Through the air
14,3,"Chỉ trong chớp mắt, ngựa đã xông đến đồn trại giặc bấy giờ đang đóng la liệt cả mấy khu rừng. Lưỡi gươm của Gióng vung lên loang loáng như chớp giật. Quân giặc xông ra chừng nào chết chừng ấy. Ngựa thét ra lửa thiêu cháy từng dãy đồn trại, lửa thiêu luôn cả mấy khu rừng. Khói bụi mịt mù, tiếng la hét kêu khóc như ri.","In the blink of an eye, the horse charged into the enemy encampments, which were spread across several forests. Gióng's sword flashed like lightning. As soon as the invaders charged out, they were slain. The horse roared fire, burning down row after row of enemy forts and setting entire forests ablaze. The air was thick with smoke and dust, filled with screams and cries.","Traditional Vietnamese painting style, Miracle boy swinging a giant iron sword smashing through enemy ranks, the iron horse breathing fire onto enemy tents, chaos and explosions of fire, intense battle scene, dramatic lighting, highly detailed, masterpiece quality.","Miracle boy,Iron Horse",Swinging sword / Burning,Enemy camp
15,3,"Nhưng tướng giặc Ân vương vẫn cố gào thét hô quân xáp tới, Gióng càng đánh càng khỏe, thây giặc nằm ngổn ngang đầy rừng. Bỗng chốc gươm gãy. Không bối rối, Gióng thuận tay nhổ những bụi tre hai bên đường quật tới tấp vào các toán giặc đang cố gắng trụ lại theo lệnh chủ tướng.","But the enemy general, the Ân King, kept shouting for his troops to attack. The more Gióng fought, the stronger he became, and the bodies of the invaders littered the forest floor. Suddenly, his sword broke. Unfazed, Gióng swiftly uprooted clusters of bamboo along the roadside and thrashed them relentlessly upon the enemy squadrons trying to hold their ground on their commander's orders.","Traditional Vietnamese painting style, Miracle boy pulling up a whole clump of green bamboo bushes with roots, holding it like a weapon to strike enemies, a broken iron sword lying on the ground, display of immense strength, battle background, dynamic action, highly detailed, 8k resolution.",Miracle boy,Uprooting / Striking,Bamboo clump
16,3,"Chẳng mấy chốc quân giặc đã tẩu tán khắp nơi, Ân vương bị quật chết tan xác. Bọn tàn binh giặc lạy lục xin hàng. Quân đội của Hùng Vương cũng như dân các làng chỉ còn việc xông ra trói nghiến chúng lại. Không đầy một buổi, Gióng đã trừ xong nạn nước.","Soon, the enemy forces were scattered, and the Ân King was beaten to death, his body obliterated. The remaining enemy soldiers bowed and begged to surrender. The Hung King's army and the villagers had only to rush out and tie them up. In less than a day, Gióng had ended the threat to the nation.","Traditional Vietnamese painting style, Vietnamese soldiers and villagers binding up surrendering invaders in a field, Miracle boy watching victoriously from his horse in the distance, smoke clearing, triumphant but calm atmosphere, wide shot, highly detailed, professional artwork.","Soldiers,Villagers",Binding captives,In the field
17,3,"Lúc bấy giờ ngựa Gióng đã tiến đến chân núi Sóc-sơn. Đến đây, Gióng bèn cởi giáp bỏ nón lại, rồi cả người lẫn ngựa bay thẳng lên trời. Sau khi thắng trận, để nhớ ơn người anh hùng, vua Hùng sai lập đền thờ Gióng ở làng quê, phong làm Phù Đổng thiên vương.","By then, Gióng's horse had reached the foot of Sóc Sơn mountain. There, Gióng removed his armor and helmet, and then both man and horse flew straight up into the sky. After the victory, to commemorate the hero's merit, the Hung King ordered a temple to be built in Gióng's home village and bestowed upon him the title 'Phù Đổng Thiên Vương' (The Heavenly King of Phù Đổng).","Traditional Vietnamese painting style, Miracle boy riding the iron horse ascending into the clouds towards the sun, leaving his iron armor and helmet on the mountain peak below, spiritual golden rays, legendary and mythical atmosphere, low angle, highly detailed, masterpiece quality.",Miracle boy,Ascending / Flying,Into the sky
