paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,24,"Ngày xưa, có hai vợ chồng ông già tên là Dã Tràng. Trong vườn có một cái hang rắn. Thường ngày làm cỏ gần đấy, ông già vẫn thấy có một cặp rắn hổ mang ra vào trong hang.","Da Trang, an old peasant with a white beard wearing faded brown clothes, stood in his garden holding a wooden bow.","Traditional Vietnamese painting style, an old peasant with a white beard and brown clothes holding a wooden bow in a lush garden, a dark snake burrow nearby, rustic atmosphere, 8k resolution.",Old Man,Standing,In the garden
2,24,"Ông bèn rút một mũi tên nhắm vào con rắn đực mới đến, bắn ngay một phát.","Near a dark cave, he aimed an arrow at a large spotted male cobra coiling on the ground.","Traditional Vietnamese painting style, Old Man aiming a bamboo arrow at a large spotted cobra coiling near a cave entrance, dynamic tension, forest background, professional artwork.","Old Man,Male cobra",Aiming,An arrow at the cobra
3,24,"Ông nhìn thấy rắn vợ nằm cuộn ở trong, vì mới lột nên mình mẩy của nó còn yếu ớt không cựa quậy được.",A female cobra watched from the shadows of the cave entrance.,"Traditional Vietnamese painting style, a pale female cobra with shimmering skin resting inside the shadows of a cave, looking weak and fragile, soft lighting, masterpiece quality.",Female cobra,Watching,From the cave
4,24,Ông kể vừa dứt thì tự nhiên nghe trên mái nhà có tiếng phì phì. Cả hai người hốt hoảng nhìn lên thì thấy có một con rắn hổ mang rất lớn.,"One night, a large cobra hung from the thatched roof rafters, looking down at Da Trang.","Traditional Vietnamese painting style, a massive cobra hanging from the dark wooden rafters of a thatched hut, Old Man looking up in fear, flickering oil lamp light, 8k resolution.","Old Man,Large cobra",Hanging,From the roof
5,24,"Đầu nó vươn xuống tới gần chỗ ông nằm, miệng nhả một viên ngọc.",The snake opened its mouth and dropped a glowing green pearl into Da Trang's rough palm.,"Traditional Vietnamese painting style, a close-up of a cobra's head descending, dropping a radiant green pearl into a weathered human hand, magical glow, professional artwork.","Snake,Glowing pearl",Dropping,A glowing pearl
6,24,"Ông vừa cầm lấy thì bỗng nghe được tiếng rắn nói, từ kinh ngạc đến sung sướng.","Da Trang held the glowing green pearl up to the lamp light, his eyes wide with surprise.","Traditional Vietnamese painting style, Old Man holding a glowing pearl close to his face, eyes wide with amazement, warm indoor lighting, intricate details, masterpiece quality.","Old Man,Green pearl",Holding,The green pearl
7,24,"Một hôm, Dã Tràng đang hái rau, tự dưng có một bầy quạ đến đậu ở mấy ngọn cau nói chuyện lao xao.","Da Trang stood under a tall betel nut tree, pressing the green pearl to his ear to listen to black crows cawing above.","Traditional Vietnamese painting style, Old Man standing beneath tall betel nut trees, holding a pearl to his ear, black crows perched on branches above, rural scenery, 8k resolution.","Old Man,Crows",Listening,To the crows
8,24,"Bầy quạ liền cắp lấy mũi tên có đề tên Dã Tràng ở đuôi, tìm dịp báo thù, bèn đem mũi tên ấy cắm vào yết hầu xác chết trôi sông.","Later, angry crows flew down and dropped an arrow marked ""Da Trang"" onto a floating corpse in the river.","Traditional Vietnamese painting style, black crows flying over a river, dropping an arrow into a floating body, dark and ominous atmosphere, professional artwork.","Crows,Floating corpse",Dropping,An arrow
9,24,"Khi quan sở tại đến làm biên bản, thấy mũi tên, liền đoán ngay Dã Tràng là thủ phạm, sai lính bắt ông hạ ngục.",Soldiers in red tunics seized Da Trang and locked his neck in a heavy wooden cangue.,"Traditional Vietnamese painting style, royal soldiers in red uniforms arresting Old Man, his neck locked in a heavy wooden cangue, village street background, 8k resolution.","Soldiers,Old Man",Arresting,Da Trang
10,24,"Dã Tràng cổ bị gông, chân bị xiềng nằm trên đống rơm buồn rầu không ngủ được, nhìn qua khung cửa sắt.","Lying on dirty straw in a dark prison cell, Da Trang looked up at the iron window bars where two brown sparrows perched.","Traditional Vietnamese painting style, Old Man in a dark prison cell with neck gallows, lying on straw, looking up at two small sparrows on a barred window, masterpiece quality.","Old Man,Sparrows",Looking,At the sparrows
