paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,7,"Ngày xưa có một bác đồ tể chuyên mua lợn về giết thịt để mang bán ở chợ. Nhà bác ta ở bên cạnh một ngôi chùa làng. Hàng ngày, vào lúc mờ sáng là lúc sư cụ bên chùa theo lệ thường thức dậy tụng kinh. Và cũng theo lệ thường, sư cụ thức chú tiểu dậy gõ một hồi chuông mai. Bấy giờ cũng là lúc bác đồ tể sửa soạn giết lợn, cho nên bác ta quen lấy tiếng chuông làm chừng thức dậy làm việc hàng ngày. Cứ như thế, ngày nào cũng như ngày ấy không bao giờ sai lạc.","Once upon a time, there was a butcher who bought pigs to slaughter for sale at the market. His house was next to a village pagoda. Every day at dawn, the head monk of the pagoda would customarily wake up to chant scriptures. And, as was tradition, the head monk would wake the novice monk to strike the morning bell. This was also the time the butcher prepared to slaughter a pig, so he had grown accustomed to using the bell as his daily alarm clock. Day in and day out, this routine never varied.","Traditional Vietnamese painting style, a sturdy butcher sharpening a large knife in front of his wooden house, a peaceful ancient pagoda visible in the background with morning mist, dawn light, rustic atmosphere, medium shot, highly detailed, masterpiece quality.",Butcher,Sharpening,Knife
2,7,"Một đêm nọ, sư cụ nằm mộng thấy một người đàn bà dắt năm đứa con nhỏ đến trước mặt mình rồi vái lấy vái để, miệng nói: - 'Xin cứu mạng! Xin cứu mạng!'.","One night, the head monk had a dream. He saw a woman leading five small children approach him. She bowed repeatedly, saying: 'Please save our lives! Please save our lives!'","Traditional Vietnamese painting style, an old Buddhist monk sleeping in a dim temple room, a dream vision appearing above showing a weeping woman and five small children kneeling and pleading, mystical and spiritual atmosphere, medium shot, highly detailed, 8k resolution.",Monk,Dreaming of,Woman and children
3,7,Sư hỏi người đàn bà: - 'A-di-đà Phật! Cứu mạng là cứu thế nào? Bần tăng phải làm gì đây?'. Người mẹ có bộ điệu hãi hùng ấy trả lời: - 'Ngày mai xin hòa thượng hãy đánh chuông chậm lại. Như vậy mẹ con chúng thiếp rất đội ơn'.,"The monk asked the woman: 'Amitabha Buddha! How am I to save your lives? What must I do?' The terrified mother replied: 'Tomorrow, I beg you, venerable monk, to ring the bell later than usual. For that, my children and I would be eternally grateful.'","Traditional Vietnamese painting style, close-up of the weeping woman in the dream bowing low to the monk, expressing desperation, the monk looking compassionate, ethereal lighting, emotional scene, highly detailed, professional artwork.",Woman,Pleading,To monk
4,7,"Nhà sư tỉnh dậy không hiểu thế nào cả. Nhưng tờ mờ sáng hôm đó, vâng theo lời báo mộng, sư cụ chỉ lâm râm đọc kinh cầu nguyện mà không thức chú tiểu dậy thỉnh chuông.","The monk awoke, not understanding the dream at all. But that morning, obeying the vision, he only murmured his prayers and did not wake the novice to ring the bell.","Traditional Vietnamese painting style, the old monk sitting in meditation position beside a large bronze bell, morning sunlight streaming through the window, deciding not to strike the bell, peaceful silence, medium shot, highly detailed, masterpiece quality.",Monk,Not striking,Bell
5,7,"Lại nói chuyện hôm ấy bác đồ tể ngủ một giấc li bì. Mãi đến lúc mặt trời lên chừng một cây sào, tiếng chuông chùa mới bắt đầu vang rền làm cho bác giật mình choàng dậy.","Meanwhile, the butcher was sleeping soundly. It was not until the sun was already high in the sky that the pagoda's bell finally began to toll, jolting him awake.","Traditional Vietnamese painting style, the butcher waking up suddenly in his bed, bright sunlight filling the room indicating late morning, expression of shock and panic, rustic interior, medium shot, highly detailed, 8k resolution.",Butcher,Waking up,Late
6,7,"Thấy trời đã quá trưa, bác không dám giết lợn như thường lệ, vì nếu làm thịt thì khi đưa ra đến chợ, chợ đã vãn người rồi. Tức mình vì lỡ mất một buổi chợ, bác ta lật đật sang chùa trách sư cụ.","Seeing it was so late, he dared not slaughter the pig as usual, because by the time he got the meat to the market, it would already be empty. Annoyed at having missed a day's sales, he hurried over to the pagoda to blame the head monk.","Traditional Vietnamese painting style, the butcher walking angrily towards the curved roof gate of the pagoda, gesturing in frustration, bright daylight, village setting, medium shot, highly detailed, professional artwork.",Butcher,Going to,Pagoda
7,7,"Sư cụ bèn đem câu chuyện nằm mộng đêm qua để phân trần với ông hàng xóm không phải lỗi tại mình. Nhưng lúc bước chân về chuồng lợn của nhà thì bác đồ tể ngạc nhiên thấy con lợn cái mua ngày hôm qua toan giết thịt sáng đó, đã đẻ được năm con lợn con.","The head monk calmly recounted the story of his dream to explain that it was not his fault. When the butcher returned to his pigsty, he was astonished to find that the sow he had bought the day before, the very one he had planned to kill that morning, had given birth to five piglets.","Traditional Vietnamese painting style, the butcher standing in front of a pig pen looking stunned, a mother pig nursing five tiny piglets inside, realization dawning on his face, barn setting, medium shot, highly detailed, masterpiece quality.",Butcher,Finding,Piglets
8,7,"Vừa mừng vừa sợ, bác ta kể cho mọi người biết sự lạ lùng: - 'Đúng là linh hồn người đàn bà ẩn trong con lợn cái đã tìm cách cứu bầy con của mình khỏi chết'.","Both overjoyed and frightened, he told everyone of the strange occurrence: 'It must be that the spirit of the woman was inside the sow and she found a way to save her children from death.'","Traditional Vietnamese painting style, the butcher standing in the village square telling a story to gathered villagers, pointing towards the pagoda with a look of awe and superstition, narrative atmosphere, wide angle, highly detailed, 8k resolution.",Butcher,Telling,Story
9,7,"Tự nhiên bác đồ tể đâm ra suy nghĩ. Bác thấy bàn tay của mình đã từng vấy máu biết bao nhiêu là sinh mạng. Trong một lúc hối hận đến cực điểm, bác ta cầm cả con dao bầu chạy sang chùa bộc bạch nỗi lòng với sư cụ.","The butcher suddenly grew reflective. He saw that his hands had been stained with the blood of countless living beings. In a moment of extreme remorse, he grabbed his butcher's knife, ran to the pagoda, and confessed his feelings to the head monk.","Traditional Vietnamese painting style, the butcher holding his large knife but looking at it with regret and sorrow, standing at the pagoda entrance, repentance atmosphere, close-up, highly detailed, professional artwork.",Butcher,Holding,Knife
10,7,"Bác ta quả quyết cắm con dao của mình trước sân chùa, thề trước Phật đài từ nay xin giải nghệ.","He decisively plunged his knife into the ground in the pagoda's courtyard, vowing before the Buddha's altar to give up his trade from that day forward.","Traditional Vietnamese painting style, the butcher kneeling before a large golden Buddha statue in the courtyard, thrusting his large knife vertically into the ground, swearing a vow, spiritual and dramatic moment, medium shot, highly detailed, masterpiece quality.",Butcher,Thrusting,Knife into ground
11,7,"Không rõ bác đồ tể rồi sau đó thế nào, nhưng con dao của bác tự nhiên hóa thành một loại cây có lá đỏ như máu và nhọn như lưỡi dao bầu, người ta vẫn gọi là cây huyết dụ.","It is not known what became of the butcher after that, but his knife miraculously transformed into a type of plant with leaves as red as blood and shaped like the blade of his butcher's knife. People still call this plant the Huyết Dụ tree (the Dragon's Blood plant).","Traditional Vietnamese painting style, a magical transformation scene, the knife handle turning into a plant stem and the blade turning into long sharp red leaves (Huyết Dụ plant), magical aura, garden background, close-up, highly detailed, 8k resolution.",Knife,Transforming into,Red plant
