paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,12,"Ngày xưa có một em bé mồ côi cha từ hồi còn nhỏ. Người mẹ sau một thời gian tang chế cũng đi lấy chồng. Vì bà con thân thích nội ngoại không còn ai nên nó phải theo mẹ về ở với bố ghẻ. Bố ghẻ tính rất vũ phu, coi cả hai mẹ con như kẻ ăn đứa ở. Nhất là thằng bé chưa biết làm gì cả, nên hắn lại càng ghét dữ. Nhiều lúc có việc trái ý, hắn đánh thằng bé thâm tím cả mình mẩy.","Once upon a time, there was a young boy whose father had died when he was little. After a period of mourning, his mother remarried. Since there were no relatives left on either side of the family, the boy had to follow his mother to live with his stepfather. The stepfather was a very abusive man who treated both mother and son like servants. He especially hated the boy, who was still too young to do any work. Often, when something displeased him, he would beat the boy until his body was covered in bruises.","Traditional Vietnamese painting style, a thin young boy cowering in a dark corner of a thatched house, looking with fear at a harsh-looking stepfather holding a rattan cane, gloomy atmosphere, medium shot, highly detailed, masterpiece quality.",Boy,Cowering,In fear
2,12,Nhà hắn cũng không có gì. Hắn thường sinh nhai bằng cách lên rừng đốn củi. Người đàn bà vừa về với hắn được một ngày đã phải gánh củi của chồng đi bán ở chợ.,"The stepfather's family was also poor. He made a living by going into the forest to chop firewood. Just one day after moving in with him, the woman had to carry the firewood her husband had cut to sell at the market.","Traditional Vietnamese painting style, a poor woman carrying a heavy load of firewood on a shoulder pole walking to a village market, sweat on her face, rural landscape, early morning, highly detailed, 8k resolution.",Mother,Carrying,Firewood
3,12,"Không may, năm đó trời làm mất mùa. Miếng ăn kiếm rất chật vật. Củi rẻ như bèo. Trước kia một gánh củi nuôi sống gia đình được mấy ngày thì bây giờ không đủ nuôi được một bữa. Thằng bé chưa làm được nghề ngỗng gì cả, trở nên một cái gai trước mắt bố ghẻ.","Unfortunately, that year the harvest failed. Earning a living became extremely difficult. Firewood was dirt cheap. Whereas before a load of firewood could support the family for several days, now it wasn't enough for even a single meal. The little boy, unable to do any work, became a thorn in his stepfather's side.","Traditional Vietnamese painting style, a barren rice field under a hot sun, the stepfather looking at the boy with angry eyes, the boy sitting idly looking hungry, symbol of famine, highly detailed, professional artwork.",Stepfather,Glaring,At boy
4,12,"Người bố ghẻ than thở với vợ rằng thằng bé chỉ là một miệng ăn vô dụng, chỉ làm cho cuộc sống thêm khốn khó, rồi giục bà đem bán nó cho người khác.",- 'This boy is just a useless mouth to feed. He only makes things harder for us.' He said this to his wife and urged her to sell the child to someone else.,"Traditional Vietnamese painting style, the stepfather whispering aggressively to the mother at night by an oil lamp, pointing towards the sleeping boy, the mother looking distressed, shadow play, highly detailed, masterpiece quality.",Stepfather,Urging,To sell boy
5,12,Nhưng người đàn bà nhất quyết không chịu. Thà là cả hai mẹ con cùng chết chứ bà không đời nào chịu lìa con.,But the woman adamantly refused. She would rather they both die than ever be separated from her child.,"Traditional Vietnamese painting style, the mother hugging the boy protectively, shaking her head firmly at the stepfather, tears in her eyes but expression resolute, interior scene, medium shot, highly detailed, 8k resolution.",Mother,Refusing,Stepfather
6,12,"Người bố ghẻ bèn có ý định muốn giết chết con riêng của vợ. Mạng người lúc này nhỏ bằng cái tơ cái tóc. Huống chi đối với hắn, hắn chẳng coi ra gì. Nạn đói coi chừng đang kéo dài và ngày càng dữ dội. Một gánh củi lớn bây giờ không đổi nổi một bát gạo.","The stepfather then decided he wanted to kill his stepson. At that time, human life was worth next to nothing. To him, especially, it meant nothing at all. The famine was dragging on and growing more severe. A large load of firewood could no longer be traded for even a single bowl of rice.","Traditional Vietnamese painting style, close-up of the stepfather's face, dark and sinister expression, contemplating evil, background showing a withered landscape of famine, highly detailed, professional artwork.",Stepfather,Plotting,Murder
7,12,"Hôm đó, chờ lúc vợ đi chợ sớm, hắn đưa thằng bé lên rừng. Hắn rủ: - Mày có muốn trèo ổi và bắt bướm không? Trên ấy thì tha hồ.","That day, waiting until his wife had left early for the market, he took the boy into the forest. He tempted him, saying: 'Do you want to climb guava trees and catch butterflies? There are plenty of them up there.'","Traditional Vietnamese painting style, the stepfather smiling falsely at the boy, pointing towards the forest, the innocent boy looking excited, early morning light, medium shot, highly detailed, masterpiece quality.",Stepfather,Luring,Boy
8,12,"Thằng bé nghe thế lấy làm thích, cố xin đi theo cho được. Cảnh rừng có nhiều cái lạ làm cho thằng bé lon ton chạy theo bố ghẻ không biết mệt.","Hearing this, the boy was delighted and eagerly begged to go along. The many strange sights in the forest made the little boy trot tirelessly after his stepfather.","Traditional Vietnamese painting style, the small boy running happily along a forest path, chasing butterflies, the stepfather walking behind with a cold look, forest scenery, wide shot, highly detailed, 8k resolution.",Boy,Following,Stepfather
9,12,"Người đàn ông đưa nó vào rừng sâu. Khi đến chỗ mấy cây ổi rừng, hắn bảo thằng bé: - Ổi đấy. Và có bát cơm đây. Chốc nữa tao lại tìm.","The man led him deep into the forest. When they reached some wild guava trees, he told the boy: 'There are the guavas. And here is a bowl of rice. I'll be back for you in a bit.'","Traditional Vietnamese painting style, deep dense forest, the stepfather placing a bowl of rice on the ground near a wild guava tree, the boy looking at the fruit, ominous atmosphere, medium shot, highly detailed, professional artwork.",Stepfather,Leaving,Rice bowl
10,12,"Thế rồi hắn bỏ mặc thằng bé, lẳng lặng lui ra, đến một chỗ khác kiếm củi. Nhưng buổi chiều, khi bước chân vào nhà hắn lấy làm ngạc nhiên thấy thằng bé đã về trước hắn rồi.","Then he abandoned the boy, silently withdrawing to go chop wood elsewhere. But that evening, when he stepped into his house, he was astonished to see that the boy had returned before him.","Traditional Vietnamese painting style, the stepfather walking into his yard in the evening, shocked to see the boy sitting on the porch, safe and sound, dramatic lighting, highly detailed, masterpiece quality.",Stepfather,Seeing,Boy at home
11,12,"Số là thằng bé trong khi đang bơ vơ giữa rừng rậm thì may mắn gặp một bọn đi đào khoai mài về ngang. Thế là họ đưa nó về. Nhờ có bát cơm, nó vẫn đủ sức đi được đến nhà.","As it happened, while the boy was lost in the dense forest, he had been lucky enough to meet a group of people returning from digging for wild yams. They brought him home. Thanks to the bowl of rice, he had enough strength to make the journey.","Traditional Vietnamese painting style, a group of kind villagers finding the boy in the forest, one sharing food with him, warm and hopeful colors, medium shot, highly detailed, 8k resolution.",Villagers,Helping,Boy
12,12,"Nghe đứa bé kể, hắn bực mình vô hạn. Hắn vờ mắng: - Chỉ vì mày, làm tao tìm mãi không được!","Hearing the boy's story, the stepfather was infinitely annoyed. He feigned anger, scolding: 'It's all your fault! I was looking for you everywhere and couldn't find you!'","Traditional Vietnamese painting style, the stepfather yelling at the boy with feigned concern but hidden anger, the boy looking confused and apologetic, interior night scene, highly detailed, professional artwork.",Stepfather,Scolding,Boy
13,12,"Một lần khác hắn lại dỗ được đứa bé đi theo lên rừng. Lần này hắn cố tâm đưa nó vào thật sâu, đến những nơi chưa ai dám tìm vào hái củi bao giờ. Khi trốn khỏi thằng bé, hắn nghĩ bụng: - 'Không chết vì thú dữ thì cũng chết vì lạc, không chết vì lạc thì cũng chết đói mà thôi'.","Another time, he again coaxed the boy to follow him into the forest. This time, he deliberately took him much deeper, to places where no one ever dared to go for firewood. As he slipped away from the boy, he thought to himself: 'If he's not killed by wild beasts, he'll die from being lost. If he doesn't die from being lost, he'll surely die of hunger.'","Traditional Vietnamese painting style, the stepfather leading the boy into a dark, scary, and overgrown part of the jungle, ancient trees, eerie atmosphere, wide shot, highly detailed, masterpiece quality.",Stepfather,Leading,Boy deep into forest
