paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,23,"Vào thời giặc Minh xâm lược nước ta, đi đến đâu chúng cũng tàn sát người dân vô tội, cướp bóc của cải.","Ming invaders in red armor marched through Vietnamese villages, burning thatched roofs and seizing food baskets.","Traditional Vietnamese painting style, Ming invaders in red iron armor marching through a burning village, thick black smoke, villagers crying, dynamic and chaotic scene, 8k resolution.","Ming invaders,Villagers",Marching,Through villages
2,23,"Người dân vô cùng cực khổ, lầm than. Đức Long Quân nhìn thấy cảnh đó từ trên cao.","Peasants in rags huddled together in empty fields, their faces thin and dirty. High in the clouds, the Dragon Lord Long Quan looked down.","Traditional Vietnamese painting style, poor peasants in tattered clothes huddling in a barren field, while the majestic Dragon Lord Long Quan looks down from swirling golden clouds, divine perspective, masterpiece quality.","Dragon Lord,Peasants",Looking down,At the suffering people
3,23,"Đức Long Quân thấy người dân cầm vũ khí thô sơ, liền quyết định cho nghĩa quân mượn thanh gươm thần.",He saw the villagers holding bamboo spears and decided to drop a magic sword down to the mortal world.,"Traditional Vietnamese painting style, a glowing magical sword falling from the celestial clouds toward the earth, villagers below holding simple bamboo spears, mystical light, 8k resolution.","Dragon Lord,Villagers",Dropping,A magic sword
4,23,"Hồi ấy ở Thanh Hóa, có một người đi đánh cá tên là Lê Thận, đang kéo lưới trên sông đêm.","One night, a fisherman named Le Than stood on a small boat in the dark river. He pulled up his heavy net.","Traditional Vietnamese painting style, a fisherman named Loyal soldier on a small wooden boat in the middle of a dark river, pulling a heavy net, moonlight reflecting on the water, professional artwork.",Loyal soldier,Pulling up,The fishing net
5,23,"Trong lưới không có cá mà chỉ là một lưỡi gươm cũ đầy rêu, anh mang về để ở góc nhà tranh.","Inside was not fish, but a rusty iron sword blade covered in wet moss. Finally, he carried the rusty piece of metal home and placed it in the dark corner of his thatched hut.","Traditional Vietnamese painting style, a rusty iron sword blade covered in green moss inside a fishing net, a dark hut corner with a straw roof, humble interior, masterpiece quality.","Loyal soldier,Rusty sword blade",Finding,A rusty sword blade
6,23,"Lê Thận gia nhập nghĩa quân Lam Sơn, tay cầm giáo nhọn đứng trong hàng ngũ.","Le Than, a muscular man with a determined face, joined the Lam Son army. He wore simple soldier clothes and held a sharp spear, standing in line with other rebels.","Traditional Vietnamese painting style, a row of determined Lam Son rebel soldiers, Loyal soldier holding a sharp spear, wearing rustic soldier clothes, flag fluttering in the wind, 8k resolution.","Loyal soldier,Lam Son rebel army",Joining,The rebel army
7,23,"Chủ tướng Lê Lợi đi duyệt binh, gật đầu chào Lê Thận đang đứng nghiêm trang.","General Le Loi, a charismatic leader in iron armor, walked past and nodded at Le Than, who stood tall gripping his weapon tightly.","Traditional Vietnamese painting style, General rebel leader in ornate iron armor inspecting his troops, nodding to Loyal soldier, disciplined military camp background, professional artwork.","rebel leader,Loyal soldier",Nodding,To Le Than
8,23,"Một lần Lê Lợi đến nhà Lê Thận nghỉ chân, thấy lưỡi gươm cũ ở góc nhà phát sáng rực rỡ.","Le Loi visited Le Than's dark hut to rest. Suddenly, the rusty blade in the corner glowed with a blinding magical blue light, illuminating the dark room.","Traditional Vietnamese painting style, a dark thatched hut illuminated by a bright blue magical light coming from an old sword blade in the corner, rebel leader looking in awe, masterpiece quality.","rebel leader,Glowing sword",Glowing,In the dark room
9,23,"Lê Lợi cầm lưỡi gươm lên xem, thấy hai chữ ""Thuận Thiên"" khắc sâu vào kim loại.","Le Loi picked it up, wiping off the rust, and saw two glowing characters ""Thuan Thien"" (Will of Heaven) carved deeply into the metal.","Traditional Vietnamese painting style, close-up of rebel leader's hands holding the sword blade, glowing ancient characters Thuan Thien etched in metal, golden light, highly detailed.",rebel leader,Reading,The inscription
10,23,"Sau một trận thua, Lê Lợi chạy trốn vào rừng sâu, ẩn nấp dưới gốc đa cổ thụ.","After a lost battle, Le Loi fled into the deep forest, his armor scratched and mud-stained. While hiding under an ancient banyan tree, he saw a strange light up in the branches.","Traditional Vietnamese painting style, rebel leader hiding behind the thick roots of a giant ancient banyan tree in a dark forest, a mysterious light shining from the branches above, dramatic lighting.",rebel leader,Hiding,Under a banyan tree
