paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,20,"Ngày xưa, có một năm trời nắng hạn như thiêu đốt, mặt đất nóng ran.","Once upon a time, the sun blazed down relentlessly like fire on the earth.","Traditional Vietnamese painting style, a harsh orange sun blazing over a barren landscape, heat waves shimmering in the air, intense warm colors, 8k resolution, professional artwork.","Sun,Earth",Blazing,Over the earth
2,20,"Ruộng đồng nứt nẻ thành những khe sâu, cây cối trụi trơ lá khô.",The soil in the rice paddies cracked open into deep fissures. Trees stood bare with withered brown leaves.,"Traditional Vietnamese painting style, dry and cracked rice paddies with deep fissures, a lone withered tree with no leaves, desolate atmosphere, earthy tones, masterpiece quality.","Soil,Withered tree",Cracking,Into deep fissures
3,20,"Chim muông kiệt sức, nằm há mỏ trên mặt đất khô cằn vì khát.",Birds lay panting on the dry ground with their beaks open.,"Traditional Vietnamese painting style, small birds lying exhausted on parched earth, their beaks wide open in thirst, dusty and dry environment, highly detailed, 8k resolution.",Birds,Panting,On the dry ground
4,20,"Một chú Cóc nhỏ thấy nguy quá, quyết định nhảy lên thiên đình kiện Trời.","A small Toad, seeing the dry land, decided to jump towards the sky to complain to the Jade Emperor.","Traditional Vietnamese painting style, a small determined toad looking up at the swirling clouds of the sky, preparation for a journey, vibrant green skin against dry brown earth, professional artwork.",Toad,Deciding,To sue the Heavens
5,20,"Dọc đường bụi bặm, Cóc gặp và đi cùng Cua, Gấu đen, Cọp, bầy Ong và Cáo.","Along the dusty road, he was joined by a Crab, a huge black Bear, a striped Tiger, a swarm of Bees, and a sly Fox. They marched together in a line.","Traditional Vietnamese painting style, a line of diverse animals including a bear, tiger, and fox walking along a dusty rural road led by a small toad, folk art aesthetics, highly detailed.","Toad,Crab,Bear,Tiger,Fox,Bees",Marching,Along the road
6,20,"Đến cửa nhà Trời, họ thấy một cái trống đỏ khổng lồ treo ở đó. Cóc chỉ tay phân công.","They arrived at the golden Gates of Heaven, where a giant red drum hung. The Toad pointed his finger to direct them.","Traditional Vietnamese painting style, a giant red ceremonial drum hanging at the golden gates of heaven, the small toad pointing his finger to give orders, majestic atmosphere, 8k resolution.","Toad,Giant Drum",Directing,The animal team
7,20,"Cóc bảo Cua bò vào chum nước, Ong nấp sau cánh cửa.",The Crab crawled into a large earthen water jar. The Bees hid behind the door.,"Traditional Vietnamese painting style, a small crab crawling into a large terracotta water jar, a swarm of bees hiding behind an ornate golden palace door, masterpiece quality.","Crab,Water Jar,Bees",Hiding,Inside and behind objects
8,20,"Còn Cáo, Gấu và Cọp thì nấp thấp xuống trong đám mây ở hai bên.","The Fox, the Bear, and the Tiger crouched low in the clouds on both sides.","Traditional Vietnamese painting style, a fox, a bear, and a tiger crouching low within swirling white and gold celestial clouds, eyes peeking out, tactical position, professional artwork.","Fox,Bear,Tiger",Crouching,In the clouds
9,20,"Cóc đứng một mình, cầm dùi đánh ba hồi trống: Tùng! Tùng! Tùng!",The Toad stood alone and beat the drum three times with a stick: Boom! Boom! Boom!,"Traditional Vietnamese painting style, a small toad standing on its hind legs, using a wooden mallet to hit a giant red drum, sound waves vibrating, dramatic scene, highly detailed.","Toad,Giant Drum",Beating,The giant drum
10,20,"Ngọc Hoàng ngồi trên ngai vàng nổi giận đập tay xuống ghế, sai Gà ra trị tội.","The Jade Emperor, sitting on his golden throne, slammed his fist on the armrest and sent a Rooster out.","Traditional Vietnamese painting style, the Jade Emperor in royal robes sitting on a dragon throne, slamming his fist in anger, pointing his finger at a rooster, 8k resolution.","Jade Emperor,Rooster",Ordering,The Rooster
11,20,Gà vừa đập cánh bay ra thì Cáo từ trong mây nhảy xổ tới cắn cổ tha đi.,"As the Rooster flapped its wings, the Toad signaled. The Fox leaped out from the clouds and bit the Rooster's neck.","Traditional Vietnamese painting style, a sly fox leaping out of the clouds to catch a rooster by the neck, dynamic feathers flying in the air, action sequence, masterpiece quality.","Fox,Rooster",Attacking,The Rooster
12,20,Ngọc Hoàng chỉ tay sai Chó dữ ra bắt Cáo.,"The Emperor pointed his finger, sending a fierce Dog to catch the Fox.","Traditional Vietnamese painting style, the Jade Emperor pointing a finger sternly, a fierce black dog with bared teeth charging out of the palace gates, high drama, professional artwork.","Jade Emperor,Dog",Sending,The fierce Dog
