paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,22,"Ngày xưa, ở miền đất Lạc Việt, có một vị thần thuộc nòi rồng tên là Lạc Long Quân, sức khỏe vô địch.","In the ancient land of Lac Viet, Lac Long Quan rose from the sea. He had a muscular human body with golden skin and wore armor made of shimmering fish scales.","Traditional Vietnamese painting style, Dragon lineage lord rising from the ocean waves, muscular build, golden skin, wearing shimmering fish-scale armor, majestic and powerful, 8k resolution.",Dragon lineage lord,Rising,From the sea
2,22,"Thần dùng thanh gươm nặng để diệt trừ Ngư tinh, Hồ tinh, Mộc tinh là những loài yêu quái bấy lâu làm hại dân lành.",He wielded a heavy sword to fight against a giant Fish Monster and a Nine-tailed Fox.,"Traditional Vietnamese painting style, Dragon lineage lord wielding a heavy bronze sword against a giant monstrous fish and a nine-tailed fox, dramatic battle scene, dynamic movement, masterpiece quality.","Dragon lineage lord,Monsters",Fighting,Monsters
3,22,"Thần đứng dưới ruộng bùn dạy dân cách trồng trọt, chăn nuôi và cách ăn ở.","Later, he stood knee-deep in a muddy paddy, showing villagers how to plant rice stalks.","Traditional Vietnamese painting style, Dragon lineage lord standing knee-deep in a muddy rice field, teaching simple villagers how to plant rice, peaceful and educational scene, rustic colors, professional artwork.","Dragon lineage lord,Villagers",Teaching,Villagers
4,22,"Bấy giờ, ở vùng núi cao phương Bắc, có nàng Âu Cơ thuộc dòng họ Thần Nông, xinh đẹp tuyệt trần, bước xuống từ màn sương.","Au Co, a beautiful fairy, descended from the high misty mountains wearing flowing multi-colored robes.","Traditional Vietnamese painting style, a beautiful fairy named Mountain fairy in flowing multi-colored silk robes descending from misty mountains, ethereal light, flowers blooming at her feet, 8k resolution.",Mountain fairy,Descending,From the mountains
5,22,"Âu Cơ và Lạc Long Quân gặp nhau ở thung lũng đầy hoa, đem lòng yêu thương.",He met Lac Long Quan in a valley full of flowers.,"Traditional Vietnamese painting style, Lạc Long Quân and Âu Cơ meeting in a lush valley filled with wildflowers, mountains in the background, romantic and serene atmosphere, masterpiece quality.","Dragon lineage lord,Mountain fairy",Meeting,In a flower valley
6,22,"Họ trở thành vợ chồng, nắm tay nhau cùng về sống ở điện Long Tráng lộng lẫy.","They held hands and walked into the Long Trang Palace, a magnificent wooden long-house decorated with coral and jade.","Traditional Vietnamese painting style, a magnificent ancient wooden palace decorated with coral and jade, Lạc Long Quân and Âu Cơ walking hand-in-hand towards the entrance, regal atmosphere, professional artwork.","Dragon lineage lord,Mountain fairy",Entering,Long Trang Palace
7,22,"Ít lâu sau, trong vườn thượng uyển, Âu Cơ sinh ra một cái bọc trăm trứng phát sáng trên lá sen.","In the palace garden, Au Co gave birth to a glowing sac of light resting on large lotus leaves.","Traditional Vietnamese painting style, a large glowing sac of light resting on giant green lotus leaves in a royal pond, Âu Cơ watching with wonder, mystical and magical lighting, 8k resolution.","Mountain fairy,Glowing sac",Giving birth,To a glowing sac
8,22,"Cái bọc nở ra một trăm con trai, con nào con ấy hồng hào, đẹp đẽ lạ thường.","The sac opened, revealing one hundred eggs. Crack! The eggs hatched into one hundred strong baby boys.","Traditional Vietnamese painting style, a hundred eggs hatching inside a glowing sac, healthy and beautiful baby boys appearing, divine and miraculous scene, vibrant colors, masterpiece quality.","Glowing sac,Baby boys",Hatching,Into baby boys
9,22,"Đàn con lớn lên như thổi, mặt mũi khôi ngô, vai rộng ngực nở, khỏe mạnh như thần.","The boys grew up quickly, standing tall with broad shoulders and bright eyes.","Traditional Vietnamese painting style, a group of tall, strong young men with broad shoulders and bright eyes standing together, healthy and divine appearance, ancient Lac Viet setting, professional artwork.",Sons,Growing up,Into strong men
10,22,"Một hôm, Lạc Long Quân nhớ biển cả, đành từ biệt Âu Cơ đi xuống nước và biến mất.","One day, missing the ocean, Lac Long Quan walked into the waves and disappeared.","Traditional Vietnamese painting style, Dragon lineage lord walking slowly into the deep blue ocean waves, turning back to look at the shore, melancholy atmosphere, sunset light, 8k resolution.",Dragon lineage lord,Walking,Into the sea
