paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,16,"Một nhà kia có hai anh em, cha mẹ đều chết cả. Hai anh em chăm lo làm lụng, nên trong nhà cũng đủ ăn. Muốn cho vui cửa vui nhà, hai người cùng lấy vợ. Nhưng từ khi có vợ, người anh sinh ra lười biếng, bao nhiêu công việc khó nhọc, đều trút cả cho hai vợ chồng người em.","Two brothers lived in a rural house with a tiled roof. The older brother, fat and wearing a fine silk tunic, lay in a hammock fanning himself. In the background, under the harsh noon sun, the younger brother and his wife, dressed in faded brown peasant clothes, bent their backs planting rice in the muddy field.","Traditional Vietnamese painting style, a fat older brother in silk lying in a hammock while the younger brother and his wife work in a muddy rice paddy, hot sun, contrasting lives, 8k resolution, professional artwork.",Older brother,Lazing,In a hammock
2,16,"Hai vợ chồng người em thức khuya dậy sớm, lại cố gắng cày cấy, làm cỏ, bỏ phân, lúa tốt hơn trước, nên đến mùa, được bội thu. Thấy thế, người anh sợ em kể công chiếm lấy phần hơn, vội bàn với vợ cho hai vợ chồng người em ra ở riêng.","Harvest time came; the younger couple piled up high stacks of golden rice sheaves. The older brother stood watching them, his eyes narrowed, whispering to his wife. He pointed a finger strictly toward the village gate, signaling them to leave.","Traditional Vietnamese painting style, younger couple stacking golden rice sheaves in a field, the older brother standing nearby whispering to his wife and pointing towards the distance, sharp facial expressions, masterpiece quality.",Older brother,Ordering,The younger couple to leave
3,16,"Ra ở riêng với vợ, người em được người anh chia cho có một căn nhà tranh lụp xụp, trước nhà có một cây khế ngọt. Hai vợ chồng người em không phànàn một lời, hết vào rừng đốn củi đem ra chợ bán, lại đi gánh mướn, làm thuê.","The younger couple moved to a tiny hut with crumbling mud walls and a roof of dry straw. In the small earthen yard stood a large, old Starfruit tree. Every day, the husband carried heavy bundles of firewood on his shoulders from the forest, sweat dripping from his forehead.","Traditional Vietnamese painting style, a tiny thatched hut with a large green starfruit tree in the yard, the younger brother carrying heavy firewood on his shoulders, humble and hardworking scene, highly detailed, 8k resolution.",Younger brother,Carrying,Firewood
4,16,"Còn người anh có bao nhiêu ruộng nương đều cho làm rẽ, để ngồi không hưởng sung sướng với vợ. Thấy em không ca thán, người anh cho em là ngu si, lại càng lên mặt, không lui tới nhà em và cũng không để ý gì đến em nữa.","The older brother sat in his large brick house, eating a feast of meat and wine with his wife. When the younger brother walked past the gate, the older brother turned his back and slammed the wooden doors shut.","Traditional Vietnamese painting style, the older brother inside a large brick house feasting with his wife, slamming a heavy wooden door shut, proud expression, high contrast, professional artwork.",Older brother,Slamming,The door
5,16,"Những ngày sung sướng nhất của hai vợ chồng người em là những ngày khế chín. Quanh năm, hai vợ chồng đã chăm bón và bắt sâu, đuổi kiến cho cây khế, nên cây khế xanh mơn mởn, bóng rợp khắp mảnh vườn nhỏ bé, quả lúc lỉu cả ở những cành là sát mặt đất, trẻ lên ba cũng với tay được.","The Starfruit tree grew lush and green. Its branches hung low, touching the ground, heavy with clusters of ripe, yellow star-shaped fruits. Sunlight filtered through the leaves, creating a cool shade over the yard.","Traditional Vietnamese painting style, a lush green starfruit tree with clusters of bright yellow star-shaped fruits hanging low, dappled sunlight filtering through leaves, peaceful garden atmosphere, masterpiece quality.",Starfruit tree,Bearing,Ripe fruits
6,16,"Một buổi sáng, hai vợ chồng mang quang gánh và thúng bị ra gốc khế, định trèo lên hái quả đem ra chợ bán thì thấy trên ngọn cây rung động rất mạnh, như có người đang trèo. Hai vợ chồng nhìn lên thì thấy một con chim rất lớn đang ăn những quả khế chín vàng.","One morning, the couple brought bamboo baskets to the tree. Suddenly, the branches shook violently, leaves falling like rain. They looked up and saw a massive bird with feathers of gold and red perched on the top branch, eating the ripe fruits.","Traditional Vietnamese painting style, a massive phoenix-like bird with golden and red feathers perched on a starfruit tree, eating yellow fruits, leaves falling, a couple watching in awe from below, 8k resolution, professional artwork.",Giant bird,Eating,Starfruits
7,16,"Hai vợ chồng đứng dưới gốc cây xem chim ăn, đợi chim bay đi rồi mới trèo lên cây hái quả. Từ đấy, cứ mỗi buổi sáng tinh mơ, hai vợ chồng ra hái khế, thì đã lại thấy chim ở trên cây rồi. Thấy có người, chim vẫn cứ ăn, ung dung một lúc lâu, rồi mới vỗ cánh bay đi. Chim ăn ròng rã như thế ngót một tháng trời, cây khế vợi hẳn quả.","The couple stood frozen at the base of the tree. For a month, every morning at dawn, the giant bird returned to eat. The branches became bare, with only a few green fruits left. The couple looked at the empty tree with worried faces.","Traditional Vietnamese painting style, the giant bird returning at dawn to a starfruit tree with fewer fruits, the couple standing below with worried expressions, soft morning mist, highly detailed, masterpiece quality.",Giant bird,Returning,To the tree
8,16,"Một hôm, đứng đợi cho chim ăn xong, người vợ nói nửa bỡn nửa thật với chim: “Chim ơi, chim ăn như thế thì còn gì là khế của nhà tôi nữa! Cây khế nhà tôi cũng sắp hết quả rồi đấy, chim ạ!”. Chim bỗng nghển cổ, nheo mắt như cười, đáp lại: “Ăn một quả, trả cục vàng! May túi ba gang, đem đi mà đựng”.","The wife looked up and spoke to the bird, pointing at the empty branches. The giant bird stopped eating, tilted its head down, and opened its beak to speak: ""Eat one fruit, pay back a piece of gold. Sew a three-span bag to carry it.""","Traditional Vietnamese painting style, the giant bird looking down and speaking to the wife, its beak open, magical aura, the wife pointing at the tree, mythical and legendary atmosphere, 8k resolution.",Giant bird,Speaking,To the wife
9,16,"Chim nhắc đi nhắc lại câu ấy ba lần, rồi mới vỗ cánh bay đi. Hai vợ chồng thấy chim biết nói đã lấy làm lạ, lại thấy chim bảo mình như thế, nhắc lại cho mình đến ba lần, nghe rõ mồn một, nên càng suy nghĩ, phân vân.","The bird repeated the phrase three times, then spread its massive wings and flew into the clouds. The husband and wife looked at each other, mouths open, scratching their heads in confusion.","Traditional Vietnamese painting style, the giant bird spreading its huge wings and flying into white clouds, the couple standing below looking up in total shock, dynamic movement, professional artwork.",Giant bird,Flying away,Into the clouds
10,16,"Nhưng rồi hai vợ chồng cũng làm theo lời chim. Người vợ lấy vài vuông vải nâu may cho chồng một cái túi, ngang dọc đúng ba gang.","That night, under the dim light of an oil lamp, the wife cut a piece of coarse brown fabric. She measured exactly three hand-spans with her fingers and sewed a small bag.","Traditional Vietnamese painting style, a woman sewing a small brown bag by the light of an oil lamp, measuring with her hand spans, cozy and warm interior, earthy tones, masterpiece quality.",Wife,Sewing,Three-span bag
