paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,11,"Ngày xưa, có một bác lực điền tên là Ba ở trong một xóm dưới chân núi. Bác không có ruộng phải làm rẽ năm sào của một phú ông ở làng bên cạnh. Phú ông là tay giàu có nhất tổng: ruộng đất trâu bò ở rải rác các thôn xóm nhiều không đếm xiết. Thấy bác là tá điền cũ, tính nết thật thà chăm chỉ, lúc nào cũng nộp thóc sòng phẳng, phú ông có lòng tin giao cho bác nuôi trâu. Từ đấy công việc của bác Ba thêm bận rộn. Ngày ngày bác phải chăn một bầy trâu của phú ông từ độ ấy sinh nở tổng cộng đã được năm con.","Once upon a time, there was a farmer named Ba who lived in a hamlet at the foot of a mountain. He owned no land and had to sharecrop five plots from a rich man in the neighboring village. This rich man was the wealthiest in the entire canton, with countless fields and buffalo scattered across the hamlets. Seeing that Ba was a long-time tenant farmer who was honest, hardworking, and always paid his rice taxes fairly, the rich man trusted him enough to raise his buffaloes. From then on, farmer Ba's work became even busier. Every day, he had to tend a herd of the rich man's buffalo, which over time had grown to a total of five.","Traditional Vietnamese painting style, a diligent peasant man in brown clothes tending a herd of five buffaloes in a green pasture near a mountain, peaceful rural atmosphere, wide shot, highly detailed, masterpiece quality.",Muscular Vietnamese farmer,Tending,Buffaloes
2,11,"Tự nhiên một ngày nọ, phú ông lăn ra chết. Hắn chết giữa lúc tuổi còn khá trẻ. Phú ông chưa có con trai, chỉ có mỗi một cô gái nên bao nhiêu ruộng đất trâu bò đều về tay cô. Mà ruộng đất trâu bò của phú ông giao cho các tá điền nhiều thứ linh tinh phức tạp, có thứ đã làm giấy tờ phân minh nhưng cũng có thứ vì cái chết đột ngột xảy đến nên chưa có giấy tờ gì cả.","Then one day, the rich man suddenly dropped dead. He died at a rather young age. He had no son, only a single daughter, so all the fields and buffalo fell into her hands. The rich man's property arrangements with his tenant farmers were numerous and complex; some were properly documented, but others, due to his sudden death, had no paperwork at all.","Traditional Vietnamese painting style, a wealthy household in mourning, a young woman looking at a pile of confusing land deeds and papers, interior setting with antique furniture, medium shot, highly detailed, 8k resolution.",Daughter,Inheriting,Estate
3,11,"Cô con gái phú ông rất giống tính cha, lại là một người có mánh khóe vặt. Không bao giờ chịu để mất không cái gì cho người ngoài dù là những vật nhỏ mọn, Sau khi làm ma bố xong, cô gái mới bắt đầu đi kiểm soát một lượt gia sản của bố để lại.","The rich man's daughter was much like her father, but she was also cunning and petty. She would never let an outsider get anything from her for free, not even the smallest item. After her father's funeral, the young woman began to take inventory of the assets he had left behind.","Traditional Vietnamese painting style, a sharp-faced woman walking through rice fields with a calculating look, holding a ledger, inspecting properties, symbol of greed, medium shot, highly detailed, professional artwork.",Daughter,Inspecting,Property
4,11,"Cô đến nhà bác Ba vào một buổi chiều. Lúc đó bác ta còn đi chăn trâu chưa về. Nhà này có nuôi trâu, cô biết, nhưng tất cả số trâu nuôi trâu đẻ được mấy con và lớn bé như thế nào thì hãy còn mập mờ. Trừ phú ông ra chả ai biết rõ. Mấy người đầy tớ chỉ nhớ mang máng cả mẹ đẻ con đẻ đâu năm sáu con.","She arrived at farmer Ba's house one evening. At that time, he was still out grazing the buffaloes. She knew that he raised buffaloes for her father, but the exact number, their sizes, and how many had been born was unclear. No one knew for sure except the deceased rich man. The servants only vaguely remembered the herd being about five or six in total.","Traditional Vietnamese painting style, the wealthy daughter standing in front of a humble thatched house at sunset, looking around suspiciously, waiting for the farmer, rural landscape, highly detailed, masterpiece quality.",Daughter,Visiting,Ba's house
5,11,"Tục ở đây nuôi trâu không có chuồng. Người ta đóng ở góc sân những cái cột, tối về buộc mỗi con vào một cột. Thoạt vừa đến cô gái đếm ngay số cột được sáu cái: - 'Sáu cột vị chi là sáu trâu' cô tự bảo thế. Cô không biết rằng trước đây một hôm vì có một cột gần gãy nên bác Ba phải đóng một cột khác, chưa kịp nhổ cái kia đi.","The custom here was not to keep buffaloes in a stable. Instead, posts were driven into a corner of the yard, and each evening, one buffalo was tied to each post. Upon arrival, the daughter immediately counted the posts and found six of them. 'Six posts must mean six buffaloes,' she said to herself. She did not know that a few days earlier, one post had nearly broken, so farmer Ba had to install a new one but hadn't yet removed the old one.","Traditional Vietnamese painting style, close-up of six wooden stakes driven into the earthen yard, one looking old and broken, one looking new, the woman pointing and counting them, highly detailed, 8k resolution.",Daughter,Counting,Posts
6,11,"Lúc bác lực điền đánh trâu về, cô gái đếm đi đếm lại chỉ có năm con, bèn ngẫm nghĩ: - 'Quái thật! Sao chỉ có năm. Có lẽ vì không có giấy tờ, nên nghe tin cha chết lão này đã bán trộm một con'. Bèn nói to:","When the farmer brought the buffaloes home, the daughter counted them again and again and found only five. She thought to herself: 'How strange! Why only five? Perhaps because there's no paperwork, this old man heard my father died and secretly sold one.' So she said loudly:","Traditional Vietnamese painting style, Muscular Vietnamese farmer leading five buffaloes into the yard, the daughter standing there comparing the number of buffaloes to the posts, suspicious expression, medium shot, highly detailed, professional artwork.",Daughter,Suspecting,Ba
7,11,"""Này, bác nông dân Ba. Người kia đâu rồi?""","Hey, farmer Ba. Where is the other one?'","Traditional Vietnamese painting style, the daughter pointing an accusing finger at Muscular Vietnamese farmer, face full of anger and demand, questioning him, sunset lighting, medium shot, highly detailed, masterpiece quality.",Daughter,Questioning,Ba
8,11,"Bác lực điền ngạc nhiên: - Còn trâu nào nữa, tôi nuôi của cụ cả thảy chỉ có năm con.","The farmer was surprised: 'What other buffalo? In total, I have only ever raised five for your father.'","Traditional Vietnamese painting style, Muscular Vietnamese farmer standing next to a buffalo, looking honest and surprised, spreading his hands to explain, rural Muscular Vietnamese farmerckground, close-up, highly detailed, 8k resolution.",Muscular Vietnamese farmer,Explaining,To daughter
9,11,Cô gái lý sự: - Năm trâu sao lại sáu cột. Có lẽ bác đánh lạc mất một con trong rừng chứ gì?,"The daughter argued: 'Five buffaloes, so why are there six posts? You must have lost one in the forest, right?'","Traditional Vietnamese painting style, the daughter gesturing aggressively between the buffaloes and the wooden posts, arguing, tense atmosphere, medium shot, highly detailed, professional artwork.",Daughter,Arguing,About posts
10,11,"Bác Ba đem việc cột gãy ra phân trần, nhưng cô nào đâu có nghe: - Thôi bác chịu khó đi tìm cho tôi đi. Năm trâu sao lại có sáu cột?","Farmer Ba tried to explain about the broken post, but she wouldn't listen: 'Just go and find it for me. Five buffaloes, so why are there six posts?'","Traditional Vietnamese painting style, Muscular Vietnamese farmer pointing to the broken post trying to reason, the daughter crossing her arms and looking away, refusing to listen, stubbornness, medium shot, highly detailed, masterpiece quality.",Daughter,Refusing,To listen
