paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,14,"Ngày xưa, có Tấm và Cám là hai chị em cùng cha khác mẹ. Hai chị em suýt soát tuổi nhau. Tấm là con vợ cả, Cám là con vợ lẽ. Mẹ Tấm đã chết từ hồi Tấm còn bé. Sau đó mấy năm thì cha Tấm cũng chết. Tấm ở với dì ghẻ là mẹ của Cám. Nhưng dì ghẻ của Tấm là người rất cay nghiệt. Hàng ngày, Tấm phải làm lụng luôn chân, hết chăn trâu, gánh nước, đến thái khoai, vớt bèo; đêm lại còn xay lúa giã gạo mà không hết việc. Trong khi đó thì Cám được mẹ nuông chiều, được ăn trắng mặc trơn, suốt ngày quanh quẩn ở nhà không phải làm việc nặng.","Once upon a time, there were two half-sisters, Tam and Cam. Tam, an orphan, lived with her stepmother, a woman with a sharp face and cold eyes. Every day, Tam wore a faded, tattered brown tunic. She worked ceaselessly: herding buffalo in the sun, carrying heavy wooden buckets of water, slicing piles of sweet potatoes, and wading in ponds to skim green duckweed. At night, she pounded rice until her hands blistered. In contrast, Cam wore smooth, clean silk clothes, skin fair and soft, lounging idly inside the house.","Traditional Vietnamese painting style, a young girl in a tattered brown tunic carrying water buckets near a thatched house, while another girl in bright silk sits idly, rustic village background, highly detailed, 8k resolution.","Kind village girl,Jealous stepsister,Stepmother",Working,Ceaselessly
2,14,"Một hôm người dì ghẻ đưa cho hai chị em mỗi người một cái giỏ bảo ra đồng bắt con tôm cái tép. Mụ ta hứa hẹn: ""Hễ đứa nào bắt được đầy giỏ thì thưởng cho một cái yếm đỏ!"". Ra đồng, Tấm nhờ mò cua bắt ốc đã quen nên chỉ một buổi là được đầy giỏ vừa cá vừa tép. Còn Cám thì đủng đỉnh dạo hết ruộng nọ sang ruộng kia, mãi đến chiều vẫn không được gì.","One day, the stepmother handed each girl a bamboo basket. She held up a bright red silk bodice, saying, ""Whoever fills their basket first gets this reward."" Tam, used to hard labor, waded deep into the muddy rice paddies, quickly filling her basket with shrimp and small crabs. Cam, afraid of the dirt, wandered along the dry grassy banks, picking flowers. By late afternoon, Cam's basket was still empty.","Traditional Vietnamese painting style, two girls with bamboo baskets standing in a muddy rice paddy under a bright sun, a red silk bodice held by a stern stepmother, wide shot, masterpiece quality.","Stepmother,Kind village girl,Jealous stepsister",Handing,Bamboo baskets
3,14,"Thấy Tấm bắt được một giỏ đầy, Cám bảo chị: ""Chị Tấm ơi chị Tấm! Đầu chị lấm, chị hụp cho sâu, kẻo về dì mắng"". Tin là thật, Tấm bèn xuống ao lội ra chỗ sâu tắm rửa. Cám thừa dịp trút hết tép của Tấm vào giỏ của mình rồi ba chân bốn cẳng về trước. Lúc Tấm bước lên chỉ còn giỏ không, bèn ngồi xuống bưng mặt khóc hu hu.","Seeing Tam's overflowing basket, Cam pointed to Tam's hair and said, ""Sister Tam, your head is full of mud! Go wash in the deep water, or Mother will scold you."" Tam stepped into the deeper water to wash. Cam quickly poured all of Tam's shrimp into her own basket and ran home. When Tam stepped onto the bank, she saw her empty basket. She sat on the grass, buried her face in her hands, and cried, tears streaming through her fingers.","Traditional Vietnamese painting style, Jealous stepsister pointing at Kind village girl's head near a deep pond, Kind village girl wading into the water while Jealous stepsister surreptitiously steals fish from Kind village girl's basket, dramatic irony, highly detailed, professional artwork.","Jealous stepsister, Kind village girl","Cam,Tam",Fish
4,14,"Bấy giờ Bụt đang ngồi trên tòa sen. Bỗng nghe tiếng khóc của Tấm liền hiện xuống hỏi: ""Con làm sao lại khóc?"". Tấm kể sự tình cho Bụt nghe. Bụt bảo: ""Thôi con hãy nín đi! Con thử nhìn vào giỏ xem còn có gì nữa không?"". Tấm nhìn vào giỏ rồi nói: ""Chỉ còn một con cá bống"". Bụt bảo: ""Con đem con cá bống ấy về nhà thả xuống giếng mà nuôi"".","Suddenly, the Buddha appeared on a glowing lotus cloud, an old man with a white beard and a benevolent face. He asked, ""Why do you cry?"" After Tam explained, the Buddha said, ""Stop crying. Look into your basket."" Tam looked down into the empty bamboo weave. ""Only one small Goby fish remains,"" she said, seeing its tiny scales. The Buddha instructed, ""Take that Goby fish home and release it into the stone well.""","Traditional Vietnamese painting style, a benevolent Kind old sage with a long white beard appearing on a golden cloud, Kind village girl crying beside an empty basket, mystical and soothing colors, 8k resolution, masterpiece quality.","Kind old sage,Kind village girl",Appearing,Before Tam
5,14,"Mỗi bữa, đáng ăn ba bát thì con ăn hai, còn một đem thả xuống cho bống. Mỗi lần cho ăn, con nhớ gọi như thế này: ""Bống bống, bang bang. Lên ăn cơm vàng cơm bạc nhà ta, Chớ ăn cơm hẩm cháo hoa nhà người"". Không gọi đúng như thế nó không lên, con nhớ lấy! Nói xong là Bụt biến mất. Tấm theo lời Bụt thả bống xuống giếng.","""Eat one bowl less each meal,"" the Buddha said, ""and save the rice for the fish. When feeding it, call out: 'O Goby! Come eat my golden and silver rice; do not eat the spoiled rice of others.' It will only rise for these words."" Then, the Buddha vanished into mist. Tam followed his words, dropping the small fish into the dark, cool water of the well.","Traditional Vietnamese painting style, Kind village girl kneeling by a dark stone well, holding a small Goby fish, releasing it into the water with a gentle smile, sunset lighting, highly detailed, professional artwork.","Kind village girl,Goby fish",Releasing,Goby fish
6,14,"Rồi từ hôm ấy trở đi, cứ sau bữa ăn, Tấm đều để dành cơm giấu đưa ra cho bống. Mỗi lần nghe lời Tấm gọi, bống lại ngoi lên mặt nước đớp những hạt cơm của Tấm ném xuống. Người và cá ngày một quen nhau, và bống ngày một lớn lên trông thấy. Thấy Tấm sau mỗi bữa ăn thường mang cơm ra giếng, mụ dì ghẻ sinh nghi, bèn bảo Cám đi rình. Cám nấp ở bụi cây bên bờ giếng nghe Tấm gọi bống, bèn nhẩm cho thuộc rồi về kể lại cho mẹ nghe.","From that day, Tam secretly brought a handful of white rice to the well. When she chanted the verse, the Goby fish surfaced, its scales shimmering, eating from her hand. It grew larger every day. The stepmother, noticing Tam's frequent trips, narrowed her eyes suspiciously. She sent Cam to spy. Cam crouched behind a dense bush near the well, listening to Tam's chant, memorizing the words to tell her mother.","Traditional Vietnamese painting style, Kind village girl whispering into the well, a shimmering fish surfacing to eat, Jealous stepsister hiding behind a dense green bush spying on them, high contrast, highly detailed, masterpiece quality.","Jealous stepsister,Kind village girl,Goby fish",Spying on,Tam
7,14,"Tối hôm ấy mụ dì ghẻ bảo Tấm sáng mai dậy sớm chăn trâu, và dặn: ""Con ơi con! Làng đã bắt đầu cấm đồng rồi đấy. Mai con đi chăn trâu, phải chăn đồng xa, chớ chăn đồng nhà, làng bắt mất trâu"". Tấm vâng lời, sáng hôm sau đưa trâu đi ăn thật xa. Ở nhà mẹ con Cám mang bát cơm ra giếng, cũng gọi bống lên ăn y như Tấm gọi. Nghe lời gọi, bống ngoi lên mặt nước. Mẹ con Cám đã chực sẵn, bắt lấy bống đem về làm thịt.","That evening, the stepmother smiled falsely at Tam. ""Tomorrow, take the buffalo to the far pastures deep in the forest. Do not let it graze nearby."" Tam obeyed, leading the buffalo away at dawn. At home, Cam and her mother stood by the well with a bowl of rice, mimicking Tam's chant. The Goby fish surfaced. They immediately caught the fish, took it to the kitchen, and cooked it for their meal.","Traditional Vietnamese painting style, the stepmother and Jealous stepsister catching the Goby fish with a net at the well, the fish looking scared, dark and treacherous atmosphere, 8k resolution, professional artwork.","Stepmother,Jealous stepsister,Goby fish",Catching,Goby fish
8,14,"Đến chiều Tấm dắt trâu về, sau khi ăn uống xong Tấm lại mang bát cơm để dành ra giếng. Tấm gọi mãi nhưng chẳng thấy bống ngoi lên như mọi khi. Tấm gọi mãi, gọi mãi, cuối cùng chỉ thấy một cục máu nổi lên mặt nước. Biết có sự chẳng lành cho bống, Tấm òa lên khóc. Bụt lại hiện lên, hỏi: ""Con làm sao lại khóc?"".","At dusk, Tam returned and ran to the well with her saved rice. She called out the verse, her voice echoing in the silence. The water remained still. Finally, a single dark clot of blood floated to the surface. Tam dropped her bowl, fell to her knees, and wailed in grief. The Buddha appeared again in a soft light, asking, ""Why do you cry, my child?"""",""Traditional Vietnamese painting style, Tam crying by the well at dusk, a single clot of blood floating on the dark water, the Buddha appearing in a soft divine glow, emotional scene, highly detailed, masterpiece quality.","Traditional Vietnamese painting style, Kind village girl crying by the well at dusk, a single clot of blood floating on the dark water, the Kind old sage appearing in a soft divine glow, emotional scene, highly detailed, masterpiece quality.","Kind village girl,Kind old sage",Wailing,By the well
9,14,"Tấm kể sự tình cho Bụt nghe, Bụt bảo: ""Con bống của con người ta đã ăn thịt mất rồi. Thôi con hãy nín đi. Rồi về nhặt lấy xương nó, kiếm bốn cái lọ bỏ vào, đem chôn xuống dưới bốn chân giường con nằm"". Tấm trở về theo lời dặn của Bụt đi tìm xương bống, nhưng tìm mãi các xó vườn góc sân mà không thấy đâu cả. Một con gà thấy thế, bảo Tấm: ""Cục ta cục tác! Cho ta nắm thóc, ta bới xương cho!"".","The Buddha said, ""They have eaten your fish. Stop crying. Find its bones, put them in four clay jars, and bury them under the four legs of your bed."" Tam searched every corner of the garden but found nothing. A rooster with bright feathers stood nearby and clucked, ""Give me a handful of rice, and I will scratch up the bones for you!""","Traditional Vietnamese painting style, a bright colorful rooster scratching the dirt in a rustic kitchen, Kind village girl watching hopefully as bones are revealed, warm earthy tones, highly detailed, professional artwork.","Rooster,Kind village girl",Scratching,Fish bones
10,14,"Tấm bốc nắm thóc ném cho gà. Gà chạy vào bếp bới một lúc thì được xương ngay. Tấm bèn nhặt lấy bỏ vào lọ và đem chôn dưới chân giường như lời Bụt dặn. Ít lâu sau, nhà vua mở hội luôn mấy đêm ngày. Già trẻ trai gái các làng đều nô nức đi xem. Trên các nẻo đường, quần áo mớ ba mớ bảy dập dìu tuôn về kinh như nước chảy. Hai mẹ con Cám cũng sắm sửa quần áo đẹp để đi trẩy hội.","Tam threw a handful of rice on the ground. The rooster pecked the grain, then ran to the kitchen ash pile and scratched vigorously, revealing the fish bones. Tam collected them into four jars and buried them under her bedposts. Later, the King announced a grand festival. Crowds of people filled the roads, wearing colorful layered tunics. Cam and her mother dressed in their finest bright silk clothes, ready to go.","Traditional Vietnamese painting style, Kind village girl burying four clay jars under the wooden legs of her bed, crowds of people in colorful festival clothes walking in the background, transition of time, 8k resolution.",Kind village girl,Burying,Clay jars
