paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,8,"Ngày xưa, có hai cô cháu ở chung với nhau một nhà. Người cô già, chồng chết từ lâu. Đứa cháu còn bé chừng mười hai tuổi mồ côi cha mẹ. Nhà họ nghèo, chỉ có vài sào ruộng, không đủ sống. Cho nên cô cháu ngày ngày phải đi mò cua bắt ốc hoặc mót hái kiếm ăn. Mấy năm trời được mùa, hai cô cháu tuy không lấy gì làm đầy đủ nhưng cũng sống vui. Ngày ngày cháu theo cô xách giỏ ra đồng, miệng hát có vẻ thích chí.","Long ago, an elderly aunt and her young nephew lived together in a small house. The aunt had lost her husband many years earlier. The nephew, about twelve years old, had lost both his parents. Their household was poor, with only a few small plots of land, not enough to make a living. So each day, the aunt and nephew went out to catch crabs and snails or glean leftover crops to survive. For several years, when the harvests were good, they were not well-off, but they lived peacefully. Each day, the boy followed his aunt to the fields carrying a basket, singing as he went.","Traditional Vietnamese painting style, an elderly woman in tattered brown clothes walking with a 12-year-old boy carrying a woven bamboo basket in a green rice field, rural landscape, peaceful atmosphere, medium shot, highly detailed, masterpiece quality.","Aunt,Nephew",Walking,In rice field
2,8,Nhưng không may vụ hạ năm ấy mất mùa. Rồi tiếp đến vụ mùa nắng hạn nên cũng chẳng ăn thua gì. Trời không nắng lắm nhưng nhất định không mưa làm cho các ao hồ đều khô rong rốc. Ruộng nứt nẻ hết. Hai cô cháu cũng như những người nghèo khác đi mò cua bắt ốc ở các vùng cạn nước. Nhưng cua ốc bắt mãi cũng phải hết. Mà trong nhà thì gạo đã kiệt từ lâu. Biết tìm cái gì mà nuôi nhau đây.,"Unfortunately, the summer crop failed that year. The following harvest also brought little because of drought. The sun was not fierce, yet no rain fell, and the ponds and lakes dried up completely. The fields cracked open. Like other poor people, the aunt and nephew searched the dry areas for crabs and snails, but these too were soon gone. At home, the rice had long been exhausted. They no longer knew what to rely on to survive.","Traditional Vietnamese painting style, a desolate landscape of cracked dry earth and withered rice plants, the aunt and nephew searching for snails in a dried-up muddy pond, gloomy grey sky, expression of worry, wide angle, highly detailed, 8k resolution.","Aunt,Nephew",Searching,For snails
3,8,Người ta có sức khỏe lên rừng chặt củi về đổi lấy những cái ăn được mà sống qua ngày. Riêng hai cô cháu sức yếu đành chịu nằm nhà nhịn đói. Cái chết đang dọa nạt họ.,"Those who still had strength went into the forest to cut firewood and trade it for food, getting through each day. The aunt and her nephew, being too weak, could only stay at home and endure their hunger. Death seemed close at hand.","Traditional Vietnamese painting style, inside a dilapidated thatched hut, the aunt lying weakly on a bamboo bed, the boy sitting on the floor looking thin and exhausted, shadows emphasizing hunger and poverty, medium shot, highly detailed, professional artwork.","Aunt,Nephew",Starving,In hut
4,8,"May sao, buổi sáng hôm ấy có người hàng xóm sang báo tin cho cô cháu biết là có mấy đám lúa ở làng bên cạnh đã bắt đầu gặt. Bà cô thấy mình yếu lắm rồi, đứng lên không vững nữa. Chỉ có cháu là hơi tỉnh. Anh chàng gắng ngồi lên.","That morning, a neighbor came to tell them that some rice fields in a nearby village had begun harvesting. The aunt felt terribly weak and could no longer stand steadily. Only the nephew was somewhat conscious, and he struggled to sit up.","Traditional Vietnamese painting style, a neighbor standing at the door talking to the boy, the boy looking hopeful but weak, the aunt in background too weak to move, contrast of light from outside and dark interior, medium shot, highly detailed, masterpiece quality.",Nephew,Listening,To neighbor
5,8,"Một người láng giềng đem cho một bát canh rau. Cháu húp vào thấy khỏe cả người, vội đứng lên đi theo họ. Họ đến vừa kịp buổi gặt. Nhưng người gặt thì ít mà người mót thì đông vô kể. Tất cả đều đói nhưng mót rất khỏe. Họ đánh liều sấn vào bứt lúa mặc kệ chủ ruộng cầm roi đánh không tiếc tay.","A neighbor brought the boy a bowl of vegetable soup. After drinking it, he felt his strength return and quickly stood up to follow them. They arrived just as the harvest was underway. There were few reapers but countless gleaners. All were hungry, yet they pressed forward boldly, pulling rice stalks and paying no heed to the landowner, who struck out with his whip.","Traditional Vietnamese painting style, a chaotic scene in a harvest field, many poor people scrambling to pick up leftover rice stalks, a landowner raising a whip in the background, the boy amongst the crowd, dynamic motion, highly detailed, 8k resolution.",Crowd,Gleaning,Rice
6,8,"Mãi đến chiều, người cháu mới đem lúa về. Lèo tèo chỉ có một nắm bằng cái chổi xể. Nhưng anh chàng không ngại. Hắn đập, sảy, rang rồi bỏ vào cối giã. Chỉ một lúc sau hắn đã đổ vào nồi bắc lên bếp.","Not until evening did the nephew return with the rice. It was only a small handful. Still, the boy did not mind. He threshed it, winnowed it, roasted it, and then ground it in a mortar. Before long, he poured it into a pot and set it on the stove.","Traditional Vietnamese painting style, the boy cooking a small pot on a wood fire in a dark kitchen, holding a small handful of rice grains, firelight illuminating his face, intimate and humble atmosphere, close-up, highly detailed, professional artwork.",Nephew,Cooking,Porridge
7,8,"Khi nồi cháo bắt đầu sôi thì người cô bỗng trở mình và rên khừ khừ. Cháu lật đật vào lật chiếu thăm cô. Cô rên rỉ kêu đau bụng, bảo cháu đi xin cho mình một tí gừng. Cháu ngần ngại không muốn đi nhưng thấy cô có vẻ nguy kịch, vội đánh đường vào xóm.","As the pot of porridge began to boil, the aunt suddenly stirred and let out a low groan. The nephew hurried over to check on her. She complained of stomach pain and told him to go and ask for a little ginger. Though the boy hesitated, seeing her condition worsen, he quickly set off toward the village.","Traditional Vietnamese painting style, the aunt clutching her stomach in pain on the bed, the boy looking concerned and turning to leave the house, night time setting, dramatic lighting, medium shot, highly detailed, masterpiece quality.",Nephew,Leaving,To get ginger
8,8,"Sau khi cháu đi, người cô gắng dậy ngồi vào bếp đun lửa cho nồi cháo. Lúc cháo chín, cô bỏ muối vào nếm thử một hớp. Chất ngũ cốc vào bụng trôi đến đâu, thịt da như sống lại đến đấy.","After the nephew left, the aunt forced herself to rise and sit by the stove, tending the fire beneath the pot. When the porridge was cooked, she added a little salt and tasted a sip. As the grain reached her stomach, her body seemed to regain some warmth.","Traditional Vietnamese painting style, the aunt sitting by the fire holding a spoon, tasting the porridge from the pot, expression of relief and hunger satisfaction, warm fire glow, close-up, highly detailed, 8k resolution.",Aunt,Tasting,Porridge
9,8,"Thấy cháu vẫn chưa về, cô múc ra một bát để dành phần cho cháu rồi lại ngồi ăn. Loáng một cái, cô đã ăn hết phần của mình. Cô lại chõng nằm nhưng trong bụng vẫn thấy thèm.","Seeing that her nephew had not yet returned, she ladled out a bowl and set it aside for him, then sat down to eat. In a short while, she finished her own portion. She lay back down, yet the hunger inside her remained.","Traditional Vietnamese painting style, a bowl of porridge set aside on a wooden table, the aunt lying on the bed looking at it with longing eyes, internal struggle with hunger, medium shot, highly detailed, professional artwork.",Aunt,Looking at,Bowl
10,8,"Thấy cháu vẫn chưa về, cô nghĩ: - 'Thằng bé có lẽ được người ta cho ăn rồi nên mới lâu thế. Nếu hắn đói thì dù gừng được hay không cũng phải về sớm'. Nghĩ vậy, người cô lại lồm cồm dậy ăn xén vào cháo của cháu một tý.","When the boy still did not return, she thought that perhaps he had been given food, which was why he was taking so long. She reasoned that if he were hungry, he would have come back sooner, ginger or not. With that thought, the aunt slowly rose and took a little from the porridge she had saved for him.","Traditional Vietnamese painting style, the aunt eating from the reserved bowl in the dim light, guilt mixed with uncontrollable hunger on her face, shadows on the wall, psychological depth, close-up, highly detailed, masterpiece quality.",Aunt,Eating,Nephew's porridge
