paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,10,"Ngày ấy có đôi bạn chí thân là Quắc và Nhân. Họ đều là con nhà học trò nghèo, lại đều mồ côi cha mẹ, Quắc được học nhiều hơn bạn: anh chàng làm thầy đồ dạy trẻ. Tuy bổng lộc chẳng có là bao nhưng Quắc vẫn thường giúp đỡ Nhân. Đối lại, có lần Quắc bị ốm nặng, giá không có bạn thuốc thang ngày đêm thì anh khó lòng sống nổi. Sau đó cũng vì sinh kế, đôi bạn phải chia tay mỗi người mỗi ngả.","In those days, there were two devoted friends named Quắc and Nhân. Both were sons of poor scholars and both were orphans. Quắc was more educated than his friend and worked as a village teacher. Although his income was meager, Quắc often helped Nhân. In return, there was a time when Quắc fell gravely ill, and if not for his friend's round-the-clock care, he would hardly have survived. Later, for the sake of their livelihoods, the two friends had to part ways.","Traditional Vietnamese painting style, two young scholars in humble brown clothes studying together in a thatched hut, bamboo furniture, warm and brotherly atmosphere, medium shot, highly detailed, masterpiece quality.","poor scholar teacher,poor scholar friend",Studying,Together
2,10,"Trong khi Quắc sống cuộc đời dạy trẻ thì Nhân cũng đi lang thang đến các vùng xa lạ làm thuê làm mướn. Trải qua một thời kỳ lang bạt, cuối cùng anh chàng vào làm công cho một phú thương. Thấy chàng thật thà chăm chỉ, phú thương rất tin cậy. Chẳng bao lâu Nhân được phú thương gả con gái cho.","While Quắc continued his life as a teacher, Nhân wandered to faraway lands, working as a hired laborer. After a period of drifting, he eventually found work with a wealthy merchant. Seeing that he was honest and hardworking, the merchant trusted him greatly. Before long, the merchant married his daughter to Nhân.","Traditional Vietnamese painting style, a hardworking young man carrying goods for a wealthy merchant in a busy market, the merchant looking impressed, bustling ancient trade scene, medium shot, highly detailed, 8k resolution.",poor scholar friend,Working,For merchant
3,10,Vợ Nhân có nhiều của riêng. Vì thế Nhân nghiễm nhiên trở nên một phú ông có cơ nghiệp kha khá ở trong vùng.,"Nhân's wife had a large dowry. Thus, Nhân naturally became a rich man with a considerable fortune in the region.","Traditional Vietnamese painting style, poor scholar friend wearing fine silk robes standing in front of a large wealthy wooden mansion, servants in background, symbol of prosperity, wide shot, highly detailed, professional artwork.",poor scholar friend,Becoming,Wealthy
4,10,"Nhân giàu nhưng không quên tình bầu bạn. Nhân vẫn nhớ tới lời thề 'sống chết sướng khổ có nhau' với Quắc. Nhân cất công đi tìm và sung sướng thấy Quắc vẫn còn sống. Tuy Quắc đang dở năm dạy, nhưng Nhân cũng thương lượng được với cha mẹ học trò cho con em chuyển sang một cụ đồ khác rồi đưa Quắc về nhà mình.","Though wealthy, Nhân did not forget his friendship. He still remembered his vow with Quắc to 'share life and death, joy and sorrow.' He went to great lengths to find his friend and was overjoyed to see that Quắc was still alive. Although Quắc was in the middle of a teaching year, Nhân negotiated with the students' parents to transfer them to another teacher and then brought Quắc to his home.","Traditional Vietnamese painting style, the wealthy poor scholar friend joyfully embracing his poor friend poor scholar teacher who is wearing worn-out clothes, village setting, emotional reunion, medium shot, highly detailed, masterpiece quality.","poor scholar friend,poor scholar teacher",Embracing,Quac
5,10,"Nhân dặn người nhà phải coi Quắc không khác gì mình, cơm nước hầu hạ không được bê trễ. Nhưng tính vợ Nhân không được như chồng. Xưa nay đối với những kẻ rách rưới, chị ta thường tỏ vẻ coi thường. Và, chị ta không cùng sống những ngày hàn vi với Nhân nên có thấy đâu tình nghĩa giữa Nhân và Quắc như thế nào.","Nhân instructed his household to treat Quắc as they would treat him, serving meals and attending to him without neglect. But Nhân's wife was not like her husband. She had always looked down on the poor and ragged. And, since she had not lived through the difficult days with Nhân, she could not understand the deep bond between him and Quắc.","Traditional Vietnamese painting style, poor scholar teacher sitting at a dining table, poor scholar friend's arrogant wife standing in the background looking with side-eye and disdain, sharp contrast in expressions, interior setting, highly detailed, 8k resolution.",arrogant wife,Looking with disdain,At Quac
6,10,Nhưng thấy chồng trọng đãi khách nên lúc đầu chị không dám nói gì. Nhân luôn luôn bảo vợ: - 'Đây là người thân nhất trong đời tôi. Nếu không có bạn thì tôi chưa chắc đã sống để gặp nàng'. Vợ Nhân chỉ lẩm bẩm: - 'Khéo! Bạn với bè! Chỉ có ngồi ăn hại'.,"However, seeing her husband treat his guest with such high regard, she didn't dare say anything at first. Nhân always told his wife: 'This is the dearest person in my life. Without him, I might not have survived to meet you.' Nhân's wife would only mutter: 'Indeed! Such friends! All he does is sit around and freeload.'","Traditional Vietnamese painting style, poor scholar friend talking earnestly to his arrogant wife, the arrogant wife turning her head away with a look of arrogance and annoyance, domestic tension, medium shot, highly detailed, professional artwork.",arrogant wife,Ignoring,Nhan
7,10,"Dần dần vợ Nhân bực mình ra mặt. Chị ta khó chịu vì cái ông khách lạ tự dưng ở đâu đến chả giúp ích gì cho nhà mình, chỉ chễm chệ trên giường cao, cơm rượu mỗi ngày hai bữa. Vợ Nhân trước còn nói mát sau thì ngoa ngoắt ra mặt.","Gradually, Nhân's wife began to show her annoyance openly. She was irritated by this strange guest who had appeared out of nowhere, did nothing to help the household, and only sat comfortably on the fine bed, eating and drinking two meals a day. At first her words were sarcastic, but later she became openly hostile.","Traditional Vietnamese painting style, the arrogant wife gesturing rudely towards the guest room, face full of anger and stinginess, traditional rich lady clothing, dramatic lighting, highly detailed, masterpiece quality.",arrogant wife,Showing,Hostility
8,10,"Có hôm người đàn bà ấy đay nghiến cả chồng lẫn khách: - Chẳng phải bố già, không phải khách nợ, ở đâu lại rước về thờ phụng: ăn no lại nằm. Thôi liệu mà tống quái đi!","One day, the woman lashed out at both her husband and his guest: 'He's not your old father, nor a creditor, so why did you bring him home to worship? He just eats his fill and lies around. You'd better just get rid of him!'","Traditional Vietnamese painting style, the arrogant wife shouting and pointing a finger at poor scholar friend and poor scholar teacher, expression of fury, domestic conflict scene, medium shot, highly detailed, 8k resolution.","arrogant wife,poor scholar friend,poor scholar teacher",Scolding,Husband and friend
9,10,"Thấy thái độ vợ ngày càng quá quắt, chồng chỉ sợ mất lòng bạn. Một mặt Nhân thân hành chăm chút bạn chu đáo hơn cả lúc trước, mặt khác Nhân tỷ tê khuyên dỗ vợ. Nhưng vợ Nhân chứng nào vẫn giữ tật ấy.","Seeing his wife's increasingly outrageous behavior, the husband's only fear was losing his friend. On one hand, Nhân personally took care of his friend even more attentively than before; on the other, he tried to gently persuade and coax his wife. But she persisted in her ways.","Traditional Vietnamese painting style, poor scholar friend personally serving tea to poor scholar teacher with a look of apology and sadness, soft lighting emphasizing friendship, interior close-up, highly detailed, professional artwork.","poor scholar friend,poor scholar teacher",Serving,Quac
10,10,"Về phần Quắc thì chàng hiểu tất cả. Đã hai lần Quắc cáo bạn xin về nhưng Nhân cố giữ lại. Thấy bạn chí tình, Quắc lại nấn ná ít lâu.","As for Quắc, he understood everything. Twice, he had told his friend he was leaving, but Nhân insisted he stay. Seeing his friend's deep loyalty, Quắc lingered a while longer.","Traditional Vietnamese painting style, poor scholar teacher holding a small bundle trying to leave, poor scholar friend holding his arm to stop him, expression of brotherhood and sorrow, doorway setting, medium shot, highly detailed, masterpiece quality.","poor scholar friend,poor scholar teacher",Stopping,Quac
