paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,19,"Xưa có một anh chàng tiều phu nghèo, cha mẹ anh bệnh nặng nên qua đời sớm, anh phải sống mồ côi cha mẹ từ nhỏ và tài sản của anh chỉ có một chiếc rìu. Hàng ngày anh phải xách rìu vào rừng để đốn củi bán để lấy tiền kiếm sống qua ngày. Cạnh bìa rừng có một con sông nước chảy rất xiết.","Once upon a time, a poor young woodcutter lived alone in a small thatched-roof hut. He wore tattered brown peasant clothes and held an old, rusty iron axe in his hand. Every day, he walked into the deep forest near a wide river where the water rushed violently, creating white foam.","Traditional Vietnamese painting style, a young woodcutter in tattered brown clothes holding a rusty iron axe, standing near a wide rushing river with white foam, deep forest background, 8k resolution, professional artwork.",Woodcutter,Standing,By the rushing river
2,19,"Một hôm, như thường ngày chàng tiều phu vác rìu vào rừng để đốn củi, trong lúc đang chặt củi cạnh bờ sông thì chẳng may chiếc rìu của chàng bị gãy cán và lưỡi rìu văng xuống sông. Vì dòng sông nước chảy quá xiết nên mặc dù biết bơi nhưng anh chàng vẫn không thể xuống sông để tìm lưỡi rìu. Thất vọng anh chàng tiều phu ngồi khóc than thở.","One day, standing by the riverbank, he swung his axe hard at a big tree trunk. Snap! The wooden handle broke. The iron blade flew off and splashed into the swirling deep water. The woodcutter sank to his knees on the grass, burying his face in his hands, his shoulders shaking as he cried.","Traditional Vietnamese painting style, a broken wooden axe handle in a woodcutter's hand, an iron blade splashing into a swirling deep river, the woodcutter kneeling on the grass crying, emotional scene, masterpiece quality.",Woodcutter,Crying,By the riverbank
3,19,"Bỗng từ đâu đó có một ông cụ tóc trắng bạc phơ, râu dài, đôi mắt rất hiền từ xuất hiện trước mặt chàng, ông cụ nhìn chàng tiêu phu và hỏi: ""Này con, con đang có chuyện gì mà ta thấy con khóc và buồn bã như vậy?"".","Suddenly, white mist swirled, and an old man appeared. He had long white hair and a white beard that reached his chest, wearing flowing blue robes and holding a wooden cane. He bent down slightly, looking at the woodcutter with a soft smile.","Traditional Vietnamese painting style, a benevolent old man with a long white beard and blue robes appearing from white mist, holding a wooden cane, looking at a crying woodcutter, mystical atmosphere, 8k resolution.",Old man (Buddha),Appearing,From the mist
4,19,"Anh chàng tiều phu trả lời ông cụ: ""Thưa cụ, bố mẹ cháu mất sớm... tài sản duy nhất của cháu là chiếc rìu sắt... giờ đây nó đã bị rơi xuống sông, cháu không biết lấy gì để kiếm sống qua ngày nữa. Vì vậy cháu buồn lắm cụ ạ!""",The woodcutter wiped his tears with his dirty sleeve. He pointed a trembling finger at the rushing river and showed the broken wooden handle in his other hand to the old man.,"Traditional Vietnamese painting style, the woodcutter pointing a trembling finger at the river, showing a broken axe handle to the old man, sad facial expressions, rustic forest setting, highly detailed.","Woodcutter,Old man (Buddha)",Pointing,At the river
5,19,"Ông cụ đáp lời chàng tiều phu: ""Ta tưởng chuyện gì lớn, cháu đừng khóc nữa, để ta lặn xuống sông lấy hộ cháu chiếc rìu lên"". Dứt lời, ông cụ lao mình xuống dòng sông đang chảy rất xiết.","The old man nodded gently and patted the woodcutter's shoulder. Then, the old man turned and dove straight into the turbulent water. Splash! He disappeared beneath the surface.","Traditional Vietnamese painting style, the old man patting the woodcutter's shoulder before diving into a turbulent river, water splashing high, dynamic action, professional artwork.",Old man (Buddha),Diving,Into the river
6,19,"Một lúc sau, ông cụ ngoi lên khỏi mặt nước tay cầm một chiếc rìu bằng bạc sáng loáng và hỏi anh chàng tiều phu nghèo: ""Đây có phải lưỡi rìu mà con đã làm rơi xuống không?"".","Moments later, the old man surfaced. Water dripped from his white beard. In his hand, he held a shining silver axe that sparkled in the sunlight. He held it out toward the woodcutter.","Traditional Vietnamese painting style, an old man surfacing from the water holding a brilliant shining silver axe, sunlight reflecting off the metal, the woodcutter looking surprised, 8k resolution.",Old man (Buddha),Holding,Silver axe
7,19,"Anh chàng tiều phu nhìn lưỡi rìu bằng bạc thấy không phải của mình nên anh lắc đầu và bảo ông cụ: ""Không phải lưỡi rìu của cháu cụ ạ, lưỡi rìu của cháu bằng sắt cơ"".",The woodcutter looked at the silver axe. He immediately shook his head vigorously and waved his hands back and forth to refuse it.,"Traditional Vietnamese painting style, the young woodcutter waving his hands and shaking his head in refusal, the silver axe glowing in the foreground, honest expression, masterpiece quality.",Woodcutter,Refusing,The silver axe
8,19,"Lần thứ hai, ông cụ lại lao mình xuống dòng sông chảy xiết để tìm chiếc rìu cho chàng tiều phu. Một lúc sau, ông cụ ngoi lên khỏi mặt nước tay cầm chiếc rìu bằng vàng và hỏi chàng tiều phu: ""Đây có phải là lưỡi rìu mà con đã sơ ý làm rơi xuống sông không?"".","The old man dove into the river again. A minute later, he rose from the water holding a heavy golden axe. It glittered brightly, reflecting the yellow sun rays. He offered it to the young man.","Traditional Vietnamese painting style, the old man rising from the river holding a heavy, glittering golden axe, intense yellow sun rays reflecting off the gold, professional artwork.",Old man (Buddha),Offering,Golden axe
9,19,"Anh chàng tiều phu nhìn lưỡi rìu bằng vàng sáng chói, anh lại lắc đầu và bảo: ""Không phải là lưỡi rìu của con cụ ạ"".","The woodcutter looked at the golden axe but shook his head again. He kept his hands by his sides, refusing to touch the gold.","Traditional Vietnamese painting style, the woodcutter standing firmly with hands by his side, shaking his head at a bright golden axe, forest and river background, 8k resolution.",Woodcutter,Rejecting,The golden axe
10,19,"Lần thứ ba, ông cụ lại lao mình xuống sông và lần này khi lên ông cụ cầm trên tay là chiếc rìu bằng sắt của anh chàng tiều phu đánh rơi. Ông cụ lại hỏi: ""Vậy đây có phải là lưỡi rìu của con không!""","The old man dove a third time. When he surfaced, he held up an old, rusty iron axe with a jagged blade.","Traditional Vietnamese painting style, the old man holding up a rusty, old iron axe with a jagged blade, water dripping, the woodcutter's face lighting up in the background, highly detailed.",Old man (Buddha),Retrieving,Rusty iron axe
11,19,"Thấy đúng là lưỡi rìu của mình rồi, anh chàng tiều phu reo lên sung sướng: ""Vâng cụ, đây đúng là lưỡi rìu của con, con cảm ơn cụ đã tìm hộ con lưỡi rìu để con có cái đốn củi kiếm sống qua ngày"".","The woodcutter's eyes lit up immediately. He smiled broadly, reached out with both hands to grab the old iron axe, and nodded his head repeatedly.","Traditional Vietnamese painting style, the woodcutter smiling joyfully and reaching out with both hands to take his old iron axe, happy and relieved expression, masterpiece quality.",Woodcutter,Grabbing,Iron axe
