paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,13,"Ngày xưa ở quận Cao Bình có hai vợ chồng tuổi già mà chưa có con. Nhà họ nghèo, hằng ngày phải lên rừng chặt những bó củi đem đổi lấy gạo nuôi thân. Họ hay giúp người như đắp đường, khơi cống, đỡ đần kẻ già yếu mà không nề hà gì cả.","Long ago, in Cao Binh district, there lived an elderly couple who had no children. They were poor and survived by cutting bundles of firewood in the forest and trading them for rice. Despite their hardship, they often helped others by repairing roads, clearing canals, and assisting the elderly and the weak.","Traditional Vietnamese painting style, an elderly kind couple in simple brown clothes carrying firewood through a forest, helping an old person on the road, warm lighting, rural scenery, highly detailed, masterpiece quality.",Elderly couple,Helping,The weak
2,13,"Thấy họ tốt bụng, Ngọc Hoàng sai thái tử xuống đầu thai làm con. Từ đó người vợ có mang, nhưng mấy năm trôi qua vẫn chưa sinh nở. Giữa lúc ấy, người chồng lâm bệnh rồi qua đời. Mãi về sau, người vợ mới sinh được một đứa con trai.","Seeing their kindness, the Jade Emperor sent his crown prince to be reborn as their child. The wife became pregnant, but years passed without childbirth. During that time, the husband fell ill and died. Only later did the woman finally give birth to a son.","Traditional Vietnamese painting style, a divine crown prince descending from the clouds with golden light, the elderly woman pregnant in a humble hut, mystical atmosphere, medium shot, highly detailed, 8k resolution.",Prince,Descending,To earth
3,13,Thằng bé lớn lên thì người mẹ cũng qua đời. Nó sống côi cút trong túp lều cũ dưới gốc đa. Người ta gọi nó là Thạch Sanh.,"When the boy grew up, his mother also passed away. He lived alone in an old hut beneath a banyan tree. People called him Thach Sanh.","Traditional Vietnamese painting style, a strong young man sitting alone in a small thatched hut under a giant ancient banyan tree, lonely but brave appearance, wide shot, highly detailed, professional artwork.",Courageous woodcutter,Living,Under banyan tree
4,13,"Gia tài của Thạch Sanh chỉ có một lưỡi búa cha để lại, hằng ngày mang vào rừng đốn củi kiếm sống. Năm Thạch Sanh bắt đầu biết dùng búa, có thiên thần được Ngọc Hoàng sai xuống dạy cho đủ mọi môn võ nghệ và phép thần thông.","Thach Sanh owned nothing but the axe left by his father, which he used daily to cut firewood for a living. When he first learned to wield the axe, a celestial being sent by the Jade Emperor descended to teach him martial arts and magical skills.","Traditional Vietnamese painting style, a celestial teacher in glowing robes teaching martial arts to Courageous woodcutter in the forest, magical aura, Courageous woodcutter holding an axe, action shot, highly detailed, masterpiece quality.","Celestial being,Courageous woodcutter",Teaching,Thach Sanh
5,13,"Một hôm, người bán rượu tên là Lý Thông đi qua, ngồi nghỉ dưới gốc đa. Thấy Thạch Sanh gánh một gánh củi lớn, hắn nghĩ bụng nếu người này về ở cùng thì lợi biết bao.","One day, a wine seller named Ly Thong passed by and rested beneath the banyan tree. Seeing Thach Sanh carrying a huge load of firewood, he thought how useful it would be if this man came to live with him.","Traditional Vietnamese painting style, Cunning man with a cunning face sitting by wine jars, watching Courageous woodcutter carry a massive pile of wood easily, contrasting characters, medium shot, highly detailed, 8k resolution.","Cunning man,Courageous woodcutter",Watching,Thach Sanh
6,13,"Lý Thông lân la gạ chuyện rồi xin kết nghĩa anh em. Thạch Sanh cảm động trước sự quan tâm ấy, vui vẻ nhận lời và theo về nhà họ Lý.","Ly Thong struck up a conversation and proposed that they become sworn brothers. Touched by this attention, Thach Sanh gladly agreed and followed him to the Ly household.","Traditional Vietnamese painting style, Cunning man holding Courageous woodcutter's hand warmly but with a sly smile, Courageous woodcutter looking honest and happy, emotional scene, medium shot, highly detailed, professional artwork.","Cunning man,Courageous woodcutter",Proposing,Brotherhood
7,13,"Nhà họ Lý làm nghề nấu rượu. Từ ngày Thạch Sanh đến, mẹ con Lý Thông được nhờ rất nhiều. Bấy giờ trong vùng có một con Chằn tinh thường bắt người ăn thịt.","The Ly family made their living by brewing wine. From the day Thach Sanh arrived, Ly Thong and his mother benefited greatly. At that time, a monster known as the Chan Tinh roamed the region, preying on people.","Traditional Vietnamese painting style, Courageous woodcutter working hard near wine brewing vats, a dark shadow of a monster lurking in the distant mountains, dramatic atmosphere, wide shot, highly detailed, masterpiece quality.",Courageous woodcutter,Working,At wine house
8,13,"Quan quân nhiều lần kéo đến tiêu diệt nhưng không làm gì được. Cuối cùng, dân phải lập miếu, mỗi năm dâng cho nó một mạng người để được yên ổn.","The authorities attempted many times to destroy it but failed. Eventually, the villagers built a shrine and offered one human life each year to keep the monster at bay.","Traditional Vietnamese painting style, a lonely shrine on a misty hill, villagers looking fearful, dark clouds gathering above, somber atmosphere, medium shot, highly detailed, 8k resolution.",Villagers,Building,Shrine
9,13,Năm ấy đến lượt Lý Thông phải nạp mình. Mẹ con hắn hoảng sợ và nghĩ ra kế lừa Thạch Sanh đi chết thay.,"That year, it was Ly Thong’s turn to be sacrificed. Terrified, he and his mother devised a plan to trick Thach Sanh into dying in his place.","Traditional Vietnamese painting style, Cunning man and his mother whispering together with terrified faces, plotting a scheme, candle lighting, close-up, highly detailed, professional artwork.","Cunning man,Mother",Planning,To trick Thach Sanh
10,13,"Chiều hôm đó, Lý Thông dọn mâm rượu thịt, rồi bảo Thạch Sanh đi canh miếu thay mình một đêm. Thạch Sanh không chút nghi ngờ, liền nhận lời.","That evening, Ly Thong prepared a feast and asked Thach Sanh to guard the shrine for one night in his stead. Thach Sanh agreed without any suspicion.","Traditional Vietnamese painting style, Cunning man pouring wine for Courageous woodcutter, a lavish meal on the table, Courageous woodcutter nodding bravely, interior evening scene, highly detailed, masterpiece quality.","Cunning man,Courageous woodcutter",Deceiving,Thach Sanh
11,13,"Nửa đêm, Chằn tinh hiện ra định vồ lấy Thạch Sanh. Chàng vung búa chống trả. Dù yêu quái biến hóa liên hồi, Thạch Sanh vẫn kiên cường chiến đấu.","At midnight, the Chan Tinh appeared and lunged at Thach Sanh. He swung his axe to defend himself. Though the monster constantly changed form, Thach Sanh fought bravely.","Traditional Vietnamese painting style, a fierce battle between Courageous woodcutter and a giant hideous monster with scales and claws, Courageous woodcutter swinging a glowing axe, midnight setting, action shot, highly detailed, 8k resolution.","Courageous woodcutter,ogre monster",Fighting,Chan Tinh
12,13,"Chỉ trong chốc lát, Chằn tinh bị bổ đôi, hiện nguyên hình là một con trăn lớn. Thạch Sanh chặt đầu nó và lấy bộ cung tên bằng vàng mang về.","Before long, the monster was split in two, revealing its true form as a giant python. Thach Sanh cut off its head and took its golden bow and arrows home.","Traditional Vietnamese painting style, Courageous woodcutter standing over a massive dead python split in half, holding a golden bow and a severed monster head, heroic pose, highly detailed, professional artwork.","Courageous woodcutter,Python monster",Slaying,Python monster
13,13,"Lý Thông nghe chuyện, lại lừa Thạch Sanh trốn đi và mang đầu quái vật về kinh tâu vua, được phong làm đô đốc.","Hearing this, Ly Thong deceived Thach Sanh into fleeing and brought the monster’s head to the capital to claim the victory. The king rewarded him with the rank of general.","Traditional Vietnamese painting style, Cunning man kneeling before the King presenting the monster's head, the King looking impressed, palace setting, medium shot, highly detailed, masterpiece quality.","Cunning man,King",Presenting,Monster head
14,13,Sau đó công chúa bị Đại Bàng bắt đi. Thạch Sanh bắn bị thương nó và lần theo dấu máu đến hang đá.,"Later, the princess was abducted by a giant Eagle. Thach Sanh wounded it with an arrow and followed the trail of blood to its cave.","Traditional Vietnamese painting style, a massive eagle with wide wings carrying a princess into the sky, Courageous woodcutter shooting a golden arrow from below, dramatic sky, highly detailed, 8k resolution.","Eagle,Princess,Courageous woodcutter",Abducting,Princess
15,13,"Lý Thông nhờ Thạch Sanh xuống hang cứu công chúa, rồi sai quân lấp cửa hang để hại chàng.","Ly Thong asked Thach Sanh to descend into the cave to rescue the princess, then ordered his men to seal the entrance, intending to kill him.","Traditional Vietnamese painting style, Courageous woodcutter descending into a deep dark cave with a rope, Cunning man and soldiers rolling a huge stone to block the entrance, betrayal, highly detailed, professional artwork.","Cunning man,Courageous woodcutter",Sealing,Cave entrance
16,13,"Thạch Sanh giết Đại Bàng, cứu được thái tử Thủy Cung và được vua Thủy Tề tặng cho cây đàn thần.","Thach Sanh slew the Eagle, rescued the Sea King’s prince, and was rewarded with a magical lute.","Traditional Vietnamese painting style, Courageous woodcutter killing a giant eagle inside a cave, then meeting the Sea King in a shimmering underwater palace, receiving a magical lute, mythical scene, highly detailed, masterpiece quality.","Courageous woodcutter,Sea King",Receiving,Magical lute
17,13,Hồn Chằn tinh và Đại Bàng hãm hại Thạch Sanh khiến chàng bị bắt giam.,"The spirits of the Chan Tinh and the Eagle framed Thach Sanh, leading to his imprisonment.","Traditional Vietnamese painting style, ghostly spirits of the python and eagle whispering into an official's ear, Courageous woodcutter being led away in chains to a dark prison, eerie lighting, highly detailed, 8k resolution.","Spirits,Courageous woodcutter",Framing,Thach Sanh
18,13,Tiếng đàn thần của Thạch Sanh làm công chúa nói lại được và vạch trần tội ác của Lý Thông.,The sound of Thach Sanh’s magical lute restored the princess’s speech and exposed Ly Thong’s crimes.,"Traditional Vietnamese painting style, Courageous woodcutter playing a lute in a prison cell, the sound waves turning into golden light reaching the palace, the princess pointing at Cunning man, highly detailed, professional artwork.","Courageous woodcutter,Princess",Playing,Magical lute
19,13,Vua gả công chúa cho Thạch Sanh. Lý Thông được tha nhưng bị sét đánh chết giữa đường.,The king married the princess to Thach Sanh. Ly Thong was spared but later struck dead by lightning.,"Traditional Vietnamese painting style, a grand royal wedding between Courageous woodcutter and the princess, a separate scene of Cunning man being struck by lightning in a storm, divine justice, highly detailed, masterpiece quality.",Cunning man,Struck by,Lightning
20,13,"Nhờ tiếng đàn thần và niêu cơm kỳ lạ, Thạch Sanh khiến mười tám nước chư hầu rút quân.","With his magical lute and enchanted rice pot, Thach Sanh caused the armies of eighteen neighboring kingdoms to withdraw.","Traditional Vietnamese painting style, Courageous woodcutter sitting on a city wall playing the lute, thousands of soldiers below laying down weapons to eat from a tiny magic rice pot, wide shot, highly detailed, 8k resolution.","Courageous woodcutter,Armies",Stopping,Enemy armies
