paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,1,"Vào đời Vua Hùng thứ 18, Vua có một người con gái đã đến tuổi cập kê, công chúa có dung nhan xinh đẹp tuyệt trần, lại còn có một làn da trắng trẻo mịn màng, dáng người nàng cũng cao ráo. Tên của nàng công chúa này là Mỵ Nương. Khi thấy con gái của mình đã tới tuổi để gả chồng nên Vua liền cho ban truyền tìm kiếm nhân kiệt ở khắp nhân gian hòng kén được một người phò mã đủ tài đủ đức.","In the reign of the 18th Hung King, the King had a daughter of marriageable age named My Nuong. The princess was exceptionally beautiful, with smooth, fair skin and a tall stature. Seeing his daughter was ready for marriage, the King issued a decree to search the land for a worthy son-in-law of sufficient talent and virtue.","Traditional Vietnamese painting style, a young princess around 18 years old with smooth fair skin in flowing white ao dai with golden phoenix embroidery, standing gracefully with serene expression, beside the elevated golden throne, in grand palace hall, soft morning light filtering through silk curtains, peaceful atmosphere, close-up portrait, highly detailed, masterpiece quality.","Beautiful princess,Legendary Vietnamese king",Standing gracefully,Beside the throne
2,1,"Nghe được tin Vua Hùng ban tin kén rể khắp nơi cho con gái, vua nước Tây Âu liền đem tới rất nhiều vàng bạc cùng châu báu như là cau vàng, trầu bạc để mà dạm hỏi cưới nàng Mỵ Nương. Thấy vậy Vua Hùng lập tức cho triệu tất cả Lạc Hầu của mình vào cung để mà hội ý.","Hearing the news of the Hung King's call for a son-in-law, the king of Tay Au immediately brought many treasures and jewels, such as golden areca nuts and silver betel leaves, to ask for My Nuong's hand in marriage. Seeing this, the Hung King immediately summoned all his Lac Hau (marquises/lords) to the palace for consultation.","Traditional Vietnamese painting style, open chests overflowing with gold and silver treasures, golden areca nuts and silver betel leaves arranged on red velvet cloths, on the wooden floor of the royal court, grand palace interior with carved pillars, bright daylight illuminating the treasures, opulent atmosphere, wide angle shot, highly detailed, 8k resolution.","Treasures,Legendary Vietnamese king",Displayed/Overflowing,On the palace floor
3,1,"Những Lạc Hầu này tâu rằng: – Vua nước Tây Âu ấy là một con người rất cường bạo, tuổi cũng khá cao rồi, mà hình dáng cũng rất kỳ quái, làm sao mà có thể xứng đôi với công chúa của chúng ta được.","These Lac Hau reported: 'That king of Tay Au is a very tyrannical man, quite old, and his appearance is very strange. How can he be a worthy match for our princess?'","Traditional Vietnamese painting style, a group of elderly Royal nobels in dark brown ancient robes with bronze accessories, standing in rows shaking their heads with disapproving expressions, inside the royal meeting hall with wooden beams, dim atmospheric lighting, tense mood, medium shot, cinematic composition, masterpiece quality.",Royal nobels,Shaking heads in disapproval,Inside the royal hall
4,1,"Nghe những lời khuyên can của đám Lạc Hầu nên Vua Hùng liền từ chối lời cầu hôn của vua nước Tây Âu kia. Cũng chính từ ngày đó mà mối quan hệ giữa nước Văn Lang cùng Tây Âu xấu đi, nảy sinh hiềm khích khó tháo gỡ.","Heeding the advice of the Lac Hau, the Hung King immediately refused the marriage proposal from the king of Tay Au. From that day on, the relationship between the nations of Van Lang and Tay Au soured, giving rise to an intractable animosity.","Traditional Vietnamese painting style, the majestic Legendary Vietnamese king with grey beard wearing red and gold royal robes, sitting on the throne and waving hand firmly in rejection, inside the grand palace, dramatic side lighting creating shadows, serious and heavy atmosphere, low angle shot, highly detailed, professional artwork.",Legendary Vietnamese king,Waving hand in rejection,On the throne
5,1,"Bẵng đi một thời gian thì lại có hai chàng trai tới để dạm hỏi cưới nàng công chúa Mỵ Nương. Hai chàng trai này đều vô cùng xuất sắc và tuấn tú. Một người là Sơn Tinh (Chính là thần núi Tản Viên, hay còn gọi là Thánh Tản), người còn lại là Thủy Tinh (Chính là Thần Nước, hay Thần Biển Cả).","After some time, two young men came to ask for Princess My Nuong's hand. Both were exceptionally outstanding and handsome. One was Son Tinh (the God of Tan Vien Mountain, also known as Saint Tan), and the other was Thuy Tinh (the God of Water, or the Sea God).","Traditional Vietnamese painting style, two handsome young men standing tall side by side, Moutain Lord in brown mountain warrior robes and Water Lord in blue wave-patterned robes, in front of the palace gates, bright sunny lighting, heroic and competitive atmosphere, full body shot, highly detailed, 8k resolution.","Moutain Lord,Water Lord",Standing side by side,In front of palace gates
6,1,"Vua Hùng liền cho truyền cả hai chàng trai này vào triều để trổ tài, nếu như ai có tài hơn thì Vua sẽ chấp nhận gả con gái mình, tức công chúa Mỵ Nương cho người đó.","The Hung King summoned both young men to court to display their talents. Whichever proved more talented, the King would agree to marry his daughter, Princess My Nuong, to him.","Traditional Vietnamese painting style, Legendary Vietnamese king sitting on the dragon throne pointing forward with authority, facing the two standing suitors in the hall, ancient palace architecture with red lacquer, ambient interior lighting, authoritative mood, cinematic composition, highly detailed, masterpiece quality.","Legendary Vietnamese king,Moutain Lord,Water Lord",Pointing with authority,Towards the suitors
7,1,"Chàng Sơn Tinh trổ tài trước, chàng có phép chỉ tay tới đâu thì nơi đó lại mọc lên những rừng núi hùng vĩ, chim muông đông đúc từng đàn. Còn chàng Thủy Tinh lại có phép vẫy tay thì nước sẽ ào ào mà dâng lên thật cao, còn có cả thuồng luồng và ba ba hàng đàn kéo nhau nổi lên mặt nước nữa.","Son Tinh displayed his talent first. With a point of his finger, majestic forests and mountains would rise, teeming with flocks of birds and beasts. As for Thuy Tinh, with a wave of his hand, water would surge and rise high, bringing forth swarms of serpents and turtles to the surface.","Traditional Vietnamese painting style, split composition, on left Moutain Lord raising hand creating towering green mountains, on right Water Lord sweeping arm summoning roaring blue waves and water beasts, outdoors in a vast open field, dramatic magical lighting with green and blue energy, epic atmosphere, wide angle, highly detailed, 8k quality.","Moutain Lord,Water Lord",Raising hand / Sweeping arm,Mountains and Waves
8,1,"Cả hai chàng trai đều vô cùng tài giỏi, có thể gọi là ngang tài cân sức nên Vua Hùng không biết phải chọn ai mới được. Vì vậy để quyết định thắng thua mà Vua đã phải ra thêm thử thách khác, người nào chiến thắng thì sẽ trở thành phò mã. Vua nói rằng:","Both young men were incredibly talented, evenly matched, so the Hung King did not know whom to choose. Therefore, to decide a winner, the King had to issue another challenge. The victor would become the royal son-in-law.","Traditional Vietnamese painting style, Legendary Vietnamese king sitting on the throne stroking his white beard with a pensive expression, surrounded by silent courtiers, in the royal hall, soft focused lighting on the King, contemplative and hesitant mood, close-up portrait, highly detailed, professional artwork.",Legendary Vietnamese king,Stroking beard / Thinking,On the throne
9,1,"– Hai ngươi đều rất tài giỏi, ngang tài cân sức với nhau, vì vậy nên ta không thể chọn một trong hai được. Bây giờ sẽ như thế này, ngày mai nếu như một trong hai ngươi, người nào có thể đem được đồ sính lễ gồm có một trăm ván cơm nếp, một trăm tệp bánh trưng, voi chín ngà, gà chín cựa, ngựa chín hồng mao, mỗi thứ phải có một đôi tới đây sớm hơn thì người đó sẽ được cưới con gái của ta.","The King said: 'Both of you are very talented, evenly matched, so I cannot choose between you. It shall be like this: tomorrow, whoever can bring the wedding offerings—consisting of one hundred platters of sticky rice, one hundred pairs of Banh Chung, a nine-tusked elephant, a nine-spurred rooster, and a nine-maned horse, one pair of each—here sooner, will marry my daughter.'","Traditional Vietnamese painting style, a visualization of mythical offerings including a nine-tusked elephant, a nine-spurred rooster, and a red-maned horse, standing amidst piles of banh chung and sticky rice, in a dreamy mist, ethereal golden lighting, mystical atmosphere, fantasy art style, highly detailed, masterpiece quality.",Mythical Offerings,Standing / Displayed,In a misty vision
10,1,Tuy nói rằng không thể chọn ai nhưng tất cả những đồ lễ mà Vua Hùng yêu cầu hai chàng chuẩn bị thì tất cả đều là những sản vật ở trên đất liền. Điều đó có thể cho thấy được Vua Hùng cũng đã ngầm đồng ý gả nàng Mỵ Nương cho Sơn Tinh rồi.,"Although he claimed he couldn't choose, all the offerings the Hung King required were products of the land. This showed that the Hung King had already tacitly agreed to marry My Nuong to Son Tinh.","Traditional Vietnamese painting style, an open bamboo scroll with calligraphy writing listing land-based offerings, lying on a carved wooden table, close-up of the text and texture, warm candlelight nearby, quiet and secretive atmosphere, macro shot, highly detailed, 8k resolution.",Bamboo Scroll,Lying open,On wooden table
11,1,"Ngày hôm sau, khi bầu trời bên ngoài chỉ vừa hửng sáng thì Sơn Tinh đã đem được đầy đủ các loại lễ vật theo đúng yêu cầu của Vua Hùng đến cung vua để xin hỏi cưới nàng Mỵ Nương. Bởi vì những đồ lễ vật ấy với một thần núi như chàng thì vô cùng dễ để chuẩn bị. Vua Hùng vô cùng hài lòng với biểu hiện của Sơn Tinh nên đã bằng lòng cho phép Sơn Tinh được cưới con gái Mỵ Nương của mình.","The next day, just as the sky began to brighten, Son Tinh had already brought all the required offerings to the palace to ask for My Nuong's hand. For a mountain god like him, preparing such gifts was incredibly easy. The Hung King was extremely pleased with Son Tinh's performance and consented to let him marry his daughter, My Nuong.","Traditional Vietnamese painting style, Moutain Lord in mountain robes smiling confidently, presenting trays of food and mythical animals at the palace gates, early soft morning mist and sunrise glow, joyous and triumphant atmosphere, wide angle cinematic shot, highly detailed, masterpiece quality.","Moutain Lord,Legendary Vietnamese king",Presenting offerings,At palace gates
12,1,"Còn Thủy Tinh bởi vì khó tìm kiếm những món lễ vật hỏi cưới đó nên đến trễ hơn một chút, chàng vô cùng hốt hoảng khi được tin nàng Mỵ Nương đã cùng đi với phu quân của mình là Sơn Tinh. Vì thế nên Thủy Tinh lập tức đuổi theo, đem cả đám binh tướng của mình tới đánh Sơn Tinh thề phải cướp lại nàng Mỵ Nương cho bằng được.","Thuy Tinh, however, found it difficult to find the wedding gifts and arrived a little later. He was utterly dismayed to learn that My Nuong had already left with her husband, Son Tinh. Therefore, Thuy Tinh immediately gave chase, bringing his host of soldiers to attack Son Tinh, vowing to reclaim My Nuong.","Traditional Vietnamese painting style, Water Lord in dark blue robes clenching fists with furious expression and glowing eyes, turning away from the palace, dark stormy sky gathering behind, dramatic lightning and rim lighting, angry and intense mood, close-up portrait, highly detailed, 8k resolution.",Water Lord,Clenching fists / Turning away,Stormy background
13,1,"Thủy Tinh cứ thế hô mưa rồi gọi gió làm rung chuyển trời đất, khiến cho nước biển cuồn cuộn dâng lên để đánh Sơn Tinh. Khi nước dâng cao khiến cho lúa ngập, đồng cũng ngập, sau đó thì nhà cửa cũng ngập nốt. Và giông tố cứ mỗi lúc lại càng dữ dội hơn, nước cũng càng ngày càng dâng cao hơn nữa, đám thủy quái thì cứ đông lên nhiều lần, chúng rầm rầm rộ rộ làm theo tất cả những mệnh lệnh của Thủy Tinh.","Thuy Tinh then summoned rain and called upon the wind, shaking heaven and earth, causing the sea to surge and rise to attack Son Tinh. As the water rose, it flooded the rice paddies, then the fields, and finally the houses. The storm grew ever more violent, the water rose ever higher, and hordes of water monsters multiplied, thundering to follow Thuy Tinh's every command.","Traditional Vietnamese painting style, Water Lord floating above roaring waves summoning storms, countless water monsters and dragons surging forward, below are flooded houses and fields, dark stormy lighting with heavy rain, catastrophic atmosphere, epic wide shot, highly detailed, cinematic lighting.","Water Lord,Monsters",Summoning storms,Above flooded fields
14,1,"Tất cả cư dân của nước Văn Lang lúc bấy giờ đều chung sức và chung lòng ra tay để giúp đỡ cho Sơn Tinh. Hơn nữa thần trống đồng thiêng liêng cũng hiện về để giục giã, cổ vũ cho mọi người ra trận mà tiêu diệt đám thủy quái hung bạo kia, đồng thời chống cả lũ lụt dữ dội. Những người nào khỏe mạnh thì đi đào đất để đắp thành đê. Chính vì thế mà ra đời những con đê dùng để chống lụt hiện nay của người Việt ta. Những đoạn đê dựng lên ngày càng cao hơn, chắc hơn, ngăn chia rồi chặn đứng được tất cả sự phá phách khủng khiếp của lũ lụt.","All the inhabitants of Van Lang at that time united to help Son Tinh. Furthermore, the sacred spirit of the bronze drum appeared to urge and encourage everyone to fight, to destroy the fierce water monsters, and to combat the terrible flood. The able-bodied dug earth to build dikes. This is the origin of the dikes used by the Vietnamese people today to prevent floods. The dikes were built ever higher and stronger, dividing and halting the terrible destruction of the flood.","Traditional Vietnamese painting style, muscular villagers digging earth to build high dikes, a glowing translucent spirit of the bronze drum hovering above encouraging them, amidst rain and mud, dramatic dynamic lighting, heroic and resilient mood, action scene, highly detailed, masterpiece quality.","Villagers,Bronze Drum Spirit",Digging earth / Hovering,Muddy dikes
15,1,"Đối mặt với tình cảnh này, Sơn Tinh không hề có chút nao núng nào cả, chàng liền dùng phép của mình để bốc những quả đồi, rồi dời đi những dãy núi để mà tạo thành bức tường vững chắc ngăn chặn dòng nước lũ của đối thủ. Dòng nước lũ của Thủy Tinh dâng cao bao nhiêu thì những dãy núi của Sơn Tinh lại mọc cao lên bằng ấy. Đội quân của Sơn Tinh bê những hòn đá lớn, nhỏ ném tới tấp vào đám quân của Thủy Tinh ở dưới nước khiến chúng chết vô số kể. Xác cá, xác thuồng luồng, xác ba ba cứ nổi đầy kín cả mặt nước.","Facing this situation, Son Tinh did not waver at all. He used his magic to lift hills and move mountain ranges to form a solid wall to block his rival's floodwaters. However high Thuy Tinh's floodwaters rose, Son Tinh's mountains rose just as high. Son Tinh's army carried large and small rocks, hurling them relentlessly at Thuy Tinh's forces in the water, killing countless numbers of them. The corpses of fish, serpents, and turtles floated, covering the entire water surface.","Traditional Vietnamese painting style, Moutain Lord using magic to lift entire green mountains into the air to form a wall, his soldiers throwing huge boulders down into the water, fighting against rising dark floodwaters, epic scale, magical lighting, intense battle atmosphere, wide angle, highly detailed, 8k quality.","Moutain Lord,Monsters",Lifting mountains,Against floodwaters
16,1,"Thủy Tinh cứ dâng nước lên một trào, Sơn Tinh lại nâng núi, nâng đất đá cao lên một vì. Khi Thủy Tinh lại dâng nước lên hai đợt thì Sơn Tinh lại tiếp tục mà dựng núi của mình lên hai vì. Vào đợt thứ ba thì Thủy Tinh liền xô nước tới, Sơn Tinh nhanh chóng nâng núi của mình lên đến ba vì. Cũng chính vì trận chiến này mà núi Tản Viên xưa còn được gọi với cái tên Ba Vì.","Every time Thuy Tinh raised the water one level, Son Tinh would raise the mountains and earth one tier. When Thuy Tinh raised the water two levels, Son Tinh would continue to raise his mountains two tiers. On the third wave, as Thuy Tinh pushed the water forward, Son Tinh swiftly raised his mountain three tiers. It is because of this battle that the ancient Tan Vien Mountain is also known as Ba Vi (Three Tiers).","Traditional Vietnamese painting style, a massive green mountain peak rising rapidly above a gigantic crashing tsunami wave, debris and water spray everywhere, contrast between solid earth and chaotic water, dramatic natural lighting, awe-inspiring scale, landscape shot, highly detailed, masterpiece quality.","Moutain Lord,Monsters",Rising / Crashing,Landscape battle
17,1,"Cả hai bên đã đánh nhau kéo dài tới mấy tháng ròng. Nhưng sau cùng bởi vì đuối sức nên Thủy Tinh phải cho quân rút trở về. Kể từ ngày đó thì chàng Sơn Tinh và nàng Mỵ Nương cũng được sống bên nhau vui vẻ, hạnh phúc.","The two sides fought for several long months. But in the end, exhausted, Thuy Tinh had to order his troops to retreat. From that day on, Son Tinh and My Nuong lived together happily and joyfully.","Traditional Vietnamese painting style, Moutain Lord and Princess Beautiful princess sitting peacefully on a high mountain peak overlooking a calm valley, clouds floating by, warm golden sunset light, romantic and serene atmosphere, medium shot, highly detailed, professional artwork.","Moutain Lord,Beautiful princess",Sitting peacefully,On mountain peak
18,1,"Tuy nhiên thì ân oán của Sơn Tinh cùng Thủy Tinh lại càng ngày càng nặng, hận thù cũng càng ngày càng sâu hơn. Mỗi năm vào tầm tháng 7 theo Âm lịch thì Thủy Tinh lại nghĩ tới ân oán khi xưa, lập tức đem dâng nước kéo tới đánh nhau cùng Sơn Tinh. Tuy vậy nhưng mỗi lần như vậy thì Thủy Tinh đều nhận lấy thất bại rồi phải kéo quân ra về. Truyền thuyết về Sơn Tinh – Thủy Tinh vô cùng nổi tiếng, và là một trong những cách lý giải của người Việt xưa về hiện tượng lũ lụt cùng những cách để chống lũ lụt của nước mình.","However, the feud between Son Tinh and Thuy Tinh grew heavier, and their hatred deepened. Every year, around the seventh month of the Lunar calendar, Thuy Tinh would remember his old grievance and immediately raise the waters to fight Son Tinh again. Yet, each time, Thuy Tinh would suffer defeat and have to withdraw his forces. The legend of Son Tinh - Thuy Tinh is extremely famous and is one of the ancient Vietnamese people's ways of explaining the phenomenon of floods and their methods of flood control.","Traditional Vietnamese painting style, a conceptual view of a red river rising near green dikes under a grey rainy sky, distant silhouette of a water god fading in the clouds, melancholic but enduring atmosphere, soft diffused lighting, landscape art, highly detailed, 8k resolution.","Water Lord,Landscape",Rising / Flooding,Near green dikes
