paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,9,Ngày xưa có hai nhà sư Năng Nhẫn và Bất Nhẫn. Hai người cùng cạo đầu xuất gia từ ngày còn trẻ và cùng tu ở một ngôi chùa hẻo lánh.,"Once upon a time, there were two monks named Năng Nhẫn (Patient) and Bất Nhẫn (Impatient). They had both entered monastic life at a young age and practiced together at a remote pagoda.","Traditional Vietnamese painting style, two young Buddhist monks shaving their heads in a peaceful ancient pagoda courtyard, secluded mountain setting, spiritual atmosphere, medium shot, highly detailed, masterpiece quality.","Impatient monk,calm monk",Shaving,Heads
2,9,"Sau một thời gian dài tu luyện thì bỗng một hôm, Năng Nhẫn được đức Phật độ cho thành chính quả.","After a long period of cultivation, one day, Năng Nhẫn was blessed by the Buddha and achieved enlightenment.","Traditional Vietnamese painting style, a monk sitting in lotus position surrounded by a golden aura of enlightenment, divine light, peaceful expression, magical atmosphere, medium shot, highly detailed, 8k resolution.",calm monk,Attaining,Enlightenment
3,9,Bất Nhẫn thấy mình tu hành không kém gì bạn mà không được hưởng may mắn như bạn thì rất buồn bực. Chàng đến trước tòa sen hết sức kêu nài với đức Phật bày tỏ lòng chân thành tu đạo cùng mọi sự khổ hạnh đã trải qua của mình.,"Bất Nhẫn, seeing that his practice was no less rigorous than his friend's yet he had not received the same fortune, was very frustrated. He went before the Buddha's lotus throne and pleaded earnestly, expressing his sincere devotion and recounting all the austerities he had endured.","Traditional Vietnamese painting style, a monk kneeling and pleading before a large golden Buddha statue, expression of frustration and envy, temple interior, dramatic lighting, medium shot, highly detailed, professional artwork.",Impatient monk,Pleading,Before Buddha
4,9,"Đức Phật bảo chàng: - 'Nhà ngươi chuyên tâm cầu đạo, lại là người trong sạch, thật đáng khen ngợi. Nhưng tính tình nhà ngươi vẫn như con trâu chưa thuần, chưa thể đắc đạo được. Vậy hãy cố gắng tỏ rõ tấm lòng nhẫn nhục trong một cuộc khổ hạnh trường kỳ rồi sẽ theo bạn cũng chưa muộn'.","The Buddha told him: 'Your dedication to the path and your purity are truly commendable. However, your temperament is still like that of an untamed buffalo; you cannot yet attain enlightenment. Therefore, strive to demonstrate true patience in a long-term ascetic trial, and it will not be too late to follow your friend.'","Traditional Vietnamese painting style, the golden Buddha looking down with compassion, a spectral image of an untamed buffalo appearing behind the monk representing his nature, symbolic imagery, highly detailed, masterpiece quality.","Buddha,Impatient monk",Teaching,Monk
5,9,"Bất Nhẫn nghe lời bèn lên núi chọn một gốc cây bắt chước người xưa ngồi xếp bằng tu theo lối trường định. Chàng cương quyết ngồi im lặng như thế mãi trong ba năm, dù có phải thế nào cũng không chịu dậy.","Heeding these words, Bất Nhẫn went up a mountain, chose a spot under a tree, and, imitating the ancients, sat cross-legged to practice long-term meditation. He was determined to sit in silence for three full years and resolved not to get up, no matter what happened.","Traditional Vietnamese painting style, a monk sitting cross-legged in deep meditation under a large ancient tree in the wild mountains, determination on face, nature background, medium shot, highly detailed, 8k resolution.",Impatient monk,Meditating,Under tree
6,9,"Và từ hôm đó, Bất Nhẫn như một vật vô tri vô giác. Những con sâu con kiến bò khắp mình chàng. Những con thú cà vào thân chàng. Những con chim ỉa phẹt lên đầu chàng. Chàng đều không hề bận tâm. Chàng chỉ một mực tâm tâm niệm niệm nghĩa lý cao thâm của đạo Phật.","And from that day on, Bất Nhẫn was like an inanimate object. Insects crawled all over him. Animals rubbed against his body. Birds defecated on his head. He paid no mind to any of it. He remained solely focused on contemplating the profound meanings of Buddhism.","Traditional Vietnamese painting style, the monk sitting absolutely still like a statue, vines growing slightly around him, insects crawling on his robes, forest setting, time lapse feel, close-up, highly detailed, professional artwork.",Impatient monk,Reclaiming,Monk
7,9,"Cứ như thế, trải qua hai mùa hè và sắp sửa qua một mùa hè thứ ba là kết liễu cuộc tu luyện. Một hôm tự dưng có hai vợ chồng con chim chích ở đâu đến làm tổ ngay trong vành tai của Bất Nhẫn.","In this manner, he endured two summers and was about to complete his third, which would mark the end of his trial. One day, a pair of tailorbirds suddenly arrived and built a nest right in the fold of Bất Nhẫn's ear.","Traditional Vietnamese painting style, a pair of small tailorbirds building a nest in the rim of the meditating monk's ear, the monk remaining motionless, whimsical and surreal, close-up, highly detailed, masterpiece quality.","Birds,Impatient monk",Building,Nest
8,9,"Chàng cứ để yên, mặc chúng muốn làm gì thì làm. Chúng đi về tha rác lên đầu, lên mặt. Rồi chim mái đẻ trứng. Rồi cả một thời kỳ hai vợ chồng thay phiên nhau ấp. Cho đến lúc trứng nở, những con chim non kêu léo nhéo suốt ngày. Nhưng Bất Nhẫn không lấy thế làm khó chịu.","He let them be, allowing them to do as they pleased. They brought bits of nesting material, dropping it on his head and face. Then the female laid her eggs. For a period, the pair took turns incubating them. When the eggs hatched, the young chicks chirped incessantly all day long. But Bất Nhẫn was not bothered by this.","Traditional Vietnamese painting style, baby birds chirping inside the nest on the monk's ear, parent birds feeding them, the monk sitting stoically, nature merging with human, close-up, highly detailed, 8k resolution.","Birds,Impatient monk",Feeding,Chicks
9,9,"Một hôm, lúc ấy chỉ còn mười ngày nữa thì Bất Nhẫn hết hạn ngồi dưới gốc cây. Hôm đó, đến lượt con chim vợ đi tìm thức ăn cho con.","One day, with only ten days left until the end of his trial, it was the mother bird's turn to find food for her young.","Traditional Vietnamese painting style, the mother bird flying away from the monk into the forest to find food, lush green foliage, dynamic movement, medium shot, highly detailed, professional artwork.",Bird,Flying,For food
10,9,"Suốt một buổi chiều nó vẫn không kiếm được một chút gì. Mãi đến gần tối lúc lượn qua một cái hồ, chim vợ mới thấy một con nhện đang giăng tơ trong một đóa hoa sen.","She searched all afternoon but could not find a single morsel. It was not until nearly dusk, as she was flying over a lake, that she spotted a spider spinning a web inside a lotus blossom.","Traditional Vietnamese painting style, a lotus lake at dusk, the mother bird hovering over a blooming lotus flower spotting a spider inside, serene water reflection, medium shot, highly detailed, masterpiece quality.",Bird,Spotting,Spider
