paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,4,"Ngày xưa có một người trẻ tuổi tên là Mai An Tiêm. Chàng là người ở một nước đâu tận vùng biển phía Nam, bị bán làm nô. Một hôm, chàng bị bọn lái buôn chở đến bán cho Hùng Vương. Mai An Tiêm học nói tiếng Việt rất chóng. Chàng nhớ nhiều chuyện, biết nhiều điều thường thức, lại lắm tài nghề. Càng ngày vua càng yêu dấu, không lúc nào rời. Năm ba mươi lăm tuổi, chàng làm quan hầu cận, có một ngôi nhà riêng ở gần cung vua. Vợ Mai là con gái nuôi của vua đã sinh được một trai lên năm tuổi. Mai có đủ mọi người hầu hạ, trong nhà của ngon vật lạ không thiếu thứ gì. Tuy oai quyền không lớn lắm nhưng chàng được mọi người sợ phục. Nhiều kẻ vẫn thường lui tới cầu cạnh. Nhưng thấy Mai có địa vị cao, cũng không hiếm gì những kẻ sinh lòng ghen ghét.","Once upon a time, there was a young man named Mai An Tiem. He came from a country far to the south by the sea and had been sold into slavery. One day, merchants brought him to be sold to the Hung King. Mai An Tiem learned to speak Vietnamese very quickly. He had a good memory, broad general knowledge, and was skilled in many crafts. The King grew fonder of him each day and kept him always by his side. By the age of thirty-five, he was a close attendant to the King, with his own house near the royal palace. His wife, the King's adopted daughter, had borne him a five-year-old son. Mai An Tiem had plenty of servants, and his home lacked no delicacy or rarity. Though his authority was not immense, he was respected and feared by all. Many people sought his favor, but seeing his high position, there was no shortage of those who grew jealous and hateful.","Traditional Vietnamese painting style, Young man in fine official robes standing confidently with his beautiful wife and young son inside a wealthy wooden house, background shows servants bearing gifts, warm interior lighting, atmosphere of prosperity but with jealous eyes watching from shadows, medium shot, highly detailed, masterpiece quality.","Young man,Wife,Son",Standing / Living,In wealthy house
2,4,"Một hôm, trong một bữa tiệc đãi các quan khách, giữa lúc mọi người không ngớt lời xưng tụng mình, Mai An Tiêm nhún nhường bảo họ: - Có gì đâu! Tất cả mọi thứ trong nhà này đều là vật tiền thân của tôi cả!","One day, at a banquet for court officials, while everyone was endlessly praising him, Mai An Tiem humbly told them: 'It is nothing! Everything in this house is merely a fruit of my former life!'","Traditional Vietnamese painting style, a royal banquet scene, Young man holding a wine cup speaking modestly to a group of flattering officials in colorful robes, intricate table setting with food, bright ambient light, social gathering atmosphere, medium shot, highly detailed, professional artwork.","Young man,Officials",Speaking modestly,To officials
3,4,"Mai nói rất tự nhiên. Bởi vì tôn giáo xứ sở chàng bảo rằng cái sướng cái khổ hiện tại là kết quả của sự ăn ở tốt hay xấu của tiền kiếp. Nhưng trong số người dự tiệc có mấy viên quan hầu gần vua, vốn ghét chàng từ lâu. Chụp lấy câu nói mà họ cho là ngạo mạn đó, họ bèn vội vàng về tâu cho vua biết.","Mai An Tiem said this very naturally, as the religion of his homeland taught that present happiness and suffering are the results of good or bad deeds in a past life. However, among the guests were several officials close to the King who had long despised him. Seizing upon what they considered an arrogant statement, they rushed to report it to the King.","Traditional Vietnamese painting style, devious officials whispering into the ear of Legendary Vietnamese king who looks suspicious on his throne, palace pillars in background, dramatic shadowing suggesting treachery, close-up, highly detailed, 8k resolution.","Officials,Legendary Vietnamese king",Whispering / Reporting,To the King
4,4,"Vua Hùng nghe nói vô cùng giận dữ. Vua gầm lên: - Chà! Thằng láo! Hôm nay nó nói thế, ngày mai nó còn tuôn ra những lời bất kính đến đâu. Quân nô lệ phản trắc! Giam cổ nó lại cho ta!","The Hung King was furious upon hearing this. He roared: 'Ha! The insolent fool! If he says this today, what disrespectful words will he utter tomorrow? The treacherous slave! Throw him in prison!'","Traditional Vietnamese painting style, Legendary Vietnamese king shouting angrily and pointing his finger, face red with rage, royal guards stepping forward to take orders, intense emotional atmosphere, throne room setting, medium shot, highly detailed, masterpiece quality.","Legendary Vietnamese king,Guards",Shouting / Ordering,Arrest
5,4,"Buổi chiều hôm ấy, Mai bị bắt bỏ vào ngục tối. Bấy giờ chàng mới hiểu chàng lỡ lời. Mai tự bảo: - 'Nếu từ nay trở đi ta bị đày đọa là vì kiếp trước ta đã cư xử không phải'.","That afternoon, Mai An Tiem was arrested and thrown into a dark dungeon. Only then did he realize his slip of the tongue. He told himself: 'If I am to suffer from this day forward, it is because I did not act rightly in my past life.'","Traditional Vietnamese painting style, Young man sitting cross-legged on the floor of a dark wooden dungeon, wearing simple white prison clothes, a ray of light coming through a small high window, contemplative and calm expression, moody lighting, highly detailed, professional artwork.",Young man,Sitting / Reflecting,In dungeon
6,4,"Trong khi đó thì ở triều, các quan họp bàn để xử án Mai. Nhiều người đề nghị xử tử. Có người đề nghị cắt gót chân. Nhưng lời tâu của một ông quan già làm cho Hùng Vương chú ý:","Meanwhile, in the court, the officials gathered to decide Mai An Tiem's fate. Many proposed execution. Some suggested cutting off his heels. But the words of an old official caught the Hung King's attention:","Traditional Vietnamese painting style, court officials bowing and arguing in the royal hall, an elderly bearded mandarin stepping forward to speak to the King, serious political atmosphere, wide angle, highly detailed, 8k resolution.","Officials,Elderly Mandarin,Legendary Vietnamese king",Debating / Proposing,Punishment
7,4,"- Hắn bị tội chết là đúng. Nhưng trước khi hắn chết ta nên bắt hắn phải nhận ra một cách thấm thía rằng những của cải của hắn đây là do ơn trời biển của bệ hạ chứ chả phải là vật tiền thân nào cả. Tôi nghe ngoài cửa Nga-sơn có một hòn đảo. Cho hắn ra đấy ,","- He rightly deserves death. But before he dies, we should make him understand profoundly that his wealth is due to Your Majesty's immense grace, not some 'fruit of a former life.' I have heard of an island off the coast of Nga Son. Let's exile him there ","Traditional Vietnamese painting style, the old mandarin pointing towards the distant sea on a map held by servants, Legendary Vietnamese king listening thoughtfully, intricate court attire, narrative focus, medium shot, highly detailed, professional artwork.","Old Official,Legendary Vietnamese king",Suggesting,Exile to island
8,4,"Vua Hùng gật đầu chấp thuận. Nhưng sau khi ra lệnh, vua còn dặn: - 'Cho hắn lương vừa đủ dùng trong một mùa, nghe không'.","The Hung King nodded in agreement. But after giving the order, he added: 'Give him just enough provisions to last one season, do you hear?'","Traditional Vietnamese painting style, Legendary Vietnamese king handing a small meager bag of grain to a guard, stern expression, symbolizing limited provisions, royal setting, contrast between wealth of king and poverty of the gift, close-up, highly detailed, masterpiece quality.","Legendary Vietnamese king,Guard",Ordering,Limited provisions
9,4,"Hôm đi đày, tuy ai nấy hết lời can ngăn nhưng vợ Mai An Tiêm vẫn nhất quyết theo chồng ra hải đảo. Nàng bồng cả con trai đi theo. Tất cả mọi người đều cho là việc rồ dại. Còn nàng thì tin ở lời chồng: - 'Trời sinh voi trời sinh cỏ. Lo gì!'.","On the day of the exile, despite everyone's pleading, Mai An Tiem's wife was determined to follow her husband to the island. She brought their son with her. Everyone thought it was a foolish act, but she believed her husband's words: 'Heaven that gives birth to the elephant will also provide its grass. What is there to worry about!'","Traditional Vietnamese painting style, Mai's wife carrying a child and a small bundle, standing firmly beside Young man who is in chains, guards and crying relatives in background, outdoor setting, determined and loyal atmosphere, medium shot, highly detailed, 8k resolution.","Wife,Young man,Guards",Following / Holding child,Mai An Tiem
10,4,"Nhưng khi bước chân lên bãi cát hoang vu mịt mù, người thiếu phụ đó cũng không ngăn nổi cảm giác tủi thân, nức nở gục vào vai chồng: - Chúng ta đành chết mất ở đây thôi. Mai ôm con, bảo vợ: - Trời luôn luôn có con mắt. Cứ phấn chấn lên. Đừng lo!","But when she set foot on the desolate, hazy sandbank, the young woman could not hold back her sorrow. She sobbed, collapsing onto her husband's shoulder: 'We are doomed to die here.' Mai An Tiem held their child and told his wife: 'Heaven is always watching. Keep your spirits up. Do not worry!'","Traditional Vietnamese painting style, a desolate sandy beach with crashing waves, the wife crying on Mai's shoulder, Mai looking out at the ocean with determination, grey sky, lonely and desperate mood, landscape composition, highly detailed, masterpiece quality.","Wife,Young man",Crying / Comforting,On the beach
