paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,18,"Ngày xửa ngày xưa, có một ông vua muốn tìm người tài giỏi, bèn sai một viên quan đi dò la. Bỗng một hôm, viên quan tình cờ đi qua một cánh đồng làng, ông nhìn thấy bên vệ đường hai cha con đang làm ruộng, người cha thì đánh trâu cày, người con thì đập đất. Ông đã cho dừng ngựa lại để hỏi han.","Once upon a time, a royal Mandarin rode a white horse through the countryside, looking left and right. Under the harsh sunlight, he saw a muddy rice field. An old peasant guided a buffalo, while his small son, around seven years old wearing faded brown clothes, broke earth clods with a wooden mallet. The Mandarin pulled the reins to stop.","Traditional Vietnamese painting style, a royal Mandarin in purple silk riding a white horse on a dirt path, stopping by a muddy rice field where a father and a small boy are working, golden hour light, highly detailed, 8k resolution.",Mandarin,Stopping,His horse
2,18,"Này ông lão, trâu của lão cày một ngày được mấy đường? Khi người cha còn đang ngẩn người chưa biết trả lời ra sao thì đứa con chừng bảy tám tuổi đã nhanh trí hỏi vặn lại viên quan: ""Tôi xin hỏi ông câu này trước. Nếu ông trả lời được ngựa của ông đi một ngày được mấy bước, tôi sẽ cho ông biết trâu của cha tôi cày một ngày được mấy đường"".","The Mandarin pointed his folding fan at the farmer. The father stood frozen with his mouth open, scratching his head. The small boy immediately stood up straight, looked directly at the Mandarin's eyes, and pointed a finger back: ""If you tell me how many steps your horse takes in a day, I will tell you how many furrows my buffalo ploughs.""","Traditional Vietnamese painting style, a small boy in brown peasant clothes pointing a finger up at a Mandarin on a horse, the father standing confused behind a buffalo, rural field background, sharp character focus, masterpiece quality.",Small boy,Questioning,The Mandarin
3,18,"Nghe thấy đứa trẻ hỏi như vậy, viên quan sửng sốt không biết phải trả lời như thế nào. Ông nghĩ bụng, đây nhất định là nhân tài. Ông bèn hỏi tên họ rồi về tâu vua. Vua sai người ban cho làng ba thúng gạo nếp và ba con trâu đực, ra lệnh nuôi thành chín con, nếu không cả làng chịu tội.","The Mandarin's eyes went wide, and he dropped his fan. He turned his horse and galloped back to the palace. Later, royal soldiers brought three large male buffaloes and three baskets of sticky rice to the village. The King sat on his throne, pointing a finger sternly as he gave the order.","Traditional Vietnamese painting style, the King sitting on a golden throne with dragon carvings, pointing sternly at village elders, three large buffaloes and baskets of rice in the palace courtyard, royal atmosphere, professional artwork.",King,Giving,A royal order
4,18,"Dân làng nhận được lệnh của vua thì không khỏi lo lắng, không biết phải làm sao. Dù đã họp làng, bàn tán xôn xao nhưng vẫn chưa tìm ra cách gì để giải quyết. Em bé con người thợ cày nghe chuyện liền thưa với cha xin cho làng ngả thịt trâu ăn mừng, còn lại lộ phí hai cha con lên kinh.","At night, the villagers gathered at the communal house, their faces pale and sweating. They shook their heads and whispered to each other. The boy pulled his father's sleeve and pointed to the buffaloes. The father bit his lip, looked at the boy, and finally nodded.","Traditional Vietnamese painting style, villagers gathered under a banyan tree at night, looking worried under torchlight, a small boy whispering into his father's ear, dramatic shadows, 8k resolution, masterpiece quality.",Villagers,Gathering,At communal house
5,18,"Chiều lòng con, người cha quyết định ra đình để thưa chuyện với làng. Mấy hôm sau, dân làng làm cỗ ăn uống no say. Hai cha con khăn gói lên đường vào kinh đô.","Smoke rose from cooking fires throughout the village. The villagers sat on straw mats, eating buffalo meat and sticky rice, holding bowls and chopsticks. The next morning, the father and son, carrying small cloth bundles, walked on the dusty road toward the capital city.","Traditional Vietnamese painting style, villagers feasting on straw mats in a village square, father and son walking away with cloth bundles on a long road towards a distant citadel, warm colors, highly detailed.","Father,Small boy",Traveling,To the capital
6,18,"Đến cung vua, cậu bé bảo cha đừng đợi ở ngoài rồi lẻn vào cung nhân lúc mấy tên lính canh không để ý, rồi vào sân rồng khóc um lên. Vua nghe thấy tiếng khóc, sai lính cho cậu bé vào phán hỏi: ""Cái thằng kia, mày có việc gì mà đến đây khóc?"".","Inside the magnificent palace courtyard with golden dragon pillars, the boy sat on the stone pavement. He rubbed his eyes and cried loudly with his mouth open. The King, sitting on a high golden throne, heard the noise and signaled the guards with his hand.","Traditional Vietnamese painting style, a small boy sitting on a vast stone palace floor crying loudly, tall golden dragon pillars around him, royal guards with spears standing nearby, grand palace interior, 8k resolution.",Small boy,Crying,In the palace
7,18,"Bẩm đức vua – cậu bé vờ vĩnh đáp – mẹ con mất sớm nhưng cha con không chịu đẻ em bé để con được chơi với em nên con khóc ạ. Mạn phép mong đứa vua pháp bảo cha con đẻ con có em chơi cùng ạ. Nghe cậu bé nói, cả vua và các quan lại lẫn lính canh đều bật cười.",The boy wiped his tears and spoke to the King while pointing at his father. The King threw his head back and laughed loudly. The soldiers and mandarins standing in rows covered their mouths to hide their smiles.,"Traditional Vietnamese painting style, the King laughing heartily on his throne, mandarins and soldiers smiling, the small boy standing confidently and talking, joyful palace scene, professional artwork.","King,Mandarin,Soldiers",Laughing,At the boy's story
8,18,"Vua phán bảo cậu bé: ""Cha mày giống đực đẻ làm sao được"". Em bé bỗng tươi cười đáp lại vua: ""Dạ bẩm vua, vậy sao vua lại ra lệnh cho làng chúng con phải nuôi ba con trâu đực đẻ thành chín con để nộp đức vua ạ? Giống đực thì đẻ làm sao được!"".","The King leaned forward, shaking his head. The boy immediately stopped crying, a sly smile appearing on his face. He stood up and spread his hands: ""Then why did Your Majesty order male buffaloes to give birth?""","Traditional Vietnamese painting style, the boy standing with arms spread wide, a clever smile on his face, the King looking impressed and thoughtful, ornate royal court background, masterpiece quality.",Small boy,Explaining,The logic
9,18,"Vua biết cậu bé này thông minh hơn người, những vẫn muốn thử lần nữa. Đến hôm sau, sứ giả của nhà vua mang đến một con chim và bảo hai cha con phải dọn thành ba cỗ thức ăn. Cậu bé liền bảo cha lấy cho mình cái kim may rồi đưa cho sứ giả.","The King nodded slowly, stroking his beard. The next day, a royal envoy brought a tiny sparrow. The boy calmly took a small sewing needle from his pocket and handed it to the envoy.","Traditional Vietnamese painting style, a royal envoy in a red robe holding a tiny bird, the boy handing over a small sewing needle, simple room interior, soft natural light, highly detailed.",Small boy,Handing,Sewing needle
10,18,"Cậu bé bảo: ""Ông mang cái này về tâu với đức vua xin rèn cho tôi một con dao để xẻ thịt chim"". Vua nghe thấy thế thì tâm phục khẩu phục, lập tức sai người ban thưởng hai cha con.","The boy pointed at the needle. The King heard the report, clapped his hands, and smiled broadly.","Traditional Vietnamese painting style, the King sitting in a garden pavilion, laughing and clapping his hands while listening to a report, servants nearby, peaceful and bright atmosphere, professional artwork.",King,Clapping,His hands
11,18,"Một nước láng giềng lăm le xâm chiếm bờ cõi của nhà vua, họ đã sai sứ giả mang sang một vỏ ốc dài, rỗng hai đầu và thách đố sâu một sợi chỉ xuyên qua đường ruột ốc. Vua quan và các nhà thông thái đều bó tay. Cuối cùng, vua phải sai người đến hỏi ý kiến cậu bé thông minh.","Some time later, a foreign envoy arrived holding a long, spiral snail shell and a thin red thread. The old mandarins with white beards stood around the shell, sweating and looking at the ground. The King sent a soldier out the gate.","Traditional Vietnamese painting style, a group of elderly mandarins in silk robes crowding around a table with a large spiral shell, looking confused and frustrated, palace courtyard, high detail.",Mandarins,Staring at,Snail shell
