paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,17,"Ngày xưa, có một bạn tên là Tích Chu. Bố mẹ Tích Chu mất sớm, Tích Chu ở với bà. Hàng ngày bà phải làm việc quần quật kiếm tiền nuôi Tích Chu, có thức gì ngon bà cũng dành cho Tích Chu.","Once upon a time, a small boy named Tich Chu lived with his grandmother in a humble thatched hut. Every day, the grandmother, with a hunched back and wearing faded brown clothes, planted rice in the muddy field under the scorching sun. Meanwhile, Tich Chu, wearing a bright red bib, sat in the cool shade eating a fresh rice cake.","Traditional Vietnamese painting style, an elderly grandmother with a hunched back working in a sun-drenched rice paddy, while a small boy in a red bib sits comfortably under a banyan tree, rustic village background, 8k resolution.",Grandmother,Planting,Rice
2,17,"Ban đêm, khi Tích Chu ngủ thì bà thức quạt. Thấy bà thương Tích Chu, có người bảo: ""Bà ơi! Lòng bà thương Tích Chu cao hơn trời, rộng hơn biển. Lớn lên, Tích Chu sẽ không khi nào quên ơn bà"".","At night, inside the dark hut lit by a small oil lamp, Tich Chu slept soundly on a bamboo bed. The grandmother sat beside him, her eyelids heavy. She gently waved a palm leaf fan to cool him, smiling softly at his sleeping face.","Traditional Vietnamese painting style, a grandmother sitting by a bamboo bed in a dim hut lit by an oil lamp, gently waving a palm leaf fan over a sleeping boy, peaceful and tender atmosphere, masterpiece quality.",Grandmother,Fanning,The sleeping boy
3,17,"Thế nhưng lớn lên, Tích Chu lại chẳng thương bà. Bà thì suốt ngày làm việc vất vả, còn Tích Chu suốt ngày rong chơi. Vì làm việc vất vả, ăn uống lại kham khổ nên bà bị ốm. Bà lên cơn sốt nhưng chẳng ai trông nom.","Years passed. The grandmother grew frail, coughing as she carried heavy firewood. Tich Chu, now older, ran out the gate with a wooden top in his hand, not looking back at her. One day, the grandmother collapsed on the bamboo bed, her face red with high fever, shivering alone in the empty house.","Traditional Vietnamese painting style, a frail grandmother coughing and shivering on a bed inside a lonely hut, while The boy is seen in the distance running away to play, cold and sad lighting, professional artwork.",Grandmother,Collapsing,On the bed
4,17,"Tích Chu mãi rong chơi với bạn bè, chẳng nghĩ gì đến bà đang ốm. Một buổi trưa, trời nóng nực, cơn sốt lên cao, bà khát nước quá liền gọi: ""Tích Chu ơi, cho bà ngụm nước. Bà khát khô cổ rồi!""","Outside, Tich Chu laughed while playing with village children. Inside, the noon heat was stifling. The grandmother's lips were cracked and dry like parched earth. She reached out a trembling hand toward the empty water jar and whispered: ""Tich Chu, give me water. I am so thirsty."""",""Traditional Vietnamese painting style, a close-up of a grandmother's trembling hand reaching for an empty clay water jar, parched lips, hot yellow sunlight beaming through the window, emotional scene, 8k resolution.","Traditional Vietnamese painting style, a close-up of a grandmother's trembling hand reaching for an empty clay water jar, parched lips, hot yellow sunlight beaming through the window, emotional scene, 8k resolution.",Grandmother,Reaching,For water jar
5,17,"Bà gọi một lần, hai lần…rồi ba lần nhưng vẫn không thấy Tích Chu đáp lại. Mãi sau Tích Chu thấy đói mới chạy về nhà kiếm cái ăn. Tích Chu ngạc nhiên hết sức thấy bà biến thành chim và vỗ cánh bay lên trời.","She called three times, but only silence answered. Late in the afternoon, Tich Chu ran home, rubbing his empty stomach. He froze at the door, eyes wide. The grandmother was gone. On the bed stood a grey bird, which flapped its wings and flew up toward the roof beam.","Traditional Vietnamese painting style, The boy standing shocked at the doorway of a hut, a grey bird flapping its wings on a bamboo bed, feathers in the air, magical transformation, masterpiece quality.",Grandmother (bird),Flapping,Wings
6,17,"Tích Chu hoảng quá kêu lên: ""Bà ơi! Bà đi đâu? Bà ở lại với cháu. Cháu sẽ mang nước cho bà, bà ơi!"". ""Cúc cu … cu! Cúc … cu cu! Chậm mất rồi cháu ạ, bà khát quá không thể chịu nổi phải hóa thành chim để bay đi kiếm nước. Bà đi đây, bà không về nữa đâu!"".","Tich Chu dropped his toy, screaming: ""Grandmother! Don't go!"" The bird looked down with sad eyes and chirped: ""Cuckoo... It is too late. Thirst has turned me into a bird. I must fly to find water."" The bird flew out the window into the blue sky.","Traditional Vietnamese painting style, a grey bird flying out of a cottage window into a vast blue sky, The boy reaching out with a desperate expression, cinematic movement, highly detailed, professional artwork.",Grandmother (bird),Flying,Out the window
7,17,"Nói rồi chim vỗ cánh bay đi. Tích Chu hoảng quá chạy theo bà, cứ nhằm theo hướng chim bay mà chạy. Cuối cùng Tích Chu gặp chim đang uống nước ở một dòng suối mát.","Tich Chu ran frantically after the bird, tripping over tree roots and scratching his legs on thorns. He chased it deep into the forest until they reached a clear stream. The bird landed on a wet rock and drank greedily.","Traditional Vietnamese painting style, The boy running through a dense forest with tangled vines, chasing a bird in the sky, a clear forest stream in the distance, dynamic action, 8k resolution.",Boy,Chasing,The bird
8,17,"Tích Chu gọi: ""Bà ơi! Bà trở về với cháu đi. Cháu sẽ đi lấy nước cho bà, cháu sẽ giúp đỡ bà, cháu sẽ không làm bà buồn nữa!"". ""Cúc …cu…cu, muộn quá rồi cháu ơi! Bà không trở lại được nữa đâu!"".","Tich Chu fell to his knees on the muddy bank, tears streaming down his face. He reached out both hands pleadingly: ""Grandmother, come back! I will fetch water for you."" The bird shook its head and chirped: ""Cuckoo... It is too late, my child.""","Traditional Vietnamese painting style, The boy kneeling by a forest stream, crying with hands outstretched towards a bird perched on a rock, reflection in the water, emotional masterpiece.",Boy,Pleading,With the bird
9,17,"Nghe chim nói, Tích Chu òa khóc, Tích Chu thương bà và hối hận. Giữa lúc đó, có một bà tiên hiện ra, bà bảo Tích Chu: ""Nếu cháu muốn bà trở lại thành người thì cháu phải đi lấy nước suối Tiên cho bà cháu uống. Đường lên suối Tiên xa lắm, cháu có đi được không?"".","Tich Chu covered his face, sobbing loudly. Suddenly, white mist swirled, and a Fairy appeared. She had white hair, held a wooden cane, and wore flowing blue robes. She pointed a long finger toward a high mountain peak: ""To save her, bring water from the Fairy Spring up there.""","Traditional Vietnamese painting style, a beautiful Fairy in flowing blue robes appearing in white mist, pointing towards a high glowing mountain, The boy listening hopefully, mystical atmosphere, 8k resolution.",Fairy,Appearing,Before Tich Chu
10,17,"Nghe bà Tiên nói, Tích Chu mừng rỡ vô cùng, vội vàng hỏi đường đến suối Tiên, rồi chẳng một phút chần chừ, Tích Chu hăng hái đi ngay.","Tich Chu wiped his tears instantly. He grabbed a dried gourd bottle, bowed to the Fairy, and immediately ran toward the mountain path, tightening his grip on the bottle.","Traditional Vietnamese painting style, The boy holding a dried gourd bottle, running determinedly up a steep mountain path, the sun rising over the peaks, hopeful and energetic, professional artwork.",Boy,Running,Up the mountain
